Initial solution cost: 9487176, Initial temperature: 1.42308e+07
Movement in iteration: 6, new cost: 9485282
Movement in iteration: 16, new cost: 9484674
Movement in iteration: 17, new cost: 9481931
Movement in iteration: 26, new cost: 9472583
Movement in iteration: 30, new cost: 9470957
Movement in iteration: 41, new cost: 9467174
Movement in iteration: 44, new cost: 9454802
Movement in iteration: 45, new cost: 9452929
Movement in iteration: 68, new cost: 9448113
Movement in iteration: 74, new cost: 9441511
Movement in iteration: 152, new cost: 9441233
Movement in iteration: 156, new cost: 9440839
Movement in iteration: 164, new cost: 9439869
Movement in iteration: 165, new cost: 9438656
Movement in iteration: 167, new cost: 9437905
Movement in iteration: 179, new cost: 9436070
Movement in iteration: 180, new cost: 9435144
Movement in iteration: 224, new cost: 9432260
Movement in iteration: 240, new cost: 9430362
Movement in iteration: 301, new cost: 9430249
Movement in iteration: 305, new cost: 9428465
Movement in iteration: 308, new cost: 9427599
Movement in iteration: 310, new cost: 9422139
Movement in iteration: 314, new cost: 9422065
Movement in iteration: 315, new cost: 9419046
Movement in iteration: 316, new cost: 9418650
Movement in iteration: 327, new cost: 9414632
Movement in iteration: 329, new cost: 9412880
Movement in iteration: 330, new cost: 9410142
Movement in iteration: 333, new cost: 9408611
Movement in iteration: 334, new cost: 9404961
Movement in iteration: 337, new cost: 9402291
Movement in iteration: 372, new cost: 9401461
Movement in iteration: 373, new cost: 9396059
Movement in iteration: 375, new cost: 9394342
Movement in iteration: 376, new cost: 9393504
Movement in iteration: 463, new cost: 9393403
Movement in iteration: 465, new cost: 9391045
Movement in iteration: 472, new cost: 9389039
Movement in iteration: 477, new cost: 9389013
Movement in iteration: 478, new cost: 9387547
Movement in iteration: 479, new cost: 9386113
Movement in iteration: 492, new cost: 9383029
Movement in iteration: 504, new cost: 9378123
Movement in iteration: 506, new cost: 9372843
Movement in iteration: 510, new cost: 9369571
Movement in iteration: 515, new cost: 9365964
Movement in iteration: 521, new cost: 9362167
Movement in iteration: 524, new cost: 9361225
Movement in iteration: 525, new cost: 9358564
Movement in iteration: 539, new cost: 9357515
Movement in iteration: 562, new cost: 9349637
Movement in iteration: 563, new cost: 9345267
Movement in iteration: 572, new cost: 9342869
Movement in iteration: 575, new cost: 9327523
Movement in iteration: 601, new cost: 9325265
Movement in iteration: 602, new cost: 9324257
Movement in iteration: 604, new cost: 9323223
Movement in iteration: 608, new cost: 9321425
Movement in iteration: 610, new cost: 9318207
Movement in iteration: 615, new cost: 9318093
Movement in iteration: 630, new cost: 9314441
Movement in iteration: 631, new cost: 9312126
Movement in iteration: 633, new cost: 9311320
Movement in iteration: 634, new cost: 9310240
Movement in iteration: 645, new cost: 9307974
Movement in iteration: 646, new cost: 9306478
Movement in iteration: 712, new cost: 9304830
Movement in iteration: 716, new cost: 9303430
Movement in iteration: 721, new cost: 9297199
Movement in iteration: 751, new cost: 9294991
Movement in iteration: 757, new cost: 9294853
Movement in iteration: 762, new cost: 9291125
Movement in iteration: 765, new cost: 9289722
Movement in iteration: 780, new cost: 9286804
Movement in iteration: 782, new cost: 9285684
Movement in iteration: 783, new cost: 9283242
Movement in iteration: 795, new cost: 9283007
Movement in iteration: 796, new cost: 9282729
Movement in iteration: 801, new cost: 9282598
Movement in iteration: 806, new cost: 9277702
Movement in iteration: 810, new cost: 9274006
Movement in iteration: 813, new cost: 9264447
Movement in iteration: 848, new cost: 9263081
Movement in iteration: 856, new cost: 9258631
Movement in iteration: 859, new cost: 9257292
Movement in iteration: 860, new cost: 9253780
Movement in iteration: 861, new cost: 9249374
Movement in iteration: 901, new cost: 9249275
Movement in iteration: 902, new cost: 9248845
Movement in iteration: 904, new cost: 9246845
Movement in iteration: 906, new cost: 9240471
Movement in iteration: 908, new cost: 9239519
Movement in iteration: 917, new cost: 9239476
Movement in iteration: 919, new cost: 9238356
Movement in iteration: 922, new cost: 9236984
Movement in iteration: 931, new cost: 9236616
Movement in iteration: 932, new cost: 9234784
Movement in iteration: 1052, new cost: 9232720
Movement in iteration: 1066, new cost: 9230902
Movement in iteration: 1068, new cost: 9227670
Movement in iteration: 1079, new cost: 9224150
Movement in iteration: 1080, new cost: 9221158
Movement in iteration: 1136, new cost: 9218394
Movement in iteration: 1141, new cost: 9214472
Movement in iteration: 1143, new cost: 9212149
Movement in iteration: 1146, new cost: 9209019
Movement in iteration: 1220, new cost: 9203231
Movement in iteration: 1285, new cost: 9200951
Movement in iteration: 1365, new cost: 9198884
Movement in iteration: 1367, new cost: 9197585
Movement in iteration: 1369, new cost: 9197558
Movement in iteration: 1379, new cost: 9195558
Movement in iteration: 1444, new cost: 9193040
Movement in iteration: 1501, new cost: 9192931
Movement in iteration: 1502, new cost: 9190919
Movement in iteration: 1518, new cost: 9188697
Movement in iteration: 1521, new cost: 9185971
Movement in iteration: 1529, new cost: 9185496
Movement in iteration: 1541, new cost: 9183620
Movement in iteration: 1546, new cost: 9183074
Movement in iteration: 1549, new cost: 9177369
Movement in iteration: 1558, new cost: 9176297
Movement in iteration: 1562, new cost: 9173727
Movement in iteration: 1572, new cost: 9169427
Movement in iteration: 1600, new cost: 9165393
Movement in iteration: 1603, new cost: 9161821
Movement in iteration: 1604, new cost: 9160395
Movement in iteration: 1618, new cost: 9154413
Movement in iteration: 1651, new cost: 9154218
Movement in iteration: 1665, new cost: 9154027
Movement in iteration: 1667, new cost: 9153753
Movement in iteration: 1742, new cost: 9146811
Movement in iteration: 1814, new cost: 9146651
Movement in iteration: 1815, new cost: 9146384
Movement in iteration: 1816, new cost: 9144592
Movement in iteration: 1830, new cost: 9144262
Movement in iteration: 2096, new cost: 9137592
Movement in iteration: 2249, new cost: 9137412
Movement in iteration: 2264, new cost: 9135274
Movement in iteration: 2311, new cost: 9132378
Movement in iteration: 2412, new cost: 9130440
Movement in iteration: 2459, new cost: 9129636
Movement in iteration: 2473, new cost: 9129578
Movement in iteration: 2535, new cost: 9127668
Movement in iteration: 2563, new cost: 9126769
Movement in iteration: 2576, new cost: 9125633
Movement in iteration: 2590, new cost: 9121999
Movement in iteration: 2607, new cost: 9113092
Movement in iteration: 2725, new cost: 9112638
Movement in iteration: 2750, new cost: 9110912
Movement in iteration: 2751, new cost: 9099304
Movement in iteration: 2755, new cost: 9098478
Movement in iteration: 2756, new cost: 9098440
Movement in iteration: 2768, new cost: 9094319
Movement in iteration: 2782, new cost: 9093064
Movement in iteration: 2787, new cost: 9087360
Movement in iteration: 2831, new cost: 9087331
Movement in iteration: 2844, new cost: 9086948
Movement in iteration: 2859, new cost: 9086475
Movement in iteration: 2873, new cost: 9086344
Movement in iteration: 2904, new cost: 9086228
Movement in iteration: 2918, new cost: 9085520
Movement in iteration: 2979, new cost: 9085280
Movement in iteration: 2982, new cost: 9085200
Movement in iteration: 2994, new cost: 9085111
Movement in iteration: 3009, new cost: 9084289
Movement in iteration: 3019, new cost: 9083011
Movement in iteration: 3022, new cost: 9082857
Movement in iteration: 3050, new cost: 9079929
Movement in iteration: 3052, new cost: 9076107
Movement in iteration: 3070, new cost: 9075739
Movement in iteration: 3101, new cost: 9073289
Movement in iteration: 3127, new cost: 9070618
Movement in iteration: 3157, new cost: 9069840
Movement in iteration: 3160, new cost: 9068676
Movement in iteration: 3189, new cost: 9068351
Movement in iteration: 3210, new cost: 9068131
Movement in iteration: 3214, new cost: 9068037
Movement in iteration: 3218, new cost: 9067737
Movement in iteration: 3228, new cost: 9065227
Movement in iteration: 3233, new cost: 9063419
Movement in iteration: 3236, new cost: 9056385
Movement in iteration: 3249, new cost: 9055558
Movement in iteration: 3279, new cost: 9055116
Movement in iteration: 3288, new cost: 9053522
Movement in iteration: 3289, new cost: 9049751
Movement in iteration: 3427, new cost: 9047659
Movement in iteration: 3442, new cost: 9045863
Movement in iteration: 3455, new cost: 9045742
Movement in iteration: 3456, new cost: 9045366
Movement in iteration: 3457, new cost: 9044848
Movement in iteration: 3471, new cost: 9044158
Movement in iteration: 3481, new cost: 9043640
Movement in iteration: 3483, new cost: 9038534
Movement in iteration: 3485, new cost: 9035268
Movement in iteration: 3511, new cost: 9033905
Movement in iteration: 3516, new cost: 9032057
Movement in iteration: 3522, new cost: 9024685
Movement in iteration: 3523, new cost: 9019611
Movement in iteration: 3529, new cost: 9018857
Movement in iteration: 3532, new cost: 9017791
Movement in iteration: 3534, new cost: 9016405
Movement in iteration: 3535, new cost: 9015170
Movement in iteration: 3545, new cost: 9009260
Movement in iteration: 3562, new cost: 9008294
Movement in iteration: 3590, new cost: 9007453
