Initial solution cost: 49650401, Initial temperature: 7.44756e+07
Movement in iteration: 92, new cost: 49561861
Movement in iteration: 94, new cost: 49476399
Movement in iteration: 95, new cost: 49455969
Movement in iteration: 97, new cost: 49289141
Movement in iteration: 166, new cost: 49205920
Movement in iteration: 349, new cost: 49169495
Movement in iteration: 350, new cost: 49092980
Movement in iteration: 352, new cost: 49079664
Movement in iteration: 356, new cost: 49035380
Movement in iteration: 397, new cost: 48960663
Movement in iteration: 421, new cost: 48942465
Movement in iteration: 433, new cost: 48906742
Movement in iteration: 604, new cost: 48885312
Movement in iteration: 605, new cost: 48845549
Movement in iteration: 607, new cost: 48768720
Movement in iteration: 611, new cost: 48764328
Movement in iteration: 612, new cost: 48719212
Movement in iteration: 649, new cost: 48715449
Movement in iteration: 667, new cost: 48713451
Movement in iteration: 676, new cost: 48639329
Movement in iteration: 688, new cost: 48621988
Movement in iteration: 719, new cost: 48620873
Movement in iteration: 859, new cost: 48600906
Movement in iteration: 860, new cost: 48595500
Movement in iteration: 862, new cost: 48563180
Movement in iteration: 866, new cost: 48476366
Movement in iteration: 867, new cost: 48471501
Movement in iteration: 882, new cost: 48439004
Movement in iteration: 904, new cost: 48425696
Movement in iteration: 931, new cost: 48412727
Movement in iteration: 943, new cost: 48344663
Movement in iteration: 1116, new cost: 48340065
Movement in iteration: 1120, new cost: 48330525
Movement in iteration: 1122, new cost: 48242726
Movement in iteration: 1137, new cost: 48230994
Movement in iteration: 1141, new cost: 48208593
Movement in iteration: 1159, new cost: 48208023
Movement in iteration: 1166, new cost: 48173326
Movement in iteration: 1238, new cost: 48163754
Movement in iteration: 1244, new cost: 48118439
Movement in iteration: 1386, new cost: 48090730
Movement in iteration: 1387, new cost: 48022496
Movement in iteration: 1439, new cost: 48000573
Movement in iteration: 1493, new cost: 47997617
Movement in iteration: 1499, new cost: 47965105
Movement in iteration: 1623, new cost: 47917539
Movement in iteration: 1631, new cost: 47817942
Movement in iteration: 1669, new cost: 47806978
Movement in iteration: 1696, new cost: 47801823
Movement in iteration: 1718, new cost: 47795232
Movement in iteration: 1738, new cost: 47785059
Movement in iteration: 1744, new cost: 47784255
Movement in iteration: 1754, new cost: 47774661
Movement in iteration: 1762, new cost: 47751639
Movement in iteration: 1994, new cost: 47745595
Movement in iteration: 1999, new cost: 47744147
Movement in iteration: 2009, new cost: 47743515
Movement in iteration: 2017, new cost: 47737621
Movement in iteration: 2204, new cost: 47720538
Movement in iteration: 2211, new cost: 47719363
Movement in iteration: 2224, new cost: 47699853
Movement in iteration: 2254, new cost: 47685093
Movement in iteration: 2434, new cost: 47670185
Movement in iteration: 2461, new cost: 47666875
Movement in iteration: 2466, new cost: 47654496
Movement in iteration: 2519, new cost: 47641760
Movement in iteration: 2541, new cost: 47620832
Movement in iteration: 2662, new cost: 47591234
Movement in iteration: 2667, new cost: 47501278
Movement in iteration: 2897, new cost: 47277089
Movement in iteration: 2898, new cost: 47163737
Movement in iteration: 2899, new cost: 47138234
Movement in iteration: 2906, new cost: 47107246
Movement in iteration: 2915, new cost: 47102484
Movement in iteration: 2921, new cost: 47062182
Movement in iteration: 2944, new cost: 47026778
Movement in iteration: 2971, new cost: 47025483
Movement in iteration: 2989, new cost: 47023334
Movement in iteration: 3029, new cost: 46998654
Movement in iteration: 3037, new cost: 46997998
Movement in iteration: 3051, new cost: 46997109
Movement in iteration: 3225, new cost: 46984917
Movement in iteration: 3226, new cost: 46937150
Movement in iteration: 3547, new cost: 46932843
Movement in iteration: 3686, new cost: 46909871
Movement in iteration: 3690, new cost: 46867101
Movement in iteration: 3736, new cost: 46843699
Movement in iteration: 3991, new cost: 46842759
Movement in iteration: 4049, new cost: 46766812
Movement in iteration: 4174, new cost: 46647448
Movement in iteration: 4177, new cost: 46604988
Movement in iteration: 4191, new cost: 46577616
Movement in iteration: 4197, new cost: 46523593
Movement in iteration: 4200, new cost: 46507247
Movement in iteration: 4203, new cost: 46494702
Movement in iteration: 4226, new cost: 46412034
Movement in iteration: 4432, new cost: 46346774
Movement in iteration: 4436, new cost: 46332625
Movement in iteration: 4451, new cost: 46289370
Movement in iteration: 4455, new cost: 46242245
Movement in iteration: 4458, new cost: 46226737
Movement in iteration: 4485, new cost: 46224743
Movement in iteration: 4519, new cost: 46211477
Movement in iteration: 4581, new cost: 46207711
Movement in iteration: 4710, new cost: 46175288
Movement in iteration: 4953, new cost: 46173322
Movement in iteration: 4965, new cost: 46155799
Movement in iteration: 4968, new cost: 46096095
Movement in iteration: 4983, new cost: 46025075
Movement in iteration: 5348, new cost: 45962824
Movement in iteration: 5710, new cost: 45884302
Movement in iteration: 5780, new cost: 45861579
Movement in iteration: 5793, new cost: 45853082
Movement in iteration: 5808, new cost: 45852449
Movement in iteration: 5851, new cost: 45847198
Movement in iteration: 5855, new cost: 45825495
Movement in iteration: 5958, new cost: 45811473
Movement in iteration: 5964, new cost: 45781792
Movement in iteration: 5975, new cost: 45763469
Movement in iteration: 5978, new cost: 45760846
Movement in iteration: 5979, new cost: 45729656
Movement in iteration: 6001, new cost: 45676668
Movement in iteration: 6002, new cost: 45655663
Movement in iteration: 6047, new cost: 45641452
Movement in iteration: 6062, new cost: 45629385
Movement in iteration: 6072, new cost: 45627237
Movement in iteration: 6294, new cost: 45586119
Movement in iteration: 6483, new cost: 45575837
Movement in iteration: 6494, new cost: 45545980
Movement in iteration: 6510, new cost: 45500700
Movement in iteration: 6570, new cost: 45466922
Movement in iteration: 6624, new cost: 45456285
Movement in iteration: 6758, new cost: 45450748
Movement in iteration: 6773, new cost: 45443969
Movement in iteration: 6796, new cost: 45443399
Movement in iteration: 6824, new cost: 45432146
Movement in iteration: 6831, new cost: 45416865
Movement in iteration: 6857, new cost: 45412642
Movement in iteration: 6878, new cost: 45396772
Movement in iteration: 7309, new cost: 45379432
Movement in iteration: 7556, new cost: 45365820
Movement in iteration: 7558, new cost: 45348552
Movement in iteration: 8752, new cost: 45331106
Movement in iteration: 9484, new cost: 45254205
Movement in iteration: 9504, new cost: 45206120
Movement in iteration: 9557, new cost: 45201978
Movement in iteration: 9596, new cost: 45197715
Movement in iteration: 9737, new cost: 45131241
Movement in iteration: 9751, new cost: 45094266
Movement in iteration: 9764, new cost: 45092256
Movement in iteration: 9802, new cost: 45078124
Movement in iteration: 9817, new cost: 45077264
Movement in iteration: 9824, new cost: 45026579
Movement in iteration: 10076, new cost: 44980666
Movement in iteration: 10237, new cost: 44972558
Movement in iteration: 10247, new cost: 44943637
Movement in iteration: 10257, new cost: 44886664
Movement in iteration: 10311, new cost: 44884826
Movement in iteration: 10539, new cost: 44869736
Movement in iteration: 10965, new cost: 44815403
Movement in iteration: 10985, new cost: 44813047
Movement in iteration: 11013, new cost: 44798539
Movement in iteration: 11020, new cost: 44795988
Movement in iteration: 11029, new cost: 44792711
Movement in iteration: 11032, new cost: 44731288
Movement in iteration: 11046, new cost: 44661803
Movement in iteration: 11225, new cost: 44645290
Movement in iteration: 11226, new cost: 44633524
Movement in iteration: 11231, new cost: 44608698
Movement in iteration: 11259, new cost: 44595638
Movement in iteration: 11266, new cost: 44572685
Movement in iteration: 11292, new cost: 44567908
Movement in iteration: 11294, new cost: 44501194
Movement in iteration: 11473, new cost: 44470306
Movement in iteration: 11496, new cost: 44413251
Movement in iteration: 11559, new cost: 44409912
Movement in iteration: 11584, new cost: 44402214
Movement in iteration: 11987, new cost: 44372081
Movement in iteration: 12050, new cost: 44316137
Movement in iteration: 12543, new cost: 44310284
Movement in iteration: 12590, new cost: 44310087
Movement in iteration: 12676, new cost: 44284296
Movement in iteration: 12682, new cost: 44260526
Movement in iteration: 12702, new cost: 44156753
Movement in iteration: 12770, new cost: 44144200
Movement in iteration: 12834, new cost: 44140880
Movement in iteration: 12965, new cost: 44126577
Movement in iteration: 12993, new cost: 44125768
Movement in iteration: 13014, new cost: 44101806
Movement in iteration: 13480, new cost: 44078643
Movement in iteration: 13534, new cost: 44072589
Movement in iteration: 13539, new cost: 44070213
Movement in iteration: 13565, new cost: 44059849
Movement in iteration: 13711, new cost: 44015955
Movement in iteration: 13908, new cost: 44010332
Movement in iteration: 13939, new cost: 43942569
Movement in iteration: 14175, new cost: 43923398
Movement in iteration: 14181, new cost: 43920804
Movement in iteration: 14182, new cost: 43919410
Movement in iteration: 14209, new cost: 43911212
Movement in iteration: 14224, new cost: 43903715
Movement in iteration: 14227, new cost: 43901248
Movement in iteration: 14247, new cost: 43884208
Movement in iteration: 14294, new cost: 43850300
Movement in iteration: 14397, new cost: 43837950
Movement in iteration: 14417, new cost: 43791216
Movement in iteration: 14485, new cost: 43768652
Movement in iteration: 14535, new cost: 43721445
Movement in iteration: 14872, new cost: 43713530
Movement in iteration: 14874, new cost: 43701911
Movement in iteration: 14883, new cost: 43686590
Movement in iteration: 14892, new cost: 43685718
Movement in iteration: 14903, new cost: 43660944
Movement in iteration: 14909, new cost: 43627607
Movement in iteration: 14910, new cost: 43617520
Movement in iteration: 14925, new cost: 43608087
Movement in iteration: 14957, new cost: 43603606
Movement in iteration: 14995, new cost: 43560392
Movement in iteration: 15121, new cost: 43533667
Movement in iteration: 15152, new cost: 43531842
Movement in iteration: 15177, new cost: 43517524
Movement in iteration: 15221, new cost: 43515663
Movement in iteration: 15233, new cost: 43457590
Movement in iteration: 15365, new cost: 43446456
Movement in iteration: 15385, new cost: 43436306
Movement in iteration: 15436, new cost: 43431421
Movement in iteration: 15456, new cost: 43353569
Movement in iteration: 15506, new cost: 43314685
Movement in iteration: 16124, new cost: 43309328
Movement in iteration: 16149, new cost: 43273963
Movement in iteration: 16322, new cost: 43268767
Movement in iteration: 16324, new cost: 43261083
Movement in iteration: 16329, new cost: 43254712
Movement in iteration: 16330, new cost: 43247516
Movement in iteration: 16346, new cost: 43225928
Movement in iteration: 16348, new cost: 43165235
Movement in iteration: 16356, new cost: 43163552
Movement in iteration: 16371, new cost: 43133179
Movement in iteration: 16443, new cost: 43127087
Movement in iteration: 16465, new cost: 43120172
Movement in iteration: 16816, new cost: 43069798
Movement in iteration: 16851, new cost: 43069631
Movement in iteration: 16855, new cost: 43040084
Movement in iteration: 16884, new cost: 43022462
Movement in iteration: 16897, new cost: 42978918
Movement in iteration: 17279, new cost: 42948857
Movement in iteration: 17285, new cost: 42905854
Movement in iteration: 17306, new cost: 42871178
Movement in iteration: 17349, new cost: 42869308
Movement in iteration: 17984, new cost: 42820291
Movement in iteration: 18023, new cost: 42807106
