Initial solution cost: 9554743, Initial temperature: 1.43321e+07
Movement in iteration: 1, new cost: 9550938
Worse movement in iteration: 2, new cost: 9559028
Movement in iteration: 3, new cost: 9555053
Worse movement in iteration: 4, new cost: 9560031
Movement in iteration: 5, new cost: 9555131
Movement in iteration: 6, new cost: 9540539
Worse movement in iteration: 7, new cost: 9551597
Worse movement in iteration: 8, new cost: 9563815
Movement in iteration: 9, new cost: 9560892
Movement in iteration: 10, new cost: 9548870
Worse movement in iteration: 11, new cost: 9567546
Movement in iteration: 12, new cost: 9546502
Worse movement in iteration: 13, new cost: 9567371
Movement in iteration: 14, new cost: 9562899
Worse movement in iteration: 15, new cost: 9565427
Movement in iteration: 16, new cost: 9561557
Movement in iteration: 17, new cost: 9557910
Movement in iteration: 18, new cost: 9557138
Worse movement in iteration: 19, new cost: 9569790
Movement in iteration: 20, new cost: 9558696
Worse movement in iteration: 21, new cost: 9575599
Movement in iteration: 22, new cost: 9556235
Worse movement in iteration: 23, new cost: 9590997
Movement in iteration: 24, new cost: 9565641
Worse movement in iteration: 25, new cost: 9567590
Movement in iteration: 26, new cost: 9564418
Movement in iteration: 27, new cost: 9563763
Worse movement in iteration: 28, new cost: 9589581
Movement in iteration: 29, new cost: 9583088
Movement in iteration: 30, new cost: 9582530
Movement in iteration: 31, new cost: 9581395
Worse movement in iteration: 32, new cost: 9586331
Movement in iteration: 33, new cost: 9579696
Movement in iteration: 34, new cost: 9578364
Worse movement in iteration: 35, new cost: 9587736
Worse movement in iteration: 36, new cost: 9588206
Movement in iteration: 37, new cost: 9581078
Worse movement in iteration: 38, new cost: 9594152
Movement in iteration: 39, new cost: 9585802
Movement in iteration: 40, new cost: 9582304
Worse movement in iteration: 41, new cost: 9582948
Worse movement in iteration: 42, new cost: 9585674
Worse movement in iteration: 43, new cost: 9600142
Movement in iteration: 44, new cost: 9588344
Worse movement in iteration: 45, new cost: 9591125
Movement in iteration: 46, new cost: 9588019
Movement in iteration: 47, new cost: 9584592
Worse movement in iteration: 48, new cost: 9597456
Movement in iteration: 49, new cost: 9590219
Worse movement in iteration: 50, new cost: 9592133
Movement in iteration: 51, new cost: 9586440
Worse movement in iteration: 52, new cost: 9593300
Movement in iteration: 53, new cost: 9573214
Worse movement in iteration: 54, new cost: 9573506
Worse movement in iteration: 55, new cost: 9584870
Worse movement in iteration: 56, new cost: 9585966
Movement in iteration: 57, new cost: 9581356
Movement in iteration: 58, new cost: 9580974
Worse movement in iteration: 59, new cost: 9582483
Worse movement in iteration: 60, new cost: 9585969
Movement in iteration: 61, new cost: 9583229
Worse movement in iteration: 62, new cost: 9583503
Movement in iteration: 63, new cost: 9571931
Worse movement in iteration: 64, new cost: 9579683
Movement in iteration: 65, new cost: 9569858
Worse movement in iteration: 66, new cost: 9578244
Movement in iteration: 67, new cost: 9575687
Worse movement in iteration: 68, new cost: 9589695
Movement in iteration: 69, new cost: 9577694
Movement in iteration: 70, new cost: 9573982
Worse movement in iteration: 71, new cost: 9590713
Movement in iteration: 72, new cost: 9583909
Worse movement in iteration: 73, new cost: 9589762
Movement in iteration: 74, new cost: 9579288
Worse movement in iteration: 75, new cost: 9585871
Movement in iteration: 76, new cost: 9571087
Worse movement in iteration: 77, new cost: 9575162
Movement in iteration: 78, new cost: 9563318
