Initial solution cost: 638950651
Movement in iteration: 4, new cost: 638702866
Movement in iteration: 5, new cost: 638414010
Movement in iteration: 26, new cost: 637459893
Movement in iteration: 77, new cost: 637301684
Movement in iteration: 78, new cost: 636806633
Movement in iteration: 92, new cost: 636767760
Movement in iteration: 120, new cost: 636762178
Movement in iteration: 150, new cost: 636740023
Movement in iteration: 153, new cost: 636056902
Movement in iteration: 175, new cost: 636009457
Movement in iteration: 185, new cost: 635970681
Movement in iteration: 207, new cost: 635699397
Movement in iteration: 226, new cost: 635063615
Movement in iteration: 230, new cost: 634995031
Movement in iteration: 231, new cost: 634825533
Movement in iteration: 241, new cost: 634487202
Movement in iteration: 254, new cost: 634002440
Movement in iteration: 262, new cost: 633517246
Movement in iteration: 266, new cost: 633030141
Movement in iteration: 269, new cost: 632283498
Movement in iteration: 299, new cost: 630615160
Movement in iteration: 303, new cost: 630537176
Movement in iteration: 304, new cost: 630484004
Movement in iteration: 305, new cost: 630478142
Movement in iteration: 306, new cost: 630470364
Movement in iteration: 307, new cost: 630378200
Movement in iteration: 308, new cost: 630345506
Movement in iteration: 309, new cost: 630324192
Movement in iteration: 310, new cost: 630317283
Movement in iteration: 311, new cost: 630276236
Movement in iteration: 313, new cost: 630197959
Movement in iteration: 314, new cost: 630173284
Movement in iteration: 336, new cost: 629572999
Movement in iteration: 340, new cost: 629389070
Movement in iteration: 415, new cost: 629164456
Movement in iteration: 420, new cost: 626724317
Movement in iteration: 423, new cost: 626186891
Movement in iteration: 451, new cost: 626144082
Movement in iteration: 454, new cost: 626130732
Movement in iteration: 456, new cost: 626062403
Movement in iteration: 462, new cost: 626058179
Movement in iteration: 469, new cost: 625564234
Movement in iteration: 489, new cost: 625040320
Movement in iteration: 538, new cost: 624936806
Movement in iteration: 548, new cost: 624253830
Movement in iteration: 553, new cost: 623694122
Movement in iteration: 564, new cost: 622431553
Movement in iteration: 599, new cost: 622421738
Movement in iteration: 600, new cost: 622368924
Movement in iteration: 603, new cost: 622319942
Movement in iteration: 609, new cost: 622310108
Movement in iteration: 610, new cost: 622268268
Movement in iteration: 611, new cost: 622264429
Movement in iteration: 633, new cost: 622052317
Movement in iteration: 660, new cost: 621333947
Movement in iteration: 690, new cost: 621096087
Movement in iteration: 697, new cost: 620710001
Movement in iteration: 721, new cost: 619978101
Movement in iteration: 765, new cost: 619895719
Movement in iteration: 769, new cost: 619416984
Movement in iteration: 870, new cost: 619104827
Movement in iteration: 895, new cost: 618962028
Movement in iteration: 896, new cost: 616440058
Movement in iteration: 898, new cost: 616410862
Movement in iteration: 900, new cost: 616362610
Movement in iteration: 905, new cost: 616327037
Movement in iteration: 908, new cost: 616271525
Movement in iteration: 969, new cost: 615579230
Movement in iteration: 987, new cost: 614988551
Movement in iteration: 995, new cost: 614803109
Movement in iteration: 1000, new cost: 613418720
Movement in iteration: 1046, new cost: 613412796
Movement in iteration: 1049, new cost: 613396458
Movement in iteration: 1057, new cost: 613387357
Movement in iteration: 1059, new cost: 613386074
Movement in iteration: 1061, new cost: 612966701
Movement in iteration: 1062, new cost: 612190119
Movement in iteration: 1072, new cost: 611928214
Movement in iteration: 1080, new cost: 611851402
Movement in iteration: 1103, new cost: 611503713
Movement in iteration: 1107, new cost: 611392970
Movement in iteration: 1115, new cost: 611245685
Movement in iteration: 1118, new cost: 611131580
Movement in iteration: 1125, new cost: 610856891
Movement in iteration: 1133, new cost: 610646901
Movement in iteration: 1168, new cost: 610093141
Movement in iteration: 1201, new cost: 610074763
Movement in iteration: 1216, new cost: 609999833
Movement in iteration: 1223, new cost: 609875499
Movement in iteration: 1235, new cost: 609524422
Movement in iteration: 1236, new cost: 609193438
Movement in iteration: 1267, new cost: 609101854
Movement in iteration: 1274, new cost: 608631250
Movement in iteration: 1283, new cost: 608518342
Movement in iteration: 1317, new cost: 607861720
Movement in iteration: 1333, new cost: 607719721
Movement in iteration: 1360, new cost: 607360852
Movement in iteration: 1361, new cost: 606833974
Movement in iteration: 1373, new cost: 606579904
Movement in iteration: 1378, new cost: 606084113
Movement in iteration: 1409, new cost: 605937179
Movement in iteration: 1432, new cost: 605635464
Movement in iteration: 1497, new cost: 605632760
Movement in iteration: 1498, new cost: 605615293
Movement in iteration: 1631, new cost: 605584350
Movement in iteration: 1668, new cost: 605522305
Movement in iteration: 1669, new cost: 605116542
Movement in iteration: 1694, new cost: 604906850
Movement in iteration: 1711, new cost: 604583302
Movement in iteration: 1732, new cost: 604375078
Movement in iteration: 1813, new cost: 604041327
Movement in iteration: 1819, new cost: 603941430
Movement in iteration: 1828, new cost: 603766179
Movement in iteration: 1864, new cost: 603483535
