Initial solution cost: 24273384
Movement in iteration: 2, new cost: 24267236
Movement in iteration: 5, new cost: 24259746
Movement in iteration: 6, new cost: 24231514
Movement in iteration: 7, new cost: 24203748
Movement in iteration: 8, new cost: 24203526
Movement in iteration: 9, new cost: 24176702
Movement in iteration: 19, new cost: 24152718
Movement in iteration: 24, new cost: 24139758
Movement in iteration: 27, new cost: 24127000
Movement in iteration: 30, new cost: 24101270
Movement in iteration: 33, new cost: 24100250
Movement in iteration: 34, new cost: 24056250
Movement in iteration: 38, new cost: 24049972
Movement in iteration: 39, new cost: 24025540
Movement in iteration: 40, new cost: 23964104
Movement in iteration: 44, new cost: 23957076
Movement in iteration: 94, new cost: 23939942
Movement in iteration: 95, new cost: 23936742
Movement in iteration: 96, new cost: 23923546
Movement in iteration: 97, new cost: 23890940
Movement in iteration: 98, new cost: 23879398
Movement in iteration: 99, new cost: 23878096
Movement in iteration: 100, new cost: 23857802
Movement in iteration: 109, new cost: 23845098
Movement in iteration: 111, new cost: 23840320
Movement in iteration: 112, new cost: 23836414
Movement in iteration: 113, new cost: 23833822
Movement in iteration: 115, new cost: 23766618
Movement in iteration: 126, new cost: 23749966
Movement in iteration: 147, new cost: 23747728
Movement in iteration: 166, new cost: 23741978
Movement in iteration: 167, new cost: 23725372
Movement in iteration: 168, new cost: 23710290
Movement in iteration: 170, new cost: 23703780
Movement in iteration: 171, new cost: 23653662
Movement in iteration: 179, new cost: 23623434
Movement in iteration: 184, new cost: 23619688
Movement in iteration: 186, new cost: 23608424
Movement in iteration: 188, new cost: 23590698
Movement in iteration: 189, new cost: 23539130
Movement in iteration: 202, new cost: 23535290
Movement in iteration: 217, new cost: 23521044
Movement in iteration: 239, new cost: 23490232
Movement in iteration: 248, new cost: 23477940
Movement in iteration: 269, new cost: 23466034
Movement in iteration: 276, new cost: 23412796
Movement in iteration: 277, new cost: 23410634
Movement in iteration: 287, new cost: 23401344
Movement in iteration: 288, new cost: 23399030
Movement in iteration: 291, new cost: 23389024
Movement in iteration: 301, new cost: 23380442
Movement in iteration: 305, new cost: 23370924
Movement in iteration: 306, new cost: 23366498
Movement in iteration: 312, new cost: 23365580
Movement in iteration: 313, new cost: 23346482
Movement in iteration: 316, new cost: 23329930
Movement in iteration: 317, new cost: 23319718
Movement in iteration: 319, new cost: 23319316
Movement in iteration: 332, new cost: 23313808
Movement in iteration: 334, new cost: 23283214
Movement in iteration: 336, new cost: 23265746
Movement in iteration: 362, new cost: 23256604
Movement in iteration: 363, new cost: 23253680
Movement in iteration: 378, new cost: 23239852
Movement in iteration: 379, new cost: 23207816
Movement in iteration: 388, new cost: 23201614
Movement in iteration: 405, new cost: 23195006
Movement in iteration: 407, new cost: 23191492
Movement in iteration: 434, new cost: 23180856
Movement in iteration: 437, new cost: 23176580
Movement in iteration: 450, new cost: 23171960
Movement in iteration: 490, new cost: 23171286
Movement in iteration: 496, new cost: 23163968
Movement in iteration: 498, new cost: 23143450
Movement in iteration: 506, new cost: 23142120
Movement in iteration: 509, new cost: 23131274
Movement in iteration: 510, new cost: 23125836
Movement in iteration: 511, new cost: 23114256
Movement in iteration: 512, new cost: 23096526
Movement in iteration: 537, new cost: 23086624
Movement in iteration: 538, new cost: 23052982
Movement in iteration: 566, new cost: 23038692
Movement in iteration: 581, new cost: 23036082
Movement in iteration: 588, new cost: 23033606
Movement in iteration: 605, new cost: 23024308
Movement in iteration: 611, new cost: 23010056
Movement in iteration: 656, new cost: 22992836
Movement in iteration: 661, new cost: 22974844
Movement in iteration: 773, new cost: 22961538
Movement in iteration: 777, new cost: 22961276
Movement in iteration: 779, new cost: 22959918
Movement in iteration: 782, new cost: 22957478
Movement in iteration: 800, new cost: 22949206
