Initial solution cost: 54524, Initial temperature: 81786
Movement in iteration: 1, new cost: 54424
Movement in iteration: 10, new cost: 54336
Movement in iteration: 51, new cost: 54322
Movement in iteration: 52, new cost: 54314
Movement in iteration: 55, new cost: 54180
Movement in iteration: 64, new cost: 53994
Movement in iteration: 69, new cost: 53926
Movement in iteration: 72, new cost: 53846
Movement in iteration: 76, new cost: 53710
Movement in iteration: 101, new cost: 53680
Movement in iteration: 110, new cost: 53676
Movement in iteration: 111, new cost: 53668
Movement in iteration: 118, new cost: 53652
Movement in iteration: 139, new cost: 53638
Movement in iteration: 153, new cost: 53456
Movement in iteration: 158, new cost: 53392
Movement in iteration: 160, new cost: 53388
Movement in iteration: 162, new cost: 53282
Movement in iteration: 165, new cost: 53238
Movement in iteration: 168, new cost: 53198
Movement in iteration: 169, new cost: 53188
Movement in iteration: 170, new cost: 53132
Movement in iteration: 174, new cost: 52904
Movement in iteration: 179, new cost: 52844
Movement in iteration: 191, new cost: 52820
Movement in iteration: 195, new cost: 52818
Movement in iteration: 208, new cost: 52766
Movement in iteration: 209, new cost: 52718
Movement in iteration: 211, new cost: 52662
Movement in iteration: 240, new cost: 52646
Movement in iteration: 251, new cost: 52618
Movement in iteration: 257, new cost: 52590
Movement in iteration: 259, new cost: 52522
Movement in iteration: 260, new cost: 52498
Movement in iteration: 261, new cost: 52450
Movement in iteration: 268, new cost: 52418
Movement in iteration: 269, new cost: 52274
Movement in iteration: 293, new cost: 52026
Movement in iteration: 301, new cost: 52010
Movement in iteration: 312, new cost: 51974
Movement in iteration: 313, new cost: 51950
Movement in iteration: 321, new cost: 51932
Movement in iteration: 322, new cost: 51876
Movement in iteration: 341, new cost: 51870
Movement in iteration: 343, new cost: 51854
Movement in iteration: 359, new cost: 51838
Movement in iteration: 401, new cost: 51778
Movement in iteration: 410, new cost: 51756
Movement in iteration: 417, new cost: 51728
Movement in iteration: 439, new cost: 51680
Movement in iteration: 510, new cost: 51632
Movement in iteration: 540, new cost: 51622
Movement in iteration: 542, new cost: 51606
Movement in iteration: 557, new cost: 51598
Movement in iteration: 558, new cost: 51528
Movement in iteration: 601, new cost: 51500
Movement in iteration: 619, new cost: 51448
Movement in iteration: 639, new cost: 51392
Movement in iteration: 677, new cost: 51356
Movement in iteration: 705, new cost: 51292
Movement in iteration: 744, new cost: 51284
Movement in iteration: 785, new cost: 51270
Movement in iteration: 794, new cost: 51250
Movement in iteration: 824, new cost: 51222
Movement in iteration: 826, new cost: 51166
Movement in iteration: 851, new cost: 51094
Movement in iteration: 853, new cost: 51078
Movement in iteration: 863, new cost: 51066
Movement in iteration: 891, new cost: 51030
Movement in iteration: 981, new cost: 50994
Movement in iteration: 1009, new cost: 50964
Movement in iteration: 1045, new cost: 50940
Movement in iteration: 1046, new cost: 50926
Movement in iteration: 1047, new cost: 50882
Movement in iteration: 1059, new cost: 50872
Movement in iteration: 1084, new cost: 50850
Movement in iteration: 1219, new cost: 50848
Movement in iteration: 1220, new cost: 50828
Movement in iteration: 1266, new cost: 50820
Movement in iteration: 1272, new cost: 50778
Movement in iteration: 1318, new cost: 50772
Movement in iteration: 1373, new cost: 50752
Movement in iteration: 1383, new cost: 50720
Movement in iteration: 1384, new cost: 50694
Movement in iteration: 1465, new cost: 50650
Movement in iteration: 1500, new cost: 50632
Movement in iteration: 1509, new cost: 50618
Movement in iteration: 1589, new cost: 50582
Movement in iteration: 1633, new cost: 50554
Movement in iteration: 1637, new cost: 50488
Movement in iteration: 1641, new cost: 50416
Movement in iteration: 1644, new cost: 50406
Movement in iteration: 1669, new cost: 50400
Movement in iteration: 1678, new cost: 50380
Movement in iteration: 1687, new cost: 50312
Movement in iteration: 1727, new cost: 50280
Movement in iteration: 1728, new cost: 50218
Movement in iteration: 1731, new cost: 50182
Movement in iteration: 1817, new cost: 50174
Movement in iteration: 1895, new cost: 50136
Movement in iteration: 1936, new cost: 50104
Movement in iteration: 1977, new cost: 50076
Movement in iteration: 2062, new cost: 50050
Movement in iteration: 2102, new cost: 50038
Loop ended because of the temperature
