Initial solution cost: 270
Movement in iteration: 30, new cost: 269
Movement in iteration: 32, new cost: 261
Movement in iteration: 39, new cost: 257
Movement in iteration: 41, new cost: 250
Movement in iteration: 63, new cost: 248
Movement in iteration: 65, new cost: 240
Movement in iteration: 79, new cost: 236
Movement in iteration: 87, new cost: 234
Movement in iteration: 112, new cost: 233
Movement in iteration: 161, new cost: 227
Movement in iteration: 197, new cost: 223
Movement in iteration: 206, new cost: 221
Movement in iteration: 214, new cost: 219
Movement in iteration: 269, new cost: 218
Movement in iteration: 317, new cost: 216
Movement in iteration: 334, new cost: 209
Movement in iteration: 394, new cost: 206
Movement in iteration: 423, new cost: 201
Movement in iteration: 459, new cost: 197
Movement in iteration: 491, new cost: 195
Movement in iteration: 493, new cost: 191
Movement in iteration: 595, new cost: 189
Movement in iteration: 596, new cost: 184
Movement in iteration: 599, new cost: 182
Movement in iteration: 611, new cost: 180
Movement in iteration: 627, new cost: 179
Movement in iteration: 802, new cost: 178
Movement in iteration: 803, new cost: 173
Movement in iteration: 952, new cost: 165
Movement in iteration: 957, new cost: 159
Movement in iteration: 1059, new cost: 158
Movement in iteration: 1063, new cost: 157
Movement in iteration: 1169, new cost: 151
Movement in iteration: 1333, new cost: 150
Movement in iteration: 1335, new cost: 143
Movement in iteration: 1568, new cost: 142
Movement in iteration: 2120, new cost: 140
Movement in iteration: 2280, new cost: 138
Movement in iteration: 2323, new cost: 135
Movement in iteration: 2331, new cost: 130
Movement in iteration: 2437, new cost: 128
Movement in iteration: 2541, new cost: 127
Movement in iteration: 3359, new cost: 126
Movement in iteration: 3515, new cost: 125
Movement in iteration: 3710, new cost: 124
Movement in iteration: 4078, new cost: 121
Movement in iteration: 4083, new cost: 119
Movement in iteration: 4170, new cost: 118
Movement in iteration: 4245, new cost: 116
Movement in iteration: 4292, new cost: 115
Movement in iteration: 4497, new cost: 112
Movement in iteration: 4947, new cost: 111
Movement in iteration: 5033, new cost: 110
Movement in iteration: 5258, new cost: 104
Movement in iteration: 6399, new cost: 100
Movement in iteration: 6413, new cost: 93
Movement in iteration: 8490, new cost: 92
Movement in iteration: 8546, new cost: 91
Movement in iteration: 8560, new cost: 90
Movement in iteration: 9053, new cost: 89
Movement in iteration: 9624, new cost: 87
Movement in iteration: 9820, new cost: 86
Movement in iteration: 10417, new cost: 85
Movement in iteration: 10878, new cost: 84
Movement in iteration: 11471, new cost: 83
Movement in iteration: 11506, new cost: 82
Movement in iteration: 11644, new cost: 81
Loop ended because of DLB
