Initial solution cost: 54934, Initial temperature: 82401
Worse movement in iteration: 1, new cost: 54992
Worse movement in iteration: 2, new cost: 55000
Movement in iteration: 3, new cost: 54976
Movement in iteration: 4, new cost: 54948
Movement in iteration: 5, new cost: 54920
Movement in iteration: 6, new cost: 54596
Worse movement in iteration: 7, new cost: 54806
Movement in iteration: 8, new cost: 54298
Worse movement in iteration: 9, new cost: 54462
Movement in iteration: 10, new cost: 54412
Worse movement in iteration: 11, new cost: 54500
Worse movement in iteration: 12, new cost: 54548
Worse movement in iteration: 13, new cost: 54708
Movement in iteration: 14, new cost: 54584
Movement in iteration: 15, new cost: 54528
Movement in iteration: 16, new cost: 54278
Worse movement in iteration: 17, new cost: 54482
Worse movement in iteration: 18, new cost: 55152
Movement in iteration: 19, new cost: 54612
Movement in iteration: 20, new cost: 54544
Worse movement in iteration: 21, new cost: 54630
Worse movement in iteration: 22, new cost: 54686
Worse movement in iteration: 23, new cost: 54756
Movement in iteration: 24, new cost: 54304
Worse movement in iteration: 25, new cost: 54472
Worse movement in iteration: 26, new cost: 54588
Worse movement in iteration: 27, new cost: 54628
Movement in iteration: 28, new cost: 54576
Worse movement in iteration: 29, new cost: 54678
Worse movement in iteration: 30, new cost: 54692
Worse movement in iteration: 31, new cost: 54784
Worse movement in iteration: 32, new cost: 54802
Movement in iteration: 33, new cost: 54642
Worse movement in iteration: 34, new cost: 54954
Movement in iteration: 35, new cost: 54766
Movement in iteration: 36, new cost: 54578
Worse movement in iteration: 37, new cost: 54758
Movement in iteration: 38, new cost: 54712
Movement in iteration: 39, new cost: 54628
Worse movement in iteration: 40, new cost: 54840
Movement in iteration: 41, new cost: 54416
Worse movement in iteration: 42, new cost: 54564
Worse movement in iteration: 43, new cost: 54812
Worse movement in iteration: 44, new cost: 54932
Movement in iteration: 45, new cost: 54834
Movement in iteration: 46, new cost: 54782
Worse movement in iteration: 47, new cost: 55036
Worse movement in iteration: 48, new cost: 55068
Movement in iteration: 49, new cost: 54856
Worse movement in iteration: 50, new cost: 54980
Worse movement in iteration: 51, new cost: 55014
Worse movement in iteration: 52, new cost: 55098
Worse movement in iteration: 53, new cost: 55142
Movement in iteration: 54, new cost: 55114
Movement in iteration: 55, new cost: 54774
Movement in iteration: 56, new cost: 54538
Worse movement in iteration: 57, new cost: 55168
Movement in iteration: 58, new cost: 54780
Worse movement in iteration: 59, new cost: 54792
Movement in iteration: 60, new cost: 54754
Worse movement in iteration: 61, new cost: 54782
Worse movement in iteration: 62, new cost: 54890
