Initial solution cost: 639143835, Initial temperature: 9.58716e+08
Worse movement in iteration: 1, new cost: 639163306
Worse movement in iteration: 2, new cost: 639876390
Movement in iteration: 3, new cost: 639683422
Movement in iteration: 4, new cost: 639643479
Movement in iteration: 5, new cost: 639504609
Movement in iteration: 6, new cost: 637279683
Worse movement in iteration: 7, new cost: 639101904
Worse movement in iteration: 8, new cost: 639616350
Movement in iteration: 9, new cost: 637685163
Worse movement in iteration: 10, new cost: 639960052
Movement in iteration: 11, new cost: 637920054
Worse movement in iteration: 12, new cost: 639092915
Movement in iteration: 13, new cost: 638850914
Movement in iteration: 14, new cost: 638804274
Movement in iteration: 15, new cost: 638626452
Worse movement in iteration: 16, new cost: 638782958
Movement in iteration: 17, new cost: 636391141
Movement in iteration: 18, new cost: 633841907
Worse movement in iteration: 19, new cost: 640705738
Movement in iteration: 20, new cost: 637200678
Worse movement in iteration: 21, new cost: 639563546
Movement in iteration: 22, new cost: 638269528
Movement in iteration: 23, new cost: 636616292
Worse movement in iteration: 24, new cost: 636898360
Movement in iteration: 25, new cost: 636687932
Worse movement in iteration: 26, new cost: 638235733
Movement in iteration: 27, new cost: 636519236
Worse movement in iteration: 28, new cost: 638683541
Worse movement in iteration: 29, new cost: 640658279
Movement in iteration: 30, new cost: 638697616
Movement in iteration: 31, new cost: 635157553
Worse movement in iteration: 32, new cost: 638634232
Movement in iteration: 33, new cost: 634622052
Worse movement in iteration: 34, new cost: 635403010
Worse movement in iteration: 35, new cost: 636603003
Worse movement in iteration: 36, new cost: 637929225
Movement in iteration: 37, new cost: 635007181
Worse movement in iteration: 38, new cost: 638375979
Movement in iteration: 39, new cost: 637681943
Worse movement in iteration: 40, new cost: 640198983
Movement in iteration: 41, new cost: 639488173
Movement in iteration: 42, new cost: 638608447
Movement in iteration: 43, new cost: 638067721
Worse movement in iteration: 44, new cost: 638357125
Worse movement in iteration: 45, new cost: 638997026
Movement in iteration: 46, new cost: 638989089
Worse movement in iteration: 47, new cost: 639462527
Movement in iteration: 48, new cost: 638540412
Movement in iteration: 49, new cost: 638363829
Movement in iteration: 50, new cost: 635746044
Worse movement in iteration: 51, new cost: 638089502
Movement in iteration: 52, new cost: 637565461
Movement in iteration: 53, new cost: 636229717
Worse movement in iteration: 54, new cost: 637217405
Worse movement in iteration: 55, new cost: 637674339
Worse movement in iteration: 56, new cost: 640211887
Movement in iteration: 57, new cost: 639102612
Movement in iteration: 58, new cost: 638546146
Movement in iteration: 59, new cost: 638034045
Worse movement in iteration: 60, new cost: 639886455
Worse movement in iteration: 61, new cost: 639897966
Movement in iteration: 62, new cost: 637793435
Movement in iteration: 63, new cost: 637657729
Worse movement in iteration: 64, new cost: 638421904
Worse movement in iteration: 65, new cost: 638721501
Movement in iteration: 66, new cost: 637320062
Worse movement in iteration: 67, new cost: 639242866
Movement in iteration: 68, new cost: 638174239
Worse movement in iteration: 69, new cost: 638504885
Movement in iteration: 70, new cost: 637897048
Movement in iteration: 71, new cost: 637407635
Worse movement in iteration: 72, new cost: 639780009
Movement in iteration: 73, new cost: 639378332
Movement in iteration: 74, new cost: 638348523
Movement in iteration: 75, new cost: 637348876
Worse movement in iteration: 76, new cost: 638792738
Movement in iteration: 77, new cost: 638716704
Movement in iteration: 78, new cost: 638337930
Worse movement in iteration: 79, new cost: 638432564
Worse movement in iteration: 80, new cost: 638496684
Worse movement in iteration: 81, new cost: 639500315
Movement in iteration: 82, new cost: 637805187
Movement in iteration: 83, new cost: 637668142
Movement in iteration: 84, new cost: 637305090
Movement in iteration: 99, new cost: 637146483
Movement in iteration: 121, new cost: 636954362
Movement in iteration: 150, new cost: 636942342
Movement in iteration: 156, new cost: 635329649
Movement in iteration: 168, new cost: 634047937
Movement in iteration: 183, new cost: 633755534
Movement in iteration: 200, new cost: 632446206
