Initial solution cost: 23964494, Initial temperature: 3.59467e+07
Movement in iteration: 1, new cost: 23953872
Movement in iteration: 3, new cost: 23931754
Movement in iteration: 4, new cost: 23929484
Movement in iteration: 15, new cost: 23924190
Movement in iteration: 29, new cost: 23914690
Movement in iteration: 30, new cost: 23868878
Movement in iteration: 31, new cost: 23851166
Movement in iteration: 32, new cost: 23825758
Movement in iteration: 33, new cost: 23805096
Movement in iteration: 35, new cost: 23798176
Movement in iteration: 36, new cost: 23767758
Movement in iteration: 43, new cost: 23748636
Movement in iteration: 44, new cost: 23734274
Movement in iteration: 47, new cost: 23689488
Movement in iteration: 54, new cost: 23685912
Movement in iteration: 63, new cost: 23675942
Movement in iteration: 67, new cost: 23665094
Movement in iteration: 68, new cost: 23660014
Movement in iteration: 76, new cost: 23610768
Movement in iteration: 82, new cost: 23597888
Movement in iteration: 83, new cost: 23586556
Movement in iteration: 85, new cost: 23566614
Movement in iteration: 86, new cost: 23507156
Movement in iteration: 95, new cost: 23499044
Movement in iteration: 102, new cost: 23471398
Movement in iteration: 103, new cost: 23445028
Movement in iteration: 110, new cost: 23426990
Movement in iteration: 115, new cost: 23410098
Movement in iteration: 123, new cost: 23398458
Movement in iteration: 125, new cost: 23381860
Movement in iteration: 137, new cost: 23365418
Movement in iteration: 148, new cost: 23343120
Movement in iteration: 171, new cost: 23333220
Movement in iteration: 177, new cost: 23268828
Movement in iteration: 206, new cost: 23249940
Movement in iteration: 214, new cost: 23212414
Movement in iteration: 225, new cost: 23210236
Movement in iteration: 234, new cost: 23207208
Movement in iteration: 277, new cost: 23196726
Movement in iteration: 316, new cost: 23149778
Movement in iteration: 334, new cost: 23142710
Movement in iteration: 405, new cost: 23133570
Movement in iteration: 408, new cost: 23125488
Movement in iteration: 410, new cost: 23103198
Movement in iteration: 487, new cost: 23094672
Movement in iteration: 489, new cost: 23091268
Movement in iteration: 522, new cost: 23085468
Movement in iteration: 529, new cost: 23078854
Movement in iteration: 553, new cost: 23064662
Movement in iteration: 555, new cost: 23056360
Movement in iteration: 562, new cost: 23048668
Movement in iteration: 565, new cost: 23046676
Movement in iteration: 569, new cost: 23027760
Movement in iteration: 571, new cost: 23018278
Movement in iteration: 577, new cost: 22970226
Movement in iteration: 599, new cost: 22964600
Movement in iteration: 615, new cost: 22956988
Movement in iteration: 629, new cost: 22936008
Movement in iteration: 662, new cost: 22928590
Movement in iteration: 684, new cost: 22928254
Movement in iteration: 685, new cost: 22913934
Movement in iteration: 705, new cost: 22913554
Movement in iteration: 713, new cost: 22868674
Movement in iteration: 740, new cost: 22847256
Movement in iteration: 759, new cost: 22845994
Movement in iteration: 787, new cost: 22843712
Movement in iteration: 841, new cost: 22837454
Movement in iteration: 850, new cost: 22819408
Movement in iteration: 862, new cost: 22811720
Movement in iteration: 867, new cost: 22806012
Movement in iteration: 868, new cost: 22779674
Movement in iteration: 1085, new cost: 22761856
Movement in iteration: 1086, new cost: 22741310
Movement in iteration: 1108, new cost: 22737660
Movement in iteration: 1202, new cost: 22730070
Movement in iteration: 1253, new cost: 22720530
Movement in iteration: 1387, new cost: 22700222
Movement in iteration: 1421, new cost: 22690720
Movement in iteration: 1478, new cost: 22689884
Movement in iteration: 1498, new cost: 22684568
Movement in iteration: 1511, new cost: 22669690
Movement in iteration: 1593, new cost: 22669152
Movement in iteration: 1595, new cost: 22660492
Movement in iteration: 1601, new cost: 22658432
Movement in iteration: 1617, new cost: 22658158
Movement in iteration: 1618, new cost: 22658120
Movement in iteration: 1620, new cost: 22655490
Movement in iteration: 1622, new cost: 22654976
Movement in iteration: 1654, new cost: 22639720
Movement in iteration: 1772, new cost: 22639386
Movement in iteration: 2107, new cost: 22629028
Movement in iteration: 2138, new cost: 22623348
Movement in iteration: 2156, new cost: 22606070
Movement in iteration: 2188, new cost: 22602876
Movement in iteration: 2277, new cost: 22599136
Movement in iteration: 2278, new cost: 22598408
Movement in iteration: 2285, new cost: 22592944
Movement in iteration: 2297, new cost: 22575236
Movement in iteration: 2366, new cost: 22542558
Movement in iteration: 2485, new cost: 22500344
Movement in iteration: 2487, new cost: 22485222
Movement in iteration: 2658, new cost: 22479974
Movement in iteration: 2912, new cost: 22477192
Movement in iteration: 2913, new cost: 22473274
Movement in iteration: 2932, new cost: 22472568
Movement in iteration: 2946, new cost: 22444334
Movement in iteration: 3002, new cost: 22436294
Movement in iteration: 3352, new cost: 22427354
Movement in iteration: 3356, new cost: 22421996
Movement in iteration: 3436, new cost: 22407276
Movement in iteration: 3690, new cost: 22396902
Movement in iteration: 3696, new cost: 22373254
Movement in iteration: 3788, new cost: 22353508
Movement in iteration: 3789, new cost: 22353000
Movement in iteration: 3797, new cost: 22322320
Movement in iteration: 3870, new cost: 22312254
Movement in iteration: 4025, new cost: 22304606
Movement in iteration: 4129, new cost: 22286484
Movement in iteration: 4132, new cost: 22282102
Movement in iteration: 4352, new cost: 22274054
Movement in iteration: 4459, new cost: 22248842
Movement in iteration: 4615, new cost: 22242288
Movement in iteration: 4672, new cost: 22241242
Movement in iteration: 4698, new cost: 22236096
Movement in iteration: 4953, new cost: 22231264
