Initial solution cost: 1682151207, Initial temperature: 2.52323e+09
Worse movement in iteration: 1, new cost: 1683384790
Movement in iteration: 2, new cost: 1682319415
Worse movement in iteration: 3, new cost: 1682886899
Movement in iteration: 4, new cost: 1682793673
Movement in iteration: 5, new cost: 1682457581
Movement in iteration: 6, new cost: 1681705063
Worse movement in iteration: 7, new cost: 1685924394
Movement in iteration: 8, new cost: 1684065445
Movement in iteration: 9, new cost: 1683660681
Movement in iteration: 10, new cost: 1682486554
Worse movement in iteration: 11, new cost: 1687526599
Movement in iteration: 12, new cost: 1677220073
Movement in iteration: 13, new cost: 1672892706
Movement in iteration: 14, new cost: 1663846846
Worse movement in iteration: 15, new cost: 1689415549
Movement in iteration: 16, new cost: 1666095648
Movement in iteration: 17, new cost: 1659081113
Worse movement in iteration: 18, new cost: 1680752752
Movement in iteration: 19, new cost: 1661395637
Worse movement in iteration: 20, new cost: 1675228630
Worse movement in iteration: 21, new cost: 1683845775
Worse movement in iteration: 22, new cost: 1684003524
Movement in iteration: 23, new cost: 1678774095
Movement in iteration: 24, new cost: 1664176733
Worse movement in iteration: 25, new cost: 1689955183
Worse movement in iteration: 26, new cost: 1700070943
Worse movement in iteration: 27, new cost: 1713242870
Movement in iteration: 28, new cost: 1696171214
Worse movement in iteration: 29, new cost: 1715419914
Movement in iteration: 30, new cost: 1701266587
Movement in iteration: 31, new cost: 1689023396
Movement in iteration: 32, new cost: 1678057045
Movement in iteration: 33, new cost: 1672155915
Worse movement in iteration: 34, new cost: 1673805428
Worse movement in iteration: 35, new cost: 1707347131
Movement in iteration: 36, new cost: 1690678905
Worse movement in iteration: 37, new cost: 1693639959
Movement in iteration: 38, new cost: 1671036253
Movement in iteration: 39, new cost: 1670086652
Movement in iteration: 40, new cost: 1667791674
Worse movement in iteration: 41, new cost: 1693859818
Movement in iteration: 42, new cost: 1690484660
Movement in iteration: 43, new cost: 1678904071
Worse movement in iteration: 44, new cost: 1679227679
Worse movement in iteration: 45, new cost: 1687387056
Worse movement in iteration: 46, new cost: 1704634965
Movement in iteration: 47, new cost: 1672776561
Worse movement in iteration: 48, new cost: 1719439586
Movement in iteration: 49, new cost: 1656561576
Worse movement in iteration: 50, new cost: 1684983840
Worse movement in iteration: 51, new cost: 1693686269
Worse movement in iteration: 52, new cost: 1698783155
Movement in iteration: 53, new cost: 1691419138
Movement in iteration: 54, new cost: 1688761994
Worse movement in iteration: 55, new cost: 1693208488
Movement in iteration: 56, new cost: 1686890218
Movement in iteration: 57, new cost: 1682815685
Movement in iteration: 58, new cost: 1679941177
Worse movement in iteration: 59, new cost: 1681865430
Worse movement in iteration: 60, new cost: 1690019581
Movement in iteration: 61, new cost: 1685862285
Worse movement in iteration: 62, new cost: 1713947661
Movement in iteration: 63, new cost: 1671397176
Worse movement in iteration: 64, new cost: 1691044815
Worse movement in iteration: 65, new cost: 1704041983
Movement in iteration: 66, new cost: 1690539422
Worse movement in iteration: 67, new cost: 1718100662
Movement in iteration: 68, new cost: 1715274123
Movement in iteration: 69, new cost: 1686012260
Worse movement in iteration: 70, new cost: 1693189514
Movement in iteration: 71, new cost: 1686062846
Worse movement in iteration: 72, new cost: 1701636866
Movement in iteration: 73, new cost: 1693480584
Movement in iteration: 74, new cost: 1692630705
Movement in iteration: 76, new cost: 1679024043
Worse movement in iteration: 78, new cost: 1682740690
Movement in iteration: 93, new cost: 1679466066
Movement in iteration: 98, new cost: 1663671820
Movement in iteration: 100, new cost: 1663001285
Movement in iteration: 101, new cost: 1662470266
Worse movement in iteration: 104, new cost: 1662535000
Worse movement in iteration: 105, new cost: 1662730697
Movement in iteration: 108, new cost: 1661646608
Movement in iteration: 109, new cost: 1661418379
Movement in iteration: 139, new cost: 1654534172
Movement in iteration: 149, new cost: 1652533786
Movement in iteration: 199, new cost: 1652334834
Movement in iteration: 208, new cost: 1652114776
Movement in iteration: 209, new cost: 1651927557
Movement in iteration: 223, new cost: 1649305894
Movement in iteration: 224, new cost: 1645882390
Movement in iteration: 225, new cost: 1643804004
Movement in iteration: 230, new cost: 1640501933
Movement in iteration: 231, new cost: 1637872083
Movement in iteration: 232, new cost: 1632655333
Movement in iteration: 238, new cost: 1632363329
Movement in iteration: 248, new cost: 1623965538
Movement in iteration: 257, new cost: 1615850892
Movement in iteration: 298, new cost: 1615040132
Movement in iteration: 303, new cost: 1614782937
Movement in iteration: 304, new cost: 1614719538
Movement in iteration: 322, new cost: 1605035451
Movement in iteration: 332, new cost: 1600384332
Movement in iteration: 336, new cost: 1599658882
Movement in iteration: 337, new cost: 1598243753
Movement in iteration: 375, new cost: 1597892903
Movement in iteration: 390, new cost: 1597145717
Movement in iteration: 396, new cost: 1593449313
Movement in iteration: 402, new cost: 1592055721
Movement in iteration: 435, new cost: 1592050273
Movement in iteration: 436, new cost: 1588928127
Movement in iteration: 489, new cost: 1588104157
Movement in iteration: 494, new cost: 1587795135
Movement in iteration: 502, new cost: 1587390699
Movement in iteration: 504, new cost: 1587073247
Movement in iteration: 513, new cost: 1583183077
Movement in iteration: 521, new cost: 1583085176
Movement in iteration: 522, new cost: 1580468415
Movement in iteration: 526, new cost: 1567839697
Movement in iteration: 527, new cost: 1535309647
Movement in iteration: 598, new cost: 1534991920
Movement in iteration: 611, new cost: 1529908370
Movement in iteration: 628, new cost: 1529060563
Movement in iteration: 653, new cost: 1521900347
Movement in iteration: 672, new cost: 1521166757
Movement in iteration: 687, new cost: 1520009443
Movement in iteration: 698, new cost: 1519932233
Movement in iteration: 700, new cost: 1518897205
Movement in iteration: 803, new cost: 1517159037
Movement in iteration: 826, new cost: 1510649007
Movement in iteration: 870, new cost: 1508736357
Movement in iteration: 892, new cost: 1508127608
Movement in iteration: 893, new cost: 1507960063
Movement in iteration: 1001, new cost: 1507271730
Movement in iteration: 1003, new cost: 1494308350
Movement in iteration: 1008, new cost: 1493241655
Movement in iteration: 1024, new cost: 1493127364
Movement in iteration: 1025, new cost: 1490151067
Movement in iteration: 1049, new cost: 1488873597
Movement in iteration: 1064, new cost: 1487734640
Movement in iteration: 1071, new cost: 1486864831
Movement in iteration: 1077, new cost: 1484998205
Movement in iteration: 1083, new cost: 1474583176
Movement in iteration: 1107, new cost: 1467429089
Movement in iteration: 1123, new cost: 1466524376
Movement in iteration: 1129, new cost: 1465953291
Movement in iteration: 1148, new cost: 1461012232
Movement in iteration: 1167, new cost: 1459123404
Movement in iteration: 1201, new cost: 1435860896
Movement in iteration: 1209, new cost: 1431367849
Movement in iteration: 1211, new cost: 1430011293
Movement in iteration: 1215, new cost: 1423134220
Movement in iteration: 1233, new cost: 1413678078
Movement in iteration: 1242, new cost: 1413459376
Movement in iteration: 1251, new cost: 1411464574
Movement in iteration: 1269, new cost: 1404577073
Movement in iteration: 1283, new cost: 1403254315
