Initial solution cost: 14764, Initial temperature: 22146
Movement in iteration: 1, new cost: 14436
Movement in iteration: 3, new cost: 14124
Movement in iteration: 11, new cost: 13254
Movement in iteration: 15, new cost: 11860
Movement in iteration: 16, new cost: 11586
Movement in iteration: 23, new cost: 11130
Movement in iteration: 26, new cost: 10776
Movement in iteration: 34, new cost: 10388
Movement in iteration: 35, new cost: 10082
Movement in iteration: 50, new cost: 9786
Movement in iteration: 53, new cost: 9752
Movement in iteration: 56, new cost: 9134
Movement in iteration: 60, new cost: 8908
Movement in iteration: 66, new cost: 8818
Movement in iteration: 67, new cost: 8800
Movement in iteration: 72, new cost: 8348
Movement in iteration: 75, new cost: 8096
Movement in iteration: 79, new cost: 7914
Movement in iteration: 82, new cost: 7830
Movement in iteration: 87, new cost: 7822
Movement in iteration: 97, new cost: 7766
Movement in iteration: 133, new cost: 7730
Movement in iteration: 153, new cost: 7660
Movement in iteration: 158, new cost: 7566
Movement in iteration: 164, new cost: 7490
Movement in iteration: 173, new cost: 7480
Movement in iteration: 244, new cost: 7328
Movement in iteration: 308, new cost: 7288
Movement in iteration: 352, new cost: 7196
Movement in iteration: 356, new cost: 7108
Loop ended because of the temperature
