Initial solution cost: 1818442622, Initial temperature: 2.72766e+09
Movement in iteration: 3, new cost: 1818133757
Movement in iteration: 4, new cost: 1816780084
Movement in iteration: 5, new cost: 1815658884
Movement in iteration: 6, new cost: 1815211120
Movement in iteration: 8, new cost: 1814094538
Movement in iteration: 9, new cost: 1814023692
Movement in iteration: 10, new cost: 1813304796
Movement in iteration: 14, new cost: 1811233088
Movement in iteration: 15, new cost: 1807609826
Movement in iteration: 16, new cost: 1805520652
Movement in iteration: 25, new cost: 1801093474
Movement in iteration: 27, new cost: 1791564294
Movement in iteration: 28, new cost: 1791241231
Movement in iteration: 29, new cost: 1790482072
Movement in iteration: 30, new cost: 1784523305
Movement in iteration: 34, new cost: 1782233576
Movement in iteration: 46, new cost: 1775031526
Movement in iteration: 53, new cost: 1769783820
Movement in iteration: 99, new cost: 1745233687
Movement in iteration: 100, new cost: 1744005573
Movement in iteration: 101, new cost: 1743345559
Movement in iteration: 103, new cost: 1742648015
Movement in iteration: 104, new cost: 1742612562
Movement in iteration: 108, new cost: 1739554018
Movement in iteration: 110, new cost: 1737998617
Movement in iteration: 111, new cost: 1736845192
Movement in iteration: 113, new cost: 1736779165
Movement in iteration: 114, new cost: 1736246165
Movement in iteration: 115, new cost: 1728242834
Movement in iteration: 129, new cost: 1720424546
Movement in iteration: 130, new cost: 1719132830
Movement in iteration: 133, new cost: 1709476978
Movement in iteration: 137, new cost: 1701995359
Movement in iteration: 197, new cost: 1690305082
Movement in iteration: 206, new cost: 1690301900
Movement in iteration: 208, new cost: 1690078672
Movement in iteration: 209, new cost: 1689318171
Movement in iteration: 210, new cost: 1683859030
Movement in iteration: 211, new cost: 1681643309
Movement in iteration: 212, new cost: 1677067288
Movement in iteration: 213, new cost: 1673236489
Movement in iteration: 214, new cost: 1669198573
Movement in iteration: 216, new cost: 1666649781
Movement in iteration: 230, new cost: 1666514047
Movement in iteration: 236, new cost: 1660034066
Movement in iteration: 247, new cost: 1657366268
Movement in iteration: 250, new cost: 1655792771
Movement in iteration: 251, new cost: 1652394176
Movement in iteration: 272, new cost: 1649954992
Movement in iteration: 298, new cost: 1649536295
Movement in iteration: 303, new cost: 1648569607
Movement in iteration: 312, new cost: 1648457357
Movement in iteration: 313, new cost: 1643309846
Movement in iteration: 315, new cost: 1640686103
Movement in iteration: 329, new cost: 1639483718
Movement in iteration: 340, new cost: 1633622455
Movement in iteration: 381, new cost: 1631518767
Movement in iteration: 395, new cost: 1626377167
Movement in iteration: 396, new cost: 1615051770
Movement in iteration: 399, new cost: 1614761523
Movement in iteration: 400, new cost: 1614491629
Movement in iteration: 401, new cost: 1613823788
Movement in iteration: 403, new cost: 1612127793
Movement in iteration: 412, new cost: 1607624033
Movement in iteration: 414, new cost: 1605803929
Movement in iteration: 415, new cost: 1603121489
Movement in iteration: 425, new cost: 1598803101
Movement in iteration: 426, new cost: 1594678882
Movement in iteration: 439, new cost: 1593347102
Movement in iteration: 440, new cost: 1591699568
Movement in iteration: 445, new cost: 1586904388
Movement in iteration: 480, new cost: 1586347475
Movement in iteration: 494, new cost: 1578647252
Movement in iteration: 638, new cost: 1575339727
Movement in iteration: 642, new cost: 1574208397
Movement in iteration: 645, new cost: 1568876820
Movement in iteration: 691, new cost: 1568600503
Movement in iteration: 697, new cost: 1568578028
Movement in iteration: 698, new cost: 1568305860
Movement in iteration: 792, new cost: 1568202651
Movement in iteration: 798, new cost: 1567629015
Movement in iteration: 807, new cost: 1566746802
Movement in iteration: 808, new cost: 1563294604
Movement in iteration: 823, new cost: 1561111970
Movement in iteration: 827, new cost: 1552609630
Movement in iteration: 838, new cost: 1550952721
