Initial solution cost: 50187277
Movement in iteration: 94, new cost: 50134947
Movement in iteration: 109, new cost: 50035049
Movement in iteration: 135, new cost: 49930284
Movement in iteration: 149, new cost: 49643637
Movement in iteration: 349, new cost: 49631245
Movement in iteration: 353, new cost: 49619829
Movement in iteration: 364, new cost: 49585869
Movement in iteration: 377, new cost: 49550498
Movement in iteration: 395, new cost: 49533991
Movement in iteration: 404, new cost: 49402456
Movement in iteration: 504, new cost: 49352989
Movement in iteration: 602, new cost: 49180928
Movement in iteration: 603, new cost: 49129898
Movement in iteration: 604, new cost: 49106880
Movement in iteration: 608, new cost: 49099772
Movement in iteration: 619, new cost: 49086189
Movement in iteration: 632, new cost: 49043850
Movement in iteration: 650, new cost: 49015463
Movement in iteration: 659, new cost: 48996675
Movement in iteration: 699, new cost: 48982074
Movement in iteration: 759, new cost: 48902043
Movement in iteration: 954, new cost: 48897941
Movement in iteration: 960, new cost: 48858296
Movement in iteration: 1142, new cost: 48841281
Movement in iteration: 1367, new cost: 48792068
Movement in iteration: 1368, new cost: 48568781
Movement in iteration: 1373, new cost: 48536122
Movement in iteration: 1378, new cost: 48516277
Movement in iteration: 1384, new cost: 48515361
Movement in iteration: 1385, new cost: 48451518
Movement in iteration: 1463, new cost: 48428868
Movement in iteration: 1633, new cost: 48419958
Movement in iteration: 1638, new cost: 48401468
Movement in iteration: 1640, new cost: 48399319
Movement in iteration: 1663, new cost: 48363087
Movement in iteration: 1664, new cost: 48360707
Movement in iteration: 1692, new cost: 48354869
Movement in iteration: 1718, new cost: 48334188
Movement in iteration: 1759, new cost: 48326464
Movement in iteration: 1883, new cost: 48302723
Movement in iteration: 1893, new cost: 48169410
Movement in iteration: 2014, new cost: 48166465
Movement in iteration: 2138, new cost: 48132472
Movement in iteration: 2142, new cost: 48127665
Movement in iteration: 2143, new cost: 48103750
Movement in iteration: 2149, new cost: 48045662
Movement in iteration: 2158, new cost: 48029200
Movement in iteration: 2174, new cost: 47987016
Movement in iteration: 2290, new cost: 47978465
Movement in iteration: 2387, new cost: 47851348
Movement in iteration: 2389, new cost: 47798654
Movement in iteration: 2397, new cost: 47756007
Movement in iteration: 2398, new cost: 47754260
Movement in iteration: 2404, new cost: 47725446
Movement in iteration: 2405, new cost: 47672216
Movement in iteration: 2429, new cost: 47668297
Movement in iteration: 2437, new cost: 47667236
Movement in iteration: 2483, new cost: 47627979
Movement in iteration: 2524, new cost: 47623125
Movement in iteration: 2717, new cost: 47603582
Movement in iteration: 2911, new cost: 47551258
Movement in iteration: 2924, new cost: 47548099
Movement in iteration: 2938, new cost: 47545992
Movement in iteration: 2945, new cost: 47542940
Movement in iteration: 2947, new cost: 47542552
Movement in iteration: 2983, new cost: 47542084
Movement in iteration: 2993, new cost: 47521948
Movement in iteration: 2995, new cost: 47518277
Movement in iteration: 3023, new cost: 47508911
Movement in iteration: 3034, new cost: 47481263
Movement in iteration: 3152, new cost: 47463404
Movement in iteration: 3154, new cost: 47432240
Movement in iteration: 3156, new cost: 47421577
Movement in iteration: 3166, new cost: 47345393
Movement in iteration: 3167, new cost: 47312611
Movement in iteration: 3179, new cost: 47294620
Movement in iteration: 3238, new cost: 47294613
Movement in iteration: 3250, new cost: 47286411
Movement in iteration: 3269, new cost: 47283584
Movement in iteration: 3289, new cost: 47267124
Movement in iteration: 3298, new cost: 47248461
Movement in iteration: 3411, new cost: 47229320
Movement in iteration: 3417, new cost: 47220609
Movement in iteration: 3418, new cost: 47178710
Movement in iteration: 3422, new cost: 47084034
Movement in iteration: 3493, new cost: 47078351
Movement in iteration: 3544, new cost: 47076630
Movement in iteration: 3553, new cost: 47058506
