Initial solution cost: 7830, Initial temperature: 11745
Movement in iteration: 1, new cost: 7814
Movement in iteration: 3, new cost: 7778
Movement in iteration: 4, new cost: 7774
Movement in iteration: 8, new cost: 7752
Movement in iteration: 10, new cost: 7732
Movement in iteration: 13, new cost: 7722
Movement in iteration: 17, new cost: 7666
Movement in iteration: 20, new cost: 7654
Movement in iteration: 29, new cost: 7528
Movement in iteration: 35, new cost: 7486
Movement in iteration: 37, new cost: 7474
Movement in iteration: 38, new cost: 7438
Movement in iteration: 42, new cost: 7432
Movement in iteration: 46, new cost: 7412
Movement in iteration: 58, new cost: 7388
Movement in iteration: 59, new cost: 7380
Movement in iteration: 66, new cost: 7370
Movement in iteration: 67, new cost: 7294
Movement in iteration: 81, new cost: 7292
Movement in iteration: 83, new cost: 7276
Movement in iteration: 120, new cost: 7274
Movement in iteration: 123, new cost: 7270
Movement in iteration: 127, new cost: 7246
Movement in iteration: 151, new cost: 7234
Movement in iteration: 175, new cost: 7218
Movement in iteration: 193, new cost: 7216
Movement in iteration: 202, new cost: 7212
Movement in iteration: 211, new cost: 7208
Movement in iteration: 235, new cost: 7176
Movement in iteration: 252, new cost: 7174
Movement in iteration: 253, new cost: 7132
Movement in iteration: 260, new cost: 7108
Movement in iteration: 265, new cost: 7092
Loop ended because of the temperature
