Initial solution cost: 24074006
Movement in iteration: 1, new cost: 24071682
Movement in iteration: 2, new cost: 24051060
Movement in iteration: 4, new cost: 23999298
Movement in iteration: 20, new cost: 23994066
Movement in iteration: 25, new cost: 23980016
Movement in iteration: 31, new cost: 23962730
Movement in iteration: 35, new cost: 23960320
Movement in iteration: 36, new cost: 23952306
Movement in iteration: 37, new cost: 23873118
Movement in iteration: 38, new cost: 23845452
Movement in iteration: 41, new cost: 23821502
Movement in iteration: 57, new cost: 23809878
Movement in iteration: 58, new cost: 23795164
Movement in iteration: 65, new cost: 23793850
Movement in iteration: 66, new cost: 23763826
Movement in iteration: 69, new cost: 23754710
Movement in iteration: 72, new cost: 23750828
Movement in iteration: 73, new cost: 23740066
Movement in iteration: 81, new cost: 23732726
Movement in iteration: 87, new cost: 23718226
Movement in iteration: 88, new cost: 23698666
Movement in iteration: 91, new cost: 23675210
Movement in iteration: 94, new cost: 23664650
Movement in iteration: 98, new cost: 23645388
Movement in iteration: 99, new cost: 23608038
Movement in iteration: 100, new cost: 23561218
Movement in iteration: 138, new cost: 23545222
Movement in iteration: 169, new cost: 23542182
Movement in iteration: 199, new cost: 23518226
Movement in iteration: 234, new cost: 23502254
Movement in iteration: 287, new cost: 23497532
Movement in iteration: 304, new cost: 23482210
Movement in iteration: 305, new cost: 23476198
Movement in iteration: 310, new cost: 23449686
Movement in iteration: 316, new cost: 23415552
Movement in iteration: 325, new cost: 23384846
Movement in iteration: 355, new cost: 23380158
Movement in iteration: 356, new cost: 23357020
Movement in iteration: 357, new cost: 23354604
Movement in iteration: 358, new cost: 23340230
Movement in iteration: 362, new cost: 23320750
Movement in iteration: 365, new cost: 23307704
Movement in iteration: 381, new cost: 23304068
Movement in iteration: 391, new cost: 23303202
Movement in iteration: 395, new cost: 23287300
Movement in iteration: 401, new cost: 23261956
Movement in iteration: 407, new cost: 23251574
Movement in iteration: 419, new cost: 23223296
Movement in iteration: 449, new cost: 23213820
Movement in iteration: 461, new cost: 23212720
Movement in iteration: 465, new cost: 23211984
Movement in iteration: 496, new cost: 23202726
Movement in iteration: 501, new cost: 23170840
Movement in iteration: 503, new cost: 23156824
Movement in iteration: 507, new cost: 23150882
Movement in iteration: 512, new cost: 23118516
Movement in iteration: 522, new cost: 23099208
Movement in iteration: 525, new cost: 23091416
Movement in iteration: 526, new cost: 23072546
Movement in iteration: 528, new cost: 23049176
Movement in iteration: 537, new cost: 23033136
Movement in iteration: 538, new cost: 23008452
Movement in iteration: 543, new cost: 23005596
Movement in iteration: 545, new cost: 22997010
Movement in iteration: 546, new cost: 22987420
Movement in iteration: 547, new cost: 22983980
Movement in iteration: 551, new cost: 22946618
Movement in iteration: 566, new cost: 22946090
Movement in iteration: 603, new cost: 22926852
Movement in iteration: 624, new cost: 22902598
Movement in iteration: 626, new cost: 22893182
Movement in iteration: 721, new cost: 22862970
Movement in iteration: 793, new cost: 22860074
Movement in iteration: 815, new cost: 22851530
Movement in iteration: 822, new cost: 22821230
Movement in iteration: 823, new cost: 22804806
Movement in iteration: 824, new cost: 22774556
Movement in iteration: 839, new cost: 22753242
Movement in iteration: 879, new cost: 22752016
Movement in iteration: 898, new cost: 22744652
Movement in iteration: 934, new cost: 22701540
Movement in iteration: 1071, new cost: 22693436
Movement in iteration: 1092, new cost: 22683416
Movement in iteration: 1102, new cost: 22682416
Movement in iteration: 1143, new cost: 22669584
Movement in iteration: 1184, new cost: 22666380
Movement in iteration: 1256, new cost: 22666014
Movement in iteration: 1271, new cost: 22646326
Movement in iteration: 1276, new cost: 22638556
Movement in iteration: 1279, new cost: 22628262
Movement in iteration: 1285, new cost: 22603578
Movement in iteration: 1299, new cost: 22602496
Movement in iteration: 1322, new cost: 22601500
Movement in iteration: 1344, new cost: 22598886
Movement in iteration: 1352, new cost: 22598058
Movement in iteration: 1399, new cost: 22565928
Movement in iteration: 1427, new cost: 22546452
Movement in iteration: 1472, new cost: 22545588
Movement in iteration: 1522, new cost: 22543292
Movement in iteration: 1560, new cost: 22537518
Movement in iteration: 1563, new cost: 22534976
Movement in iteration: 1571, new cost: 22525760
Movement in iteration: 1731, new cost: 22518386
Movement in iteration: 1741, new cost: 22517580
Movement in iteration: 1806, new cost: 22510096
Movement in iteration: 1820, new cost: 22489436
Movement in iteration: 1845, new cost: 22485862
