Initial solution cost: 9521448
Movement in iteration: 6, new cost: 9518308
Movement in iteration: 16, new cost: 9517618
Movement in iteration: 17, new cost: 9514831
Movement in iteration: 22, new cost: 9511631
Movement in iteration: 23, new cost: 9510843
Movement in iteration: 26, new cost: 9504667
Movement in iteration: 42, new cost: 9503229
Movement in iteration: 44, new cost: 9501105
Movement in iteration: 49, new cost: 9500001
Movement in iteration: 52, new cost: 9498737
Movement in iteration: 65, new cost: 9498577
Movement in iteration: 67, new cost: 9492264
Movement in iteration: 68, new cost: 9491298
Movement in iteration: 108, new cost: 9484550
Movement in iteration: 117, new cost: 9473443
Movement in iteration: 119, new cost: 9466739
Movement in iteration: 151, new cost: 9465502
Movement in iteration: 155, new cost: 9457309
Movement in iteration: 166, new cost: 9456003
Movement in iteration: 170, new cost: 9454445
Movement in iteration: 171, new cost: 9453387
Movement in iteration: 172, new cost: 9446571
Movement in iteration: 173, new cost: 9444328
Movement in iteration: 175, new cost: 9436187
Movement in iteration: 191, new cost: 9432851
Movement in iteration: 212, new cost: 9431729
Movement in iteration: 214, new cost: 9429745
Movement in iteration: 215, new cost: 9425798
Movement in iteration: 217, new cost: 9421666
Movement in iteration: 224, new cost: 9416642
Movement in iteration: 307, new cost: 9410683
Movement in iteration: 315, new cost: 9409364
Movement in iteration: 347, new cost: 9405651
Movement in iteration: 365, new cost: 9403893
Movement in iteration: 366, new cost: 9403887
Movement in iteration: 389, new cost: 9401385
Movement in iteration: 394, new cost: 9390787
Movement in iteration: 422, new cost: 9389863
Movement in iteration: 431, new cost: 9389548
Movement in iteration: 456, new cost: 9384368
Movement in iteration: 464, new cost: 9384174
Movement in iteration: 465, new cost: 9383034
Movement in iteration: 480, new cost: 9380508
Movement in iteration: 482, new cost: 9379346
Movement in iteration: 485, new cost: 9377940
Movement in iteration: 489, new cost: 9372447
Movement in iteration: 606, new cost: 9370305
Movement in iteration: 607, new cost: 9366546
Movement in iteration: 611, new cost: 9364542
Movement in iteration: 626, new cost: 9364438
Movement in iteration: 631, new cost: 9363796
Movement in iteration: 632, new cost: 9362898
Movement in iteration: 633, new cost: 9362114
Movement in iteration: 635, new cost: 9359949
Movement in iteration: 638, new cost: 9354295
Movement in iteration: 640, new cost: 9354011
Movement in iteration: 642, new cost: 9352831
Movement in iteration: 643, new cost: 9346156
Movement in iteration: 645, new cost: 9345400
Movement in iteration: 659, new cost: 9345215
Movement in iteration: 663, new cost: 9344397
Movement in iteration: 682, new cost: 9340659
Movement in iteration: 696, new cost: 9340635
Movement in iteration: 713, new cost: 9332654
Movement in iteration: 751, new cost: 9331515
Movement in iteration: 752, new cost: 9329197
Movement in iteration: 754, new cost: 9328519
Movement in iteration: 756, new cost: 9327501
Movement in iteration: 766, new cost: 9325427
Movement in iteration: 767, new cost: 9324144
Movement in iteration: 769, new cost: 9323814
Movement in iteration: 773, new cost: 9322852
Movement in iteration: 775, new cost: 9318160
Movement in iteration: 780, new cost: 9314048
Movement in iteration: 781, new cost: 9313124
Movement in iteration: 784, new cost: 9310452
Movement in iteration: 785, new cost: 9309135
Movement in iteration: 793, new cost: 9305495
Movement in iteration: 794, new cost: 9304143
Movement in iteration: 796, new cost: 9303929
Movement in iteration: 797, new cost: 9299977
Movement in iteration: 803, new cost: 9296720
Movement in iteration: 831, new cost: 9293485
Movement in iteration: 848, new cost: 9290827
Movement in iteration: 849, new cost: 9287447
Movement in iteration: 852, new cost: 9285025
Movement in iteration: 869, new cost: 9283113
Movement in iteration: 884, new cost: 9281769
Movement in iteration: 885, new cost: 9279939
Movement in iteration: 890, new cost: 9271313
Movement in iteration: 901, new cost: 9269564
Movement in iteration: 903, new cost: 9266834
Movement in iteration: 905, new cost: 9266067
Movement in iteration: 916, new cost: 9263687
Movement in iteration: 920, new cost: 9262717
Movement in iteration: 922, new cost: 9260207
Movement in iteration: 930, new cost: 9257367
Movement in iteration: 931, new cost: 9257212
Movement in iteration: 936, new cost: 9256720
Movement in iteration: 938, new cost: 9253342
Movement in iteration: 965, new cost: 9252093
Movement in iteration: 997, new cost: 9246153
Movement in iteration: 1051, new cost: 9244921
Movement in iteration: 1052, new cost: 9242319
Movement in iteration: 1065, new cost: 9241120
Movement in iteration: 1066, new cost: 9240550
Movement in iteration: 1067, new cost: 9238658
Movement in iteration: 1080, new cost: 9237568
Movement in iteration: 1114, new cost: 9235694
Movement in iteration: 1201, new cost: 9235362
Movement in iteration: 1202, new cost: 9233656
Movement in iteration: 1214, new cost: 9232620
Movement in iteration: 1215, new cost: 9232031
Movement in iteration: 1229, new cost: 9231570
Movement in iteration: 1230, new cost: 9229994
Movement in iteration: 1231, new cost: 9228166
Movement in iteration: 1234, new cost: 9226542
Movement in iteration: 1235, new cost: 9223840
Movement in iteration: 1295, new cost: 9223314
Movement in iteration: 1351, new cost: 9223162
Movement in iteration: 1352, new cost: 9221510
Movement in iteration: 1353, new cost: 9220083
Movement in iteration: 1365, new cost: 9218252
Movement in iteration: 1366, new cost: 9217732
Movement in iteration: 1379, new cost: 9217540
Movement in iteration: 1380, new cost: 9216596
Movement in iteration: 1395, new cost: 9215846
Movement in iteration: 1398, new cost: 9213494
