Initial solution cost: 1739254043
Movement in iteration: 1, new cost: 1738697419
Movement in iteration: 3, new cost: 1738588344
Movement in iteration: 4, new cost: 1735903780
Movement in iteration: 6, new cost: 1735149558
Movement in iteration: 10, new cost: 1734659871
Movement in iteration: 13, new cost: 1720847128
Movement in iteration: 14, new cost: 1720837275
Movement in iteration: 21, new cost: 1720577240
Movement in iteration: 26, new cost: 1712757660
Movement in iteration: 32, new cost: 1696243629
Movement in iteration: 100, new cost: 1695727367
Movement in iteration: 106, new cost: 1695381643
Movement in iteration: 107, new cost: 1694706181
Movement in iteration: 108, new cost: 1692926903
Movement in iteration: 110, new cost: 1692378949
Movement in iteration: 112, new cost: 1686756021
Movement in iteration: 113, new cost: 1671219769
Movement in iteration: 198, new cost: 1670038114
Movement in iteration: 207, new cost: 1669554083
Movement in iteration: 209, new cost: 1667617754
Movement in iteration: 212, new cost: 1666910637
Movement in iteration: 215, new cost: 1661933859
Movement in iteration: 217, new cost: 1657898765
Movement in iteration: 219, new cost: 1655709804
Movement in iteration: 224, new cost: 1619624698
Movement in iteration: 303, new cost: 1619217723
Movement in iteration: 310, new cost: 1616554179
Movement in iteration: 311, new cost: 1612412228
Movement in iteration: 316, new cost: 1606672969
Movement in iteration: 318, new cost: 1601961042
Movement in iteration: 322, new cost: 1595772728
Movement in iteration: 325, new cost: 1592123694
Movement in iteration: 331, new cost: 1588812038
Movement in iteration: 398, new cost: 1588577962
Movement in iteration: 401, new cost: 1588216674
Movement in iteration: 471, new cost: 1586708196
Movement in iteration: 496, new cost: 1586599115
Movement in iteration: 529, new cost: 1583954815
Movement in iteration: 570, new cost: 1579459701
Movement in iteration: 595, new cost: 1578582483
Movement in iteration: 597, new cost: 1578168734
Movement in iteration: 598, new cost: 1577865104
Movement in iteration: 622, new cost: 1574592674
Movement in iteration: 623, new cost: 1573851363
Movement in iteration: 624, new cost: 1569556759
Movement in iteration: 628, new cost: 1560673596
Movement in iteration: 654, new cost: 1560283684
Movement in iteration: 687, new cost: 1559357456
Movement in iteration: 696, new cost: 1559230776
Movement in iteration: 697, new cost: 1558714543
Movement in iteration: 795, new cost: 1557869727
Movement in iteration: 796, new cost: 1557774249
Movement in iteration: 798, new cost: 1557336824
Movement in iteration: 893, new cost: 1557156775
Movement in iteration: 894, new cost: 1556285451
Movement in iteration: 895, new cost: 1555579626
Movement in iteration: 1002, new cost: 1554172689
Movement in iteration: 1003, new cost: 1550277327
Movement in iteration: 1004, new cost: 1544589992
Movement in iteration: 1007, new cost: 1540810857
Movement in iteration: 1011, new cost: 1533234543
Movement in iteration: 1019, new cost: 1532704998
Movement in iteration: 1023, new cost: 1532414056
Movement in iteration: 1026, new cost: 1529568596
Movement in iteration: 1031, new cost: 1525814261
Movement in iteration: 1041, new cost: 1522602530
Movement in iteration: 1042, new cost: 1521050918
Movement in iteration: 1050, new cost: 1518942588
Movement in iteration: 1083, new cost: 1518941835
Movement in iteration: 1102, new cost: 1517516747
Movement in iteration: 1103, new cost: 1512592210
Movement in iteration: 1106, new cost: 1509466455
Movement in iteration: 1108, new cost: 1507726679
Movement in iteration: 1110, new cost: 1504906879
Movement in iteration: 1111, new cost: 1503042357
Movement in iteration: 1122, new cost: 1499087000
Movement in iteration: 1130, new cost: 1493602224
Movement in iteration: 1164, new cost: 1492812371
Movement in iteration: 1224, new cost: 1492428462
Movement in iteration: 1246, new cost: 1486442236
Movement in iteration: 1263, new cost: 1486367614
Movement in iteration: 1307, new cost: 1486222512
Movement in iteration: 1311, new cost: 1485681163
Movement in iteration: 1319, new cost: 1480163446
Movement in iteration: 1340, new cost: 1478868735
Movement in iteration: 1348, new cost: 1468401935
Movement in iteration: 1363, new cost: 1466765808
Movement in iteration: 1367, new cost: 1463988408
Movement in iteration: 1368, new cost: 1461165344
Movement in iteration: 1369, new cost: 1458808739
Movement in iteration: 1375, new cost: 1455122401
Movement in iteration: 1403, new cost: 1453881344
Movement in iteration: 1416, new cost: 1452164081
Movement in iteration: 1418, new cost: 1450616375
Movement in iteration: 1422, new cost: 1445690094
Movement in iteration: 1438, new cost: 1443694110
Movement in iteration: 1439, new cost: 1439860837
Movement in iteration: 1460, new cost: 1437750068
Movement in iteration: 1462, new cost: 1431831948
Movement in iteration: 1471, new cost: 1430069251
Movement in iteration: 1478, new cost: 1427703732
Movement in iteration: 1485, new cost: 1424006589
Movement in iteration: 1499, new cost: 1423266720
Movement in iteration: 1500, new cost: 1421262604
Movement in iteration: 1501, new cost: 1420541747
Movement in iteration: 1502, new cost: 1420521761
Movement in iteration: 1503, new cost: 1419677100
Movement in iteration: 1504, new cost: 1418092988
Movement in iteration: 1505, new cost: 1416750352
Movement in iteration: 1506, new cost: 1415532751
Movement in iteration: 1515, new cost: 1404247808
Movement in iteration: 1528, new cost: 1401378859
Movement in iteration: 1533, new cost: 1398850751
Movement in iteration: 1561, new cost: 1397391957
Movement in iteration: 1567, new cost: 1397301110
Movement in iteration: 1577, new cost: 1397214522
Movement in iteration: 1578, new cost: 1396222725
Movement in iteration: 1580, new cost: 1395795385
Movement in iteration: 1585, new cost: 1389958807
Movement in iteration: 1587, new cost: 1388610377
Movement in iteration: 1602, new cost: 1388587401
Movement in iteration: 1637, new cost: 1385897461
Movement in iteration: 1638, new cost: 1385881183
Movement in iteration: 1643, new cost: 1385681657
Movement in iteration: 1644, new cost: 1384089604
Movement in iteration: 1646, new cost: 1382613551
Movement in iteration: 1650, new cost: 1380997532
Movement in iteration: 1656, new cost: 1377134590
Movement in iteration: 1679, new cost: 1376800353
Movement in iteration: 1699, new cost: 1376738145
Movement in iteration: 1713, new cost: 1370790245
Movement in iteration: 1719, new cost: 1370154557
Movement in iteration: 1726, new cost: 1369170146
Movement in iteration: 1728, new cost: 1367368599
Movement in iteration: 1731, new cost: 1367295521
Movement in iteration: 1736, new cost: 1365244936
Movement in iteration: 1737, new cost: 1360778800
Movement in iteration: 1743, new cost: 1360763353
Movement in iteration: 1745, new cost: 1352852325
Movement in iteration: 1754, new cost: 1350788294
Movement in iteration: 1758, new cost: 1350496610
Movement in iteration: 1797, new cost: 1349827846
Movement in iteration: 1799, new cost: 1349453322
Movement in iteration: 1827, new cost: 1346884435
Movement in iteration: 1838, new cost: 1344597878
Movement in iteration: 1841, new cost: 1343534684
Movement in iteration: 1847, new cost: 1341833679
Movement in iteration: 1854, new cost: 1341135771
Movement in iteration: 1857, new cost: 1340855526
Movement in iteration: 1877, new cost: 1336968885
Movement in iteration: 1897, new cost: 1336339215
Movement in iteration: 2014, new cost: 1336289245
Movement in iteration: 2017, new cost: 1335184106
Movement in iteration: 2021, new cost: 1333128594
Movement in iteration: 2023, new cost: 1333007080
Movement in iteration: 2052, new cost: 1332505918
Movement in iteration: 2062, new cost: 1332018240
Movement in iteration: 2070, new cost: 1331318806
Movement in iteration: 2103, new cost: 1330992837
Movement in iteration: 2110, new cost: 1328441237
Movement in iteration: 2221, new cost: 1328320134
Movement in iteration: 2239, new cost: 1326799930
Movement in iteration: 2241, new cost: 1325964225
Movement in iteration: 2242, new cost: 1325746837
Movement in iteration: 2243, new cost: 1325550406
Movement in iteration: 2262, new cost: 1324867989
Movement in iteration: 2264, new cost: 1323829993
Movement in iteration: 2301, new cost: 1323097810
Movement in iteration: 2320, new cost: 1323050619
Movement in iteration: 2324, new cost: 1321990692
Movement in iteration: 2340, new cost: 1321272576
Movement in iteration: 2367, new cost: 1320555498
Movement in iteration: 2407, new cost: 1318236294
Movement in iteration: 2409, new cost: 1317359789
Movement in iteration: 2411, new cost: 1316685857
Movement in iteration: 2423, new cost: 1316561834
Movement in iteration: 2426, new cost: 1316391315
Movement in iteration: 2439, new cost: 1316209835
Movement in iteration: 2466, new cost: 1316014997
Movement in iteration: 2504, new cost: 1316004140
Movement in iteration: 2601, new cost: 1315470285
Movement in iteration: 2602, new cost: 1314870175
Movement in iteration: 2700, new cost: 1313915343
Movement in iteration: 2820, new cost: 1313352933
Movement in iteration: 2897, new cost: 1313001745
Movement in iteration: 2909, new cost: 1305680232
Movement in iteration: 2995, new cost: 1303357631
Movement in iteration: 3065, new cost: 1303187850
Movement in iteration: 3107, new cost: 1302888660
Movement in iteration: 3113, new cost: 1301139476
Movement in iteration: 3118, new cost: 1300981663
Movement in iteration: 3157, new cost: 1300256903
Movement in iteration: 3193, new cost: 1299732059
Movement in iteration: 3200, new cost: 1299364073
Movement in iteration: 3207, new cost: 1298995528
Movement in iteration: 3263, new cost: 1298836466
Movement in iteration: 3292, new cost: 1298363028
Movement in iteration: 3299, new cost: 1298016031
Movement in iteration: 3302, new cost: 1297297095
Movement in iteration: 3307, new cost: 1296970890
Movement in iteration: 3309, new cost: 1296225172
Movement in iteration: 3404, new cost: 1296093682
Movement in iteration: 3448, new cost: 1295649815
Movement in iteration: 3453, new cost: 1295519608
Movement in iteration: 3454, new cost: 1293472636
Movement in iteration: 3501, new cost: 1293059489
Movement in iteration: 3505, new cost: 1292887078
Movement in iteration: 3510, new cost: 1292645592
Movement in iteration: 3511, new cost: 1292118718
Movement in iteration: 3601, new cost: 1292097229
Movement in iteration: 3602, new cost: 1292022940
Movement in iteration: 3605, new cost: 1291805447
Movement in iteration: 3647, new cost: 1291673539
Movement in iteration: 3652, new cost: 1290721414
Movement in iteration: 3653, new cost: 1290640801
Movement in iteration: 3797, new cost: 1290359522
Movement in iteration: 3885, new cost: 1290039556
Movement in iteration: 3893, new cost: 1289956051
Movement in iteration: 3895, new cost: 1289797742
Movement in iteration: 3901, new cost: 1289653719
Movement in iteration: 3908, new cost: 1288892958
Movement in iteration: 3942, new cost: 1288774638
Movement in iteration: 3944, new cost: 1287929186
Movement in iteration: 3946, new cost: 1286384453
Movement in iteration: 3948, new cost: 1285108713
Movement in iteration: 4091, new cost: 1284984484
Movement in iteration: 4093, new cost: 1284872288
Movement in iteration: 4186, new cost: 1284601683
Movement in iteration: 4240, new cost: 1284528388
Movement in iteration: 4272, new cost: 1283004265
Movement in iteration: 4319, new cost: 1281715314
Movement in iteration: 4469, new cost: 1280784118
Movement in iteration: 4543, new cost: 1280178770
Movement in iteration: 4554, new cost: 1276209851
Movement in iteration: 4573, new cost: 1275883854
Movement in iteration: 4581, new cost: 1275870088
Movement in iteration: 4661, new cost: 1275776230
Movement in iteration: 4678, new cost: 1274917883
Movement in iteration: 4914, new cost: 1274410900
Movement in iteration: 4917, new cost: 1274251744
Movement in iteration: 4976, new cost: 1274192409
Movement in iteration: 4984, new cost: 1273752102
Movement in iteration: 4986, new cost: 1272542154
Movement in iteration: 5012, new cost: 1271631839
Movement in iteration: 5052, new cost: 1271333237
Movement in iteration: 5110, new cost: 1268371719
Movement in iteration: 5163, new cost: 1268153132
Movement in iteration: 5164, new cost: 1267723387
Movement in iteration: 5166, new cost: 1267649432
Movement in iteration: 5167, new cost: 1267134262
Movement in iteration: 5185, new cost: 1266984335
Movement in iteration: 5187, new cost: 1265909347
Movement in iteration: 5189, new cost: 1265749725
Movement in iteration: 5212, new cost: 1264420590
Movement in iteration: 5263, new cost: 1264168559
Movement in iteration: 5360, new cost: 1264005774
Movement in iteration: 5365, new cost: 1263193644
Movement in iteration: 5375, new cost: 1263042894
Movement in iteration: 5377, new cost: 1262314961
Movement in iteration: 5379, new cost: 1262140519
Movement in iteration: 5391, new cost: 1260210400
Movement in iteration: 5447, new cost: 1260192905
Movement in iteration: 5452, new cost: 1259756058
Movement in iteration: 5454, new cost: 1259197523
Movement in iteration: 5455, new cost: 1258296059
Movement in iteration: 5470, new cost: 1257541846
Movement in iteration: 5478, new cost: 1256137198
Movement in iteration: 5502, new cost: 1254584805
Movement in iteration: 5543, new cost: 1254463093
Movement in iteration: 5548, new cost: 1254374593
Movement in iteration: 5564, new cost: 1254285652
Movement in iteration: 5590, new cost: 1252721335
Movement in iteration: 5597, new cost: 1252177437
Movement in iteration: 5638, new cost: 1252057297
Movement in iteration: 5644, new cost: 1251860355
Movement in iteration: 5756, new cost: 1251422131
Movement in iteration: 5849, new cost: 1249843239
Movement in iteration: 5854, new cost: 1249317234
Movement in iteration: 5922, new cost: 1248480520
Movement in iteration: 5928, new cost: 1248337697
Movement in iteration: 5989, new cost: 1247781705
Movement in iteration: 6126, new cost: 1247048162
Movement in iteration: 6143, new cost: 1246291884
Movement in iteration: 6222, new cost: 1246109304
Movement in iteration: 6295, new cost: 1245690419
Movement in iteration: 6318, new cost: 1245556687
Movement in iteration: 6319, new cost: 1245377031
Movement in iteration: 6320, new cost: 1245208991
Movement in iteration: 6455, new cost: 1244961180
Movement in iteration: 6517, new cost: 1244348789
Movement in iteration: 6596, new cost: 1244096337
Movement in iteration: 6599, new cost: 1243620812
Movement in iteration: 6883, new cost: 1243498559
Movement in iteration: 6904, new cost: 1243077108
Movement in iteration: 6905, new cost: 1242698947
Movement in iteration: 6975, new cost: 1242630934
Movement in iteration: 7108, new cost: 1242502912
Movement in iteration: 7128, new cost: 1239398488
Movement in iteration: 7182, new cost: 1238481959
Movement in iteration: 7252, new cost: 1238468468
Movement in iteration: 7253, new cost: 1238406058
Movement in iteration: 7437, new cost: 1238387304
Movement in iteration: 7549, new cost: 1230733777
Movement in iteration: 7622, new cost: 1230579596
Movement in iteration: 7704, new cost: 1230467767
Movement in iteration: 7717, new cost: 1229232497
Movement in iteration: 7887, new cost: 1223113287
Movement in iteration: 7976, new cost: 1223028676
Movement in iteration: 7979, new cost: 1222669120
Movement in iteration: 7982, new cost: 1222640862
Movement in iteration: 7984, new cost: 1222319293
Movement in iteration: 7985, new cost: 1222107711
Movement in iteration: 7989, new cost: 1220481986
Movement in iteration: 8012, new cost: 1220375503
Movement in iteration: 8032, new cost: 1219846281
Movement in iteration: 8062, new cost: 1219785981
Movement in iteration: 8065, new cost: 1219392437
Movement in iteration: 8072, new cost: 1219387440
