Initial solution cost: 641593483, Initial temperature: 9.6239e+08
Movement in iteration: 1, new cost: 641586937
Movement in iteration: 2, new cost: 641192639
Movement in iteration: 3, new cost: 640078397
Movement in iteration: 5, new cost: 637449545
Movement in iteration: 15, new cost: 637422718
Movement in iteration: 21, new cost: 637331418
Movement in iteration: 26, new cost: 637302056
Movement in iteration: 44, new cost: 636838298
Movement in iteration: 48, new cost: 636403986
Movement in iteration: 61, new cost: 635475556
Movement in iteration: 75, new cost: 634581866
Movement in iteration: 80, new cost: 633143574
Movement in iteration: 84, new cost: 632138768
Movement in iteration: 114, new cost: 631442404
Movement in iteration: 129, new cost: 631262477
Movement in iteration: 140, new cost: 628277922
Movement in iteration: 142, new cost: 628201178
Movement in iteration: 144, new cost: 628185133
Movement in iteration: 145, new cost: 627707624
Movement in iteration: 150, new cost: 627680830
Movement in iteration: 154, new cost: 627302055
Movement in iteration: 156, new cost: 625874620
Movement in iteration: 164, new cost: 624986053
Movement in iteration: 176, new cost: 624954394
Movement in iteration: 197, new cost: 624829674
Movement in iteration: 210, new cost: 624656516
Movement in iteration: 215, new cost: 624097208
Movement in iteration: 220, new cost: 624064844
Movement in iteration: 225, new cost: 623686401
Movement in iteration: 226, new cost: 623085672
Movement in iteration: 227, new cost: 622610428
Movement in iteration: 230, new cost: 622101086
Movement in iteration: 235, new cost: 621687130
Movement in iteration: 242, new cost: 621153591
Movement in iteration: 263, new cost: 620572407
Movement in iteration: 269, new cost: 620315454
Movement in iteration: 270, new cost: 619991465
Movement in iteration: 271, new cost: 619923850
Movement in iteration: 275, new cost: 619797522
Movement in iteration: 297, new cost: 619621842
Movement in iteration: 298, new cost: 619484452
Movement in iteration: 300, new cost: 617645079
Movement in iteration: 303, new cost: 617623647
Movement in iteration: 306, new cost: 617565612
Movement in iteration: 307, new cost: 617448473
Movement in iteration: 312, new cost: 617439660
Movement in iteration: 315, new cost: 617439036
Movement in iteration: 318, new cost: 617076277
Movement in iteration: 343, new cost: 616892918
Movement in iteration: 344, new cost: 616703476
Movement in iteration: 345, new cost: 616336347
Movement in iteration: 348, new cost: 616320515
Movement in iteration: 349, new cost: 615823060
Movement in iteration: 373, new cost: 615501764
Movement in iteration: 374, new cost: 615102878
Movement in iteration: 375, new cost: 614366007
Movement in iteration: 381, new cost: 614127158
Movement in iteration: 395, new cost: 613652474
Movement in iteration: 412, new cost: 613106200
Movement in iteration: 414, new cost: 612829481
Movement in iteration: 422, new cost: 611591453
Movement in iteration: 438, new cost: 610784996
Movement in iteration: 449, new cost: 609919234
Movement in iteration: 450, new cost: 609883675
Movement in iteration: 453, new cost: 609876626
Movement in iteration: 454, new cost: 609770075
Movement in iteration: 456, new cost: 609746981
Movement in iteration: 458, new cost: 609739566
Movement in iteration: 462, new cost: 609732286
Movement in iteration: 473, new cost: 609425390
Movement in iteration: 476, new cost: 609244941
Movement in iteration: 479, new cost: 608955462
Movement in iteration: 497, new cost: 608848482
Movement in iteration: 498, new cost: 608420715
Movement in iteration: 599, new cost: 608413097
Movement in iteration: 602, new cost: 608410694
Movement in iteration: 751, new cost: 608400821
Movement in iteration: 763, new cost: 608340498
Movement in iteration: 765, new cost: 607680682
Movement in iteration: 853, new cost: 607600965
Movement in iteration: 885, new cost: 607015875
Movement in iteration: 897, new cost: 607008027
Movement in iteration: 900, new cost: 607006493
Movement in iteration: 901, new cost: 606965790
Movement in iteration: 904, new cost: 606950508
Movement in iteration: 907, new cost: 606944798
Movement in iteration: 941, new cost: 606400466
Movement in iteration: 944, new cost: 604936134
Movement in iteration: 971, new cost: 604865352
Movement in iteration: 977, new cost: 603989412
Movement in iteration: 1002, new cost: 603008659
Movement in iteration: 1046, new cost: 603005560
Movement in iteration: 1049, new cost: 602966356
Movement in iteration: 1204, new cost: 602934408
Movement in iteration: 1208, new cost: 602931046
Movement in iteration: 1210, new cost: 602843477
Movement in iteration: 1212, new cost: 602512710
Movement in iteration: 1221, new cost: 602261918
Movement in iteration: 1227, new cost: 601939443
Movement in iteration: 1232, new cost: 601665167
Movement in iteration: 1314, new cost: 601604938
Movement in iteration: 1331, new cost: 601598272
Movement in iteration: 1342, new cost: 601454894
Movement in iteration: 1343, new cost: 600399035
Movement in iteration: 1371, new cost: 600199594
Movement in iteration: 1381, new cost: 599676844
Movement in iteration: 1497, new cost: 599676777
Movement in iteration: 1641, new cost: 599581145
Movement in iteration: 1642, new cost: 599570629
Movement in iteration: 1644, new cost: 599566659
Movement in iteration: 1648, new cost: 599538327
Movement in iteration: 1651, new cost: 599535591
Movement in iteration: 1657, new cost: 599330761
Movement in iteration: 1661, new cost: 599145129
Movement in iteration: 1671, new cost: 598956305
Movement in iteration: 1679, new cost: 598674095
Movement in iteration: 1710, new cost: 597411893
Movement in iteration: 1729, new cost: 596901388
Movement in iteration: 1755, new cost: 596363022
Movement in iteration: 1778, new cost: 595956633
Movement in iteration: 1790, new cost: 594589305
Movement in iteration: 1803, new cost: 594583960
Movement in iteration: 1810, new cost: 594571186
Movement in iteration: 1813, new cost: 594514671
Movement in iteration: 1815, new cost: 594498394
Movement in iteration: 1817, new cost: 594374709
Movement in iteration: 1823, new cost: 593743036
