Initial solution cost: 9556732, Initial temperature: 1.43351e+07
Movement in iteration: 9, new cost: 9547832
Movement in iteration: 16, new cost: 9546470
Movement in iteration: 21, new cost: 9536325
Movement in iteration: 61, new cost: 9535347
Movement in iteration: 85, new cost: 9525806
Movement in iteration: 90, new cost: 9523598
Movement in iteration: 91, new cost: 9515502
Movement in iteration: 99, new cost: 9497996
Movement in iteration: 100, new cost: 9497174
Movement in iteration: 107, new cost: 9496324
Movement in iteration: 141, new cost: 9496108
Movement in iteration: 151, new cost: 9493046
Movement in iteration: 158, new cost: 9491334
Movement in iteration: 160, new cost: 9482842
Movement in iteration: 182, new cost: 9481868
Movement in iteration: 191, new cost: 9474836
Movement in iteration: 203, new cost: 9470800
Movement in iteration: 238, new cost: 9468154
Movement in iteration: 254, new cost: 9467724
Movement in iteration: 256, new cost: 9464764
Movement in iteration: 260, new cost: 9462990
Movement in iteration: 286, new cost: 9459388
Movement in iteration: 290, new cost: 9445098
Movement in iteration: 301, new cost: 9444896
Movement in iteration: 302, new cost: 9443432
Movement in iteration: 303, new cost: 9443324
Movement in iteration: 304, new cost: 9442330
Movement in iteration: 306, new cost: 9440744
Movement in iteration: 309, new cost: 9434900
Movement in iteration: 313, new cost: 9433566
Movement in iteration: 314, new cost: 9433316
Movement in iteration: 328, new cost: 9431730
Movement in iteration: 329, new cost: 9429127
Movement in iteration: 330, new cost: 9428827
Movement in iteration: 331, new cost: 9424686
Movement in iteration: 346, new cost: 9424620
Movement in iteration: 352, new cost: 9423604
Movement in iteration: 357, new cost: 9422603
Movement in iteration: 358, new cost: 9421563
Movement in iteration: 359, new cost: 9417710
Movement in iteration: 373, new cost: 9412083
Movement in iteration: 375, new cost: 9409030
Movement in iteration: 377, new cost: 9408372
Movement in iteration: 378, new cost: 9402626
Movement in iteration: 383, new cost: 9398088
Movement in iteration: 387, new cost: 9393508
Movement in iteration: 433, new cost: 9393199
Movement in iteration: 435, new cost: 9389666
Movement in iteration: 452, new cost: 9387978
Movement in iteration: 464, new cost: 9387438
Movement in iteration: 466, new cost: 9386344
Movement in iteration: 478, new cost: 9383990
Movement in iteration: 479, new cost: 9381243
Movement in iteration: 482, new cost: 9376577
Movement in iteration: 483, new cost: 9375186
Movement in iteration: 486, new cost: 9372776
Movement in iteration: 489, new cost: 9369364
Movement in iteration: 501, new cost: 9368299
Movement in iteration: 511, new cost: 9367661
Movement in iteration: 568, new cost: 9366331
Movement in iteration: 571, new cost: 9363250
Movement in iteration: 572, new cost: 9359768
Movement in iteration: 584, new cost: 9357892
Movement in iteration: 588, new cost: 9357014
Movement in iteration: 590, new cost: 9356360
Movement in iteration: 600, new cost: 9356132
Movement in iteration: 601, new cost: 9355478
Movement in iteration: 605, new cost: 9350118
Movement in iteration: 609, new cost: 9340141
Movement in iteration: 611, new cost: 9337786
Movement in iteration: 612, new cost: 9334278
Movement in iteration: 613, new cost: 9332386
Movement in iteration: 643, new cost: 9329865
Movement in iteration: 650, new cost: 9316949
Movement in iteration: 681, new cost: 9316445
Movement in iteration: 685, new cost: 9294131
Movement in iteration: 696, new cost: 9293741
Movement in iteration: 703, new cost: 9292082
Movement in iteration: 706, new cost: 9288912
Movement in iteration: 707, new cost: 9283144
Movement in iteration: 715, new cost: 9280736
Movement in iteration: 733, new cost: 9276950
Movement in iteration: 752, new cost: 9276734
Movement in iteration: 766, new cost: 9276532
Movement in iteration: 777, new cost: 9272877
Movement in iteration: 778, new cost: 9271925
Movement in iteration: 781, new cost: 9271391
Movement in iteration: 787, new cost: 9270990
Movement in iteration: 802, new cost: 9270096
Movement in iteration: 805, new cost: 9264367
