Initial solution cost: 9508887, Initial temperature: 1.42633e+07
Movement in iteration: 1, new cost: 9506927
Worse movement in iteration: 2, new cost: 9507543
Worse movement in iteration: 3, new cost: 9509420
Movement in iteration: 4, new cost: 9507636
Movement in iteration: 5, new cost: 9505234
Worse movement in iteration: 6, new cost: 9516906
Movement in iteration: 7, new cost: 9513333
Movement in iteration: 8, new cost: 9493065
Worse movement in iteration: 9, new cost: 9505991
Worse movement in iteration: 10, new cost: 9519063
Movement in iteration: 11, new cost: 9516398
Movement in iteration: 12, new cost: 9515856
Worse movement in iteration: 13, new cost: 9525125
Movement in iteration: 14, new cost: 9513245
Worse movement in iteration: 15, new cost: 9515290
Movement in iteration: 16, new cost: 9513346
Movement in iteration: 17, new cost: 9510834
Worse movement in iteration: 18, new cost: 9511924
Worse movement in iteration: 19, new cost: 9517725
Movement in iteration: 20, new cost: 9502281
Worse movement in iteration: 21, new cost: 9514921
Worse movement in iteration: 22, new cost: 9519983
Movement in iteration: 23, new cost: 9511190
Worse movement in iteration: 24, new cost: 9537572
Movement in iteration: 25, new cost: 9513228
Worse movement in iteration: 26, new cost: 9513412
Worse movement in iteration: 27, new cost: 9518971
Worse movement in iteration: 28, new cost: 9533471
Worse movement in iteration: 29, new cost: 9535668
Worse movement in iteration: 30, new cost: 9538144
Movement in iteration: 31, new cost: 9530958
Worse movement in iteration: 32, new cost: 9536838
Movement in iteration: 33, new cost: 9526069
Worse movement in iteration: 34, new cost: 9537631
Movement in iteration: 35, new cost: 9530183
Worse movement in iteration: 36, new cost: 9536075
Movement in iteration: 37, new cost: 9531773
Movement in iteration: 38, new cost: 9523881
Movement in iteration: 39, new cost: 9523855
Worse movement in iteration: 40, new cost: 9527937
Worse movement in iteration: 41, new cost: 9533233
Worse movement in iteration: 42, new cost: 9553593
Movement in iteration: 43, new cost: 9514082
Worse movement in iteration: 44, new cost: 9522616
Worse movement in iteration: 45, new cost: 9527815
Movement in iteration: 46, new cost: 9515241
Movement in iteration: 47, new cost: 9513001
Worse movement in iteration: 48, new cost: 9517677
Movement in iteration: 49, new cost: 9513717
Worse movement in iteration: 50, new cost: 9536397
Movement in iteration: 51, new cost: 9519480
Worse movement in iteration: 52, new cost: 9537992
Movement in iteration: 53, new cost: 9512980
Worse movement in iteration: 54, new cost: 9532818
Movement in iteration: 55, new cost: 9522100
Movement in iteration: 56, new cost: 9520158
Worse movement in iteration: 57, new cost: 9520735
Worse movement in iteration: 58, new cost: 9538129
Movement in iteration: 59, new cost: 9530518
Movement in iteration: 60, new cost: 9530370
Movement in iteration: 61, new cost: 9524590
Worse movement in iteration: 62, new cost: 9526008
Worse movement in iteration: 63, new cost: 9534264
Movement in iteration: 64, new cost: 9515646
Worse movement in iteration: 65, new cost: 9533009
Movement in iteration: 66, new cost: 9529435
Worse movement in iteration: 67, new cost: 9534509
Movement in iteration: 68, new cost: 9511709
Worse movement in iteration: 69, new cost: 9523823
Movement in iteration: 70, new cost: 9503881
Worse movement in iteration: 71, new cost: 9526594
Worse movement in iteration: 72, new cost: 9530392
Movement in iteration: 73, new cost: 9517718
Worse movement in iteration: 74, new cost: 9529758
Movement in iteration: 75, new cost: 9520427
Movement in iteration: 76, new cost: 9519263
Movement in iteration: 77, new cost: 9517640
Movement in iteration: 78, new cost: 9512588
Worse movement in iteration: 80, new cost: 9526612
Movement in iteration: 81, new cost: 9515595
Worse movement in iteration: 82, new cost: 9532753
Movement in iteration: 83, new cost: 9525641
Movement in iteration: 84, new cost: 9525283
Movement in iteration: 85, new cost: 9505892
Worse movement in iteration: 88, new cost: 9507678
Worse movement in iteration: 93, new cost: 9511447
Movement in iteration: 104, new cost: 9504753
Movement in iteration: 106, new cost: 9496679
Movement in iteration: 151, new cost: 9495011
Movement in iteration: 158, new cost: 9485967
Movement in iteration: 164, new cost: 9485145
Movement in iteration: 170, new cost: 9483465
Movement in iteration: 183, new cost: 9482453
Movement in iteration: 301, new cost: 9481294
Movement in iteration: 302, new cost: 9480332
Movement in iteration: 304, new cost: 9478724
Movement in iteration: 307, new cost: 9466431
Movement in iteration: 313, new cost: 9466375
Movement in iteration: 314, new cost: 9462939
Movement in iteration: 315, new cost: 9461883
Movement in iteration: 317, new cost: 9460264
Movement in iteration: 319, new cost: 9452644
Movement in iteration: 328, new cost: 9450582
Movement in iteration: 329, new cost: 9450109
Movement in iteration: 330, new cost: 9444209
Movement in iteration: 332, new cost: 9439639
Movement in iteration: 343, new cost: 9438542
Movement in iteration: 345, new cost: 9432950
Movement in iteration: 346, new cost: 9431144
Movement in iteration: 406, new cost: 9429918
Movement in iteration: 413, new cost: 9427528
Movement in iteration: 446, new cost: 9427350
Movement in iteration: 447, new cost: 9418240
Movement in iteration: 450, new cost: 9417790
Movement in iteration: 452, new cost: 9417254
Movement in iteration: 453, new cost: 9412012
Movement in iteration: 481, new cost: 9409482
Movement in iteration: 486, new cost: 9405664
Movement in iteration: 492, new cost: 9404458
Movement in iteration: 494, new cost: 9404326
Movement in iteration: 495, new cost: 9400209
Movement in iteration: 496, new cost: 9399955
Movement in iteration: 497, new cost: 9397487
Movement in iteration: 503, new cost: 9393240
Movement in iteration: 509, new cost: 9385743
Movement in iteration: 512, new cost: 9382365
Movement in iteration: 516, new cost: 9381379
Movement in iteration: 518, new cost: 9358491
Movement in iteration: 599, new cost: 9357783
Movement in iteration: 606, new cost: 9354079
Movement in iteration: 617, new cost: 9353070
Movement in iteration: 619, new cost: 9350189
Movement in iteration: 630, new cost: 9349771
Movement in iteration: 637, new cost: 9344790
Movement in iteration: 684, new cost: 9343744
Movement in iteration: 685, new cost: 9343529
Movement in iteration: 704, new cost: 9342767
Movement in iteration: 719, new cost: 9340699
Movement in iteration: 739, new cost: 9333768
Movement in iteration: 751, new cost: 9333463
Movement in iteration: 762, new cost: 9328085
Movement in iteration: 765, new cost: 9327616
Movement in iteration: 766, new cost: 9325460
Movement in iteration: 781, new cost: 9325040
Movement in iteration: 785, new cost: 9319855
Movement in iteration: 786, new cost: 9311925
Movement in iteration: 793, new cost: 9311339
Movement in iteration: 794, new cost: 9309815
Movement in iteration: 801, new cost: 9295757
Movement in iteration: 914, new cost: 9295283
Movement in iteration: 915, new cost: 9294978
Movement in iteration: 918, new cost: 9294810
Movement in iteration: 926, new cost: 9294124
Movement in iteration: 930, new cost: 9288994
Movement in iteration: 933, new cost: 9286935
Movement in iteration: 1051, new cost: 9285943
Movement in iteration: 1053, new cost: 9284589
Movement in iteration: 1055, new cost: 9284324
Movement in iteration: 1056, new cost: 9283688
Movement in iteration: 1057, new cost: 9271862
Movement in iteration: 1065, new cost: 9271466
Movement in iteration: 1066, new cost: 9271440
Movement in iteration: 1067, new cost: 9267883
Movement in iteration: 1079, new cost: 9267830
Movement in iteration: 1080, new cost: 9261238
Movement in iteration: 1082, new cost: 9258958
Movement in iteration: 1083, new cost: 9256808
Movement in iteration: 1127, new cost: 9255218
Movement in iteration: 1131, new cost: 9251232
Movement in iteration: 1132, new cost: 9239130
Movement in iteration: 1158, new cost: 9234436
Movement in iteration: 1204, new cost: 9233884
Movement in iteration: 1215, new cost: 9232573
Movement in iteration: 1216, new cost: 9232131
Movement in iteration: 1219, new cost: 9231557
Movement in iteration: 1221, new cost: 9228645
Movement in iteration: 1231, new cost: 9225810
Movement in iteration: 1232, new cost: 9223680
Movement in iteration: 1307, new cost: 9223639
Movement in iteration: 1344, new cost: 9216618
Movement in iteration: 1353, new cost: 9210713
Movement in iteration: 1364, new cost: 9210137
Movement in iteration: 1365, new cost: 9208712
Movement in iteration: 1366, new cost: 9208708
Movement in iteration: 1367, new cost: 9208015
Movement in iteration: 1368, new cost: 9206351
Movement in iteration: 1370, new cost: 9205829
Movement in iteration: 1378, new cost: 9202463
Movement in iteration: 1379, new cost: 9201014
Movement in iteration: 1380, new cost: 9199370
Movement in iteration: 1381, new cost: 9197733
Movement in iteration: 1382, new cost: 9196799
Movement in iteration: 1386, new cost: 9195271
Movement in iteration: 1387, new cost: 9195010
Movement in iteration: 1389, new cost: 9186214
Movement in iteration: 1390, new cost: 9180926
Movement in iteration: 1411, new cost: 9179902
Movement in iteration: 1413, new cost: 9177741
Movement in iteration: 1429, new cost: 9175191
Movement in iteration: 1484, new cost: 9173405
Movement in iteration: 1502, new cost: 9172087
Movement in iteration: 1503, new cost: 9169697
Movement in iteration: 1507, new cost: 9167599
Movement in iteration: 1512, new cost: 9167465
Movement in iteration: 1515, new cost: 9166715
Movement in iteration: 1516, new cost: 9165751
Movement in iteration: 1517, new cost: 9165522
Movement in iteration: 1519, new cost: 9161814
Movement in iteration: 1530, new cost: 9161400
Movement in iteration: 1638, new cost: 9160024
Movement in iteration: 1651, new cost: 9159788
Movement in iteration: 1652, new cost: 9157878
Movement in iteration: 1710, new cost: 9154702
Movement in iteration: 1727, new cost: 9152267
Movement in iteration: 1751, new cost: 9143723
Movement in iteration: 1753, new cost: 9143082
Movement in iteration: 1754, new cost: 9138266
Movement in iteration: 1782, new cost: 9132982
Movement in iteration: 1787, new cost: 9129753
Movement in iteration: 1799, new cost: 9129741
Movement in iteration: 1814, new cost: 9129123
Movement in iteration: 1816, new cost: 9126983
Movement in iteration: 1817, new cost: 9124180
Movement in iteration: 1828, new cost: 9121212
Movement in iteration: 1829, new cost: 9118159
Movement in iteration: 1921, new cost: 9115123
Movement in iteration: 1936, new cost: 9113863
Movement in iteration: 1993, new cost: 9113351
Movement in iteration: 2008, new cost: 9112861
Movement in iteration: 2025, new cost: 9109667
Movement in iteration: 2070, new cost: 9107473
Movement in iteration: 2115, new cost: 9103858
Movement in iteration: 2220, new cost: 9098498
Movement in iteration: 2237, new cost: 9097352
Movement in iteration: 2265, new cost: 9097320
Movement in iteration: 2401, new cost: 9094897
Movement in iteration: 2414, new cost: 9094537
Movement in iteration: 2431, new cost: 9093239
Movement in iteration: 2473, new cost: 9092204
Movement in iteration: 2492, new cost: 9089902
Movement in iteration: 2550, new cost: 9088632
Movement in iteration: 2580, new cost: 9088242
Movement in iteration: 2684, new cost: 9086764
Movement in iteration: 2691, new cost: 9085904
Movement in iteration: 2699, new cost: 9084034
Movement in iteration: 2714, new cost: 9082124
Movement in iteration: 2729, new cost: 9079538
Movement in iteration: 2731, new cost: 9079269
Movement in iteration: 2732, new cost: 9077011
Movement in iteration: 2833, new cost: 9074873
Movement in iteration: 2835, new cost: 9074007
Movement in iteration: 2836, new cost: 9073556
Movement in iteration: 2840, new cost: 9069574
Movement in iteration: 2865, new cost: 9067894
Movement in iteration: 2881, new cost: 9067695
Movement in iteration: 3016, new cost: 9066927
Movement in iteration: 3017, new cost: 9066504
Movement in iteration: 3030, new cost: 9064404
Movement in iteration: 3138, new cost: 9062103
Movement in iteration: 3182, new cost: 9059129
Movement in iteration: 3287, new cost: 9058559
Movement in iteration: 3409, new cost: 9052328
Movement in iteration: 3436, new cost: 9051721
Movement in iteration: 3449, new cost: 9051393
Movement in iteration: 3601, new cost: 9051326
Movement in iteration: 3603, new cost: 9048033
Movement in iteration: 3615, new cost: 9046141
