Initial solution cost: 24076990, Initial temperature: 3.61155e+07
Movement in iteration: 1, new cost: 24053338
Movement in iteration: 3, new cost: 24028388
Movement in iteration: 4, new cost: 24011108
Movement in iteration: 5, new cost: 23963388
Movement in iteration: 7, new cost: 23947844
Movement in iteration: 8, new cost: 23870768
Movement in iteration: 9, new cost: 23867138
Movement in iteration: 10, new cost: 23855748
Movement in iteration: 13, new cost: 23847592
Movement in iteration: 16, new cost: 23842510
Movement in iteration: 17, new cost: 23783176
Movement in iteration: 32, new cost: 23755062
Movement in iteration: 46, new cost: 23753470
Movement in iteration: 57, new cost: 23750932
Movement in iteration: 58, new cost: 23737828
Movement in iteration: 59, new cost: 23729758
Movement in iteration: 61, new cost: 23709170
Movement in iteration: 64, new cost: 23699900
Movement in iteration: 73, new cost: 23665328
Movement in iteration: 98, new cost: 23659190
Movement in iteration: 103, new cost: 23639330
Movement in iteration: 114, new cost: 23616420
Movement in iteration: 117, new cost: 23587418
Movement in iteration: 121, new cost: 23569560
Movement in iteration: 127, new cost: 23564864
Movement in iteration: 135, new cost: 23539480
Movement in iteration: 155, new cost: 23518188
Movement in iteration: 168, new cost: 23496398
Movement in iteration: 171, new cost: 23475124
Movement in iteration: 182, new cost: 23459618
Movement in iteration: 185, new cost: 23440812
Movement in iteration: 195, new cost: 23429932
Movement in iteration: 198, new cost: 23419378
Movement in iteration: 201, new cost: 23411138
Movement in iteration: 209, new cost: 23377540
Movement in iteration: 215, new cost: 23376940
Movement in iteration: 225, new cost: 23373916
Movement in iteration: 226, new cost: 23332756
Movement in iteration: 228, new cost: 23302288
Movement in iteration: 230, new cost: 23281012
Movement in iteration: 233, new cost: 23240678
Movement in iteration: 235, new cost: 23230640
Movement in iteration: 238, new cost: 23219766
Movement in iteration: 245, new cost: 23212890
Movement in iteration: 259, new cost: 23205046
Movement in iteration: 278, new cost: 23203626
Movement in iteration: 283, new cost: 23190386
Movement in iteration: 288, new cost: 23189290
Movement in iteration: 293, new cost: 23179934
Movement in iteration: 297, new cost: 23165606
Movement in iteration: 302, new cost: 23158440
Movement in iteration: 342, new cost: 23157732
Movement in iteration: 377, new cost: 23154098
Movement in iteration: 387, new cost: 23145396
Movement in iteration: 401, new cost: 23145022
Movement in iteration: 410, new cost: 23144430
Movement in iteration: 411, new cost: 23141548
Movement in iteration: 420, new cost: 23117728
Movement in iteration: 440, new cost: 23116900
Movement in iteration: 443, new cost: 23105110
Movement in iteration: 471, new cost: 23088200
Movement in iteration: 498, new cost: 23076354
Movement in iteration: 527, new cost: 23072044
Movement in iteration: 533, new cost: 23065978
Movement in iteration: 536, new cost: 23019168
Movement in iteration: 549, new cost: 23017954
Movement in iteration: 570, new cost: 22999702
Movement in iteration: 572, new cost: 22992668
Movement in iteration: 577, new cost: 22992560
Movement in iteration: 605, new cost: 22988660
Movement in iteration: 653, new cost: 22984076
Movement in iteration: 659, new cost: 22968482
Movement in iteration: 672, new cost: 22965974
Movement in iteration: 673, new cost: 22957958
Movement in iteration: 676, new cost: 22949074
Movement in iteration: 693, new cost: 22937424
Movement in iteration: 712, new cost: 22931128
Movement in iteration: 717, new cost: 22928994
Movement in iteration: 719, new cost: 22925226
Movement in iteration: 720, new cost: 22909930
Movement in iteration: 725, new cost: 22908546
Movement in iteration: 733, new cost: 22872404
Movement in iteration: 767, new cost: 22866198
Movement in iteration: 771, new cost: 22861924
Movement in iteration: 772, new cost: 22841354
Movement in iteration: 829, new cost: 22824616
Movement in iteration: 859, new cost: 22800832
Movement in iteration: 883, new cost: 22788296
Movement in iteration: 894, new cost: 22783942
Movement in iteration: 1024, new cost: 22768524
Movement in iteration: 1052, new cost: 22759416
Movement in iteration: 1122, new cost: 22745026
Movement in iteration: 1170, new cost: 22740496
Movement in iteration: 1180, new cost: 22694814
Movement in iteration: 1184, new cost: 22689824
Movement in iteration: 1230, new cost: 22681228
Movement in iteration: 1263, new cost: 22669210
Movement in iteration: 1311, new cost: 22652058
Movement in iteration: 1440, new cost: 22650922
Movement in iteration: 1596, new cost: 22642786
Movement in iteration: 1639, new cost: 22637224
Movement in iteration: 1653, new cost: 22610478
Movement in iteration: 1659, new cost: 22609474
Movement in iteration: 1671, new cost: 22598636
Movement in iteration: 1672, new cost: 22589532
Movement in iteration: 1745, new cost: 22587734
Movement in iteration: 1809, new cost: 22576188
Movement in iteration: 1996, new cost: 22566418
Movement in iteration: 2010, new cost: 22562058
Movement in iteration: 2018, new cost: 22554772
Movement in iteration: 2065, new cost: 22548546
Movement in iteration: 2116, new cost: 22542678
Movement in iteration: 2135, new cost: 22538506
Movement in iteration: 2146, new cost: 22537826
Movement in iteration: 2239, new cost: 22523076
Movement in iteration: 2246, new cost: 22513278
Movement in iteration: 2247, new cost: 22481864
Movement in iteration: 2256, new cost: 22437886
Movement in iteration: 2357, new cost: 22408950
Movement in iteration: 2419, new cost: 22406418
Movement in iteration: 2477, new cost: 22401844
Movement in iteration: 2660, new cost: 22393434
Movement in iteration: 2691, new cost: 22387376
Movement in iteration: 2709, new cost: 22361288
Movement in iteration: 2727, new cost: 22354562
Movement in iteration: 2733, new cost: 22345014
Movement in iteration: 2827, new cost: 22329620
Movement in iteration: 2886, new cost: 22313976
Movement in iteration: 3506, new cost: 22310470
Movement in iteration: 3596, new cost: 22308270
Movement in iteration: 3597, new cost: 22299714
Movement in iteration: 3772, new cost: 22267122
Movement in iteration: 3881, new cost: 22261014
Movement in iteration: 3889, new cost: 22228748
Movement in iteration: 3940, new cost: 22223070
Movement in iteration: 3956, new cost: 22211582
Movement in iteration: 4044, new cost: 22204866
Movement in iteration: 4338, new cost: 22200872
Movement in iteration: 4693, new cost: 22174604
Movement in iteration: 4816, new cost: 22152164
Movement in iteration: 5343, new cost: 22150722
Movement in iteration: 5367, new cost: 22147872
Movement in iteration: 5600, new cost: 22127220
Movement in iteration: 5690, new cost: 22114188
Movement in iteration: 5711, new cost: 22103226
Movement in iteration: 5728, new cost: 22089416
Movement in iteration: 5732, new cost: 22089310
Movement in iteration: 5737, new cost: 22078440
Movement in iteration: 5925, new cost: 22067362
Movement in iteration: 6049, new cost: 22044496
Movement in iteration: 6051, new cost: 22044398
Movement in iteration: 6708, new cost: 22026764
Movement in iteration: 6877, new cost: 22023388
Movement in iteration: 7017, new cost: 22017014
Movement in iteration: 7091, new cost: 22013096
Movement in iteration: 7104, new cost: 21992056
Movement in iteration: 7110, new cost: 21986858
Movement in iteration: 7325, new cost: 21967196
Movement in iteration: 7591, new cost: 21960720
Loop ended because of the temperature
