Movement in iteration: 1531, new cost: 9161147
Movement in iteration: 1540, new cost: 9158925
Movement in iteration: 1543, new cost: 9154006
Movement in iteration: 1545, new cost: 9152653
Movement in iteration: 1546, new cost: 9152323
Movement in iteration: 1547, new cost: 9147377
Movement in iteration: 1664, new cost: 9147085
Movement in iteration: 1665, new cost: 9146757
Movement in iteration: 1667, new cost: 9143488
Movement in iteration: 1694, new cost: 9142944
Movement in iteration: 1695, new cost: 9142539
Movement in iteration: 1711, new cost: 9138841
Movement in iteration: 1800, new cost: 9137431
Movement in iteration: 1801, new cost: 9136434
Movement in iteration: 1808, new cost: 9136366
Movement in iteration: 1814, new cost: 9136072
Movement in iteration: 1829, new cost: 9132752
Movement in iteration: 1843, new cost: 9131233
Movement in iteration: 1860, new cost: 9130851
Movement in iteration: 1891, new cost: 9129687
Movement in iteration: 1965, new cost: 9129306
Movement in iteration: 2040, new cost: 9125770
Movement in iteration: 2115, new cost: 9125203
Movement in iteration: 2130, new cost: 9123879
Movement in iteration: 2143, new cost: 9117171
Movement in iteration: 2145, new cost: 9115079
Movement in iteration: 2146, new cost: 9107453
Movement in iteration: 2182, new cost: 9104339
Movement in iteration: 2237, new cost: 9104261
Movement in iteration: 2266, new cost: 9103291
Movement in iteration: 2311, new cost: 9103251
Movement in iteration: 2315, new cost: 9098486
Movement in iteration: 2328, new cost: 9098410
Movement in iteration: 2331, new cost: 9084451
Movement in iteration: 2419, new cost: 9082666
Movement in iteration: 2554, new cost: 9082102
Movement in iteration: 2568, new cost: 9081450
Movement in iteration: 2569, new cost: 9081307
Movement in iteration: 2593, new cost: 9078571
Movement in iteration: 2594, new cost: 9078473
Movement in iteration: 2595, new cost: 9077273
Movement in iteration: 2629, new cost: 9076642
Movement in iteration: 2703, new cost: 9074914
Movement in iteration: 2714, new cost: 9074874
Movement in iteration: 2715, new cost: 9074779
Movement in iteration: 2717, new cost: 9074288
Movement in iteration: 2718, new cost: 9072370
Movement in iteration: 2728, new cost: 9072040
Movement in iteration: 2729, new cost: 9071746
Movement in iteration: 2731, new cost: 9070956
Movement in iteration: 2732, new cost: 9068026
Movement in iteration: 2751, new cost: 9061858
Movement in iteration: 2778, new cost: 9057524
Movement in iteration: 2865, new cost: 9055866
Movement in iteration: 2866, new cost: 9054474
Movement in iteration: 2878, new cost: 9052714
Movement in iteration: 2881, new cost: 9051996
Movement in iteration: 2882, new cost: 9049170
Movement in iteration: 2890, new cost: 9048386
Movement in iteration: 2891, new cost: 9047366
Movement in iteration: 2892, new cost: 9046820
Movement in iteration: 2921, new cost: 9041477
Movement in iteration: 2927, new cost: 9037385
Movement in iteration: 2958, new cost: 9037201
Movement in iteration: 2966, new cost: 9036071
Movement in iteration: 2967, new cost: 9031565
Movement in iteration: 2968, new cost: 9028305
Movement in iteration: 2986, new cost: 9027401
Movement in iteration: 3015, new cost: 9026515
Movement in iteration: 3016, new cost: 9024717
Movement in iteration: 3024, new cost: 9021725
Movement in iteration: 3054, new cost: 9012257
Movement in iteration: 3060, new cost: 9011089
Movement in iteration: 3076, new cost: 9011055
Movement in iteration: 3087, new cost: 9009722
Movement in iteration: 3300, new cost: 9008297
Movement in iteration: 3313, new cost: 9007047
Movement in iteration: 3344, new cost: 9004955
Movement in iteration: 3346, new cost: 9003481
Movement in iteration: 3404, new cost: 9000871
Movement in iteration: 3432, new cost: 8999999
Movement in iteration: 3449, new cost: 8999961
Movement in iteration: 3462, new cost: 8999831
Movement in iteration: 3463, new cost: 8998376
Movement in iteration: 3464, new cost: 8997730
Movement in iteration: 3476, new cost: 8997024
Movement in iteration: 3537, new cost: 8995189
Movement in iteration: 3542, new cost: 8994029
Movement in iteration: 3580, new cost: 8993037
Movement in iteration: 3612, new cost: 8992946
Movement in iteration: 3628, new cost: 8992491
Movement in iteration: 3630, new cost: 8992240
Movement in iteration: 3746, new cost: 8991053
Movement in iteration: 3747, new cost: 8990721
Movement in iteration: 3760, new cost: 8990123
Movement in iteration: 3776, new cost: 8989913
Movement in iteration: 3777, new cost: 8988720
Movement in iteration: 3778, new cost: 8987330
Movement in iteration: 3883, new cost: 8986780
Movement in iteration: 3911, new cost: 8986660
Movement in iteration: 3990, new cost: 8984656
Movement in iteration: 3996, new cost: 8984111
Movement in iteration: 4010, new cost: 8976661
