Initial solution cost: 7676
Movement in iteration: 2, new cost: 7672
Movement in iteration: 6, new cost: 7648
Movement in iteration: 7, new cost: 7646
Movement in iteration: 18, new cost: 7612
Movement in iteration: 21, new cost: 7586
Movement in iteration: 26, new cost: 7566
Movement in iteration: 29, new cost: 7538
Movement in iteration: 35, new cost: 7528
Movement in iteration: 36, new cost: 7520
Movement in iteration: 37, new cost: 7496
Movement in iteration: 50, new cost: 7492
Movement in iteration: 52, new cost: 7488
Movement in iteration: 61, new cost: 7472
Movement in iteration: 64, new cost: 7444
Movement in iteration: 67, new cost: 7396
Movement in iteration: 88, new cost: 7378
Movement in iteration: 94, new cost: 7366
Movement in iteration: 102, new cost: 7364
Movement in iteration: 121, new cost: 7352
Movement in iteration: 126, new cost: 7332
Movement in iteration: 128, new cost: 7310
Movement in iteration: 129, new cost: 7306
Movement in iteration: 142, new cost: 7278
Movement in iteration: 143, new cost: 7272
Movement in iteration: 147, new cost: 7264
Movement in iteration: 168, new cost: 7254
Movement in iteration: 169, new cost: 7222
Movement in iteration: 183, new cost: 7186
Movement in iteration: 202, new cost: 7166
Movement in iteration: 240, new cost: 7146
Movement in iteration: 264, new cost: 7144
Movement in iteration: 274, new cost: 7132
Movement in iteration: 276, new cost: 7120
Movement in iteration: 286, new cost: 7112
Movement in iteration: 295, new cost: 7108
Movement in iteration: 304, new cost: 7100
Movement in iteration: 316, new cost: 7086
Movement in iteration: 372, new cost: 7082
Movement in iteration: 387, new cost: 7056
Movement in iteration: 403, new cost: 7036
Movement in iteration: 424, new cost: 7032
Movement in iteration: 442, new cost: 7020
Movement in iteration: 467, new cost: 7012
Movement in iteration: 471, new cost: 6970
Movement in iteration: 519, new cost: 6966
Movement in iteration: 521, new cost: 6956
Movement in iteration: 569, new cost: 6954
Loop ended because of DLB
