Initial solution cost: 14434, Initial temperature: 21651
Movement in iteration: 1, new cost: 13694
Movement in iteration: 2, new cost: 13432
Movement in iteration: 4, new cost: 12802
Movement in iteration: 7, new cost: 12130
Movement in iteration: 14, new cost: 12028
Movement in iteration: 16, new cost: 11570
Movement in iteration: 26, new cost: 10854
Movement in iteration: 34, new cost: 10612
Movement in iteration: 40, new cost: 10380
Movement in iteration: 45, new cost: 10288
Movement in iteration: 49, new cost: 9938
Movement in iteration: 64, new cost: 9838
Movement in iteration: 69, new cost: 8870
Movement in iteration: 95, new cost: 8502
Movement in iteration: 98, new cost: 8110
Movement in iteration: 101, new cost: 8094
Movement in iteration: 102, new cost: 7786
Movement in iteration: 144, new cost: 7698
Movement in iteration: 159, new cost: 7666
Movement in iteration: 160, new cost: 7618
Movement in iteration: 161, new cost: 7422
Movement in iteration: 164, new cost: 7412
Movement in iteration: 219, new cost: 7358
Movement in iteration: 246, new cost: 7262
Movement in iteration: 318, new cost: 7204
Movement in iteration: 334, new cost: 7168
Loop ended because of the temperature
