Initial solution cost: 49662461
Movement in iteration: 95, new cost: 49287267
Movement in iteration: 164, new cost: 48899866
Movement in iteration: 347, new cost: 48878901
Movement in iteration: 348, new cost: 48729236
Movement in iteration: 349, new cost: 48707455
Movement in iteration: 350, new cost: 48688267
Movement in iteration: 351, new cost: 48478021
Movement in iteration: 357, new cost: 48475646
Movement in iteration: 366, new cost: 48375515
Movement in iteration: 404, new cost: 48352567
Movement in iteration: 460, new cost: 48350082
Movement in iteration: 486, new cost: 48345957
Movement in iteration: 612, new cost: 48343287
Movement in iteration: 621, new cost: 48339540
Movement in iteration: 629, new cost: 48321531
Movement in iteration: 635, new cost: 48293862
Movement in iteration: 645, new cost: 48246241
Movement in iteration: 647, new cost: 48242773
Movement in iteration: 660, new cost: 48235600
Movement in iteration: 698, new cost: 48221785
Movement in iteration: 741, new cost: 48210159
Movement in iteration: 867, new cost: 48169583
Movement in iteration: 880, new cost: 48157465
Movement in iteration: 890, new cost: 48134895
Movement in iteration: 899, new cost: 48133993
Movement in iteration: 900, new cost: 48094024
Movement in iteration: 915, new cost: 48063698
Movement in iteration: 953, new cost: 48056294
Movement in iteration: 970, new cost: 48036741
Movement in iteration: 1114, new cost: 48006331
Movement in iteration: 1122, new cost: 47975480
Movement in iteration: 1123, new cost: 47947552
Movement in iteration: 1128, new cost: 47881140
Movement in iteration: 1167, new cost: 47874519
Movement in iteration: 1190, new cost: 47868729
Movement in iteration: 1208, new cost: 47820182
Movement in iteration: 1225, new cost: 47811674
Movement in iteration: 1251, new cost: 47811416
Movement in iteration: 1369, new cost: 47809202
Movement in iteration: 1377, new cost: 47777932
Movement in iteration: 1378, new cost: 47752118
Movement in iteration: 1381, new cost: 47705863
Movement in iteration: 1390, new cost: 47671793
Movement in iteration: 1399, new cost: 47662839
Movement in iteration: 1410, new cost: 47658326
Movement in iteration: 1422, new cost: 47651626
Movement in iteration: 1445, new cost: 47643959
Movement in iteration: 1480, new cost: 47586578
Movement in iteration: 1506, new cost: 47574617
Movement in iteration: 1624, new cost: 47571121
Movement in iteration: 1632, new cost: 47560217
Movement in iteration: 1633, new cost: 47531791
Movement in iteration: 1635, new cost: 47505827
Movement in iteration: 1636, new cost: 47482240
Movement in iteration: 1641, new cost: 47465492
Movement in iteration: 1645, new cost: 47457905
Movement in iteration: 1654, new cost: 47423848
Movement in iteration: 1665, new cost: 47417074
Movement in iteration: 1680, new cost: 47397916
Movement in iteration: 1735, new cost: 47393623
Movement in iteration: 1747, new cost: 47372756
Movement in iteration: 1750, new cost: 47333300
Movement in iteration: 1783, new cost: 47329859
Movement in iteration: 1955, new cost: 47325600
Movement in iteration: 1990, new cost: 47317336
Movement in iteration: 2005, new cost: 47301419
Movement in iteration: 2016, new cost: 47281349
Movement in iteration: 2021, new cost: 47253048
Movement in iteration: 2391, new cost: 47248129
Movement in iteration: 2392, new cost: 47208429
Movement in iteration: 2399, new cost: 47181380
Movement in iteration: 2400, new cost: 47156666
Movement in iteration: 2409, new cost: 47087115
Movement in iteration: 2427, new cost: 47080451
Movement in iteration: 2429, new cost: 47074670
Movement in iteration: 2435, new cost: 47038440
Movement in iteration: 2514, new cost: 47032098
Movement in iteration: 2525, new cost: 47022590
Movement in iteration: 2530, new cost: 47001527
Movement in iteration: 2667, new cost: 46988319
Movement in iteration: 2672, new cost: 46970279
Movement in iteration: 2681, new cost: 46962601
Movement in iteration: 2689, new cost: 46953248
Movement in iteration: 2698, new cost: 46936752
Movement in iteration: 2753, new cost: 46929291
Movement in iteration: 2765, new cost: 46916006
Movement in iteration: 2768, new cost: 46912544
Movement in iteration: 2779, new cost: 46906878
Movement in iteration: 2898, new cost: 46901184
Movement in iteration: 2904, new cost: 46892490
Movement in iteration: 2905, new cost: 46882742
Movement in iteration: 2907, new cost: 46873045
Movement in iteration: 2908, new cost: 46859316
Movement in iteration: 2909, new cost: 46842126
Movement in iteration: 2917, new cost: 46838678
Movement in iteration: 2921, new cost: 46804090
Movement in iteration: 2926, new cost: 46788568
Movement in iteration: 2933, new cost: 46776412
Movement in iteration: 2935, new cost: 46766257
Movement in iteration: 2943, new cost: 46761590
Movement in iteration: 2952, new cost: 46755112
Movement in iteration: 2990, new cost: 46740865
Movement in iteration: 3007, new cost: 46735248
Movement in iteration: 3019, new cost: 46712630
Movement in iteration: 3022, new cost: 46711502
Movement in iteration: 3033, new cost: 46687607
Movement in iteration: 3160, new cost: 46669308
Movement in iteration: 3166, new cost: 46641379
Movement in iteration: 3177, new cost: 46559922
Movement in iteration: 3252, new cost: 46500047
Movement in iteration: 3417, new cost: 46456626
Movement in iteration: 3498, new cost: 46448262
Movement in iteration: 3512, new cost: 46445047
Movement in iteration: 3530, new cost: 46413809
Movement in iteration: 3534, new cost: 46381899
Movement in iteration: 3662, new cost: 46339060
Movement in iteration: 3666, new cost: 46257779
Movement in iteration: 3688, new cost: 46249409
Movement in iteration: 3713, new cost: 46155488
Movement in iteration: 4228, new cost: 46152226
Movement in iteration: 4295, new cost: 46145148
Movement in iteration: 4302, new cost: 46118432
Movement in iteration: 4313, new cost: 46107831
Movement in iteration: 4566, new cost: 46098883
Movement in iteration: 4685, new cost: 46010539
Movement in iteration: 4721, new cost: 45960716
Movement in iteration: 4752, new cost: 45960482
Movement in iteration: 4924, new cost: 45917784
Movement in iteration: 4932, new cost: 45871810
Movement in iteration: 4937, new cost: 45827823
Movement in iteration: 4949, new cost: 45789832
Movement in iteration: 4965, new cost: 45773099
Movement in iteration: 4971, new cost: 45769247
Movement in iteration: 4974, new cost: 45718207
Movement in iteration: 5066, new cost: 45708266
Movement in iteration: 5072, new cost: 45688164
Movement in iteration: 5214, new cost: 45678256
Movement in iteration: 5224, new cost: 45642399
Movement in iteration: 5279, new cost: 45615017
Movement in iteration: 5300, new cost: 45601473
Movement in iteration: 5325, new cost: 45582900
Movement in iteration: 5439, new cost: 45570647
Movement in iteration: 5460, new cost: 45549504
Movement in iteration: 5468, new cost: 45548123
Movement in iteration: 5471, new cost: 45547851
Movement in iteration: 5477, new cost: 45530120
Movement in iteration: 5480, new cost: 45505593
Movement in iteration: 5532, new cost: 45485382
Movement in iteration: 5541, new cost: 45466564
Movement in iteration: 5553, new cost: 45462894
Movement in iteration: 5564, new cost: 45417509
Movement in iteration: 5584, new cost: 45382152
Movement in iteration: 5730, new cost: 45367902
Movement in iteration: 5738, new cost: 45363756
Movement in iteration: 5785, new cost: 45360111
Movement in iteration: 5794, new cost: 45357503
Movement in iteration: 5808, new cost: 45352927
Movement in iteration: 5817, new cost: 45336926
Movement in iteration: 5824, new cost: 45328924
Movement in iteration: 5831, new cost: 45313782
Movement in iteration: 5949, new cost: 45273720
Movement in iteration: 5957, new cost: 45265147
Movement in iteration: 5961, new cost: 45228071
Movement in iteration: 5974, new cost: 45213810
Movement in iteration: 5975, new cost: 45210443
Movement in iteration: 5983, new cost: 45199136
Movement in iteration: 5991, new cost: 45188234
Movement in iteration: 6030, new cost: 45145455
Movement in iteration: 6582, new cost: 45116342
Movement in iteration: 6956, new cost: 45109863
Movement in iteration: 6958, new cost: 45102205
Movement in iteration: 6959, new cost: 45089790
Movement in iteration: 6965, new cost: 45073370
Movement in iteration: 6969, new cost: 45072708
Movement in iteration: 6971, new cost: 45018121
Movement in iteration: 6981, new cost: 45007701
Movement in iteration: 6991, new cost: 45001083
Movement in iteration: 7034, new cost: 44981392
Movement in iteration: 7046, new cost: 44974850
Movement in iteration: 7078, new cost: 44972283
Movement in iteration: 7097, new cost: 44971755
Movement in iteration: 7234, new cost: 44932773
Movement in iteration: 7329, new cost: 44886266
Movement in iteration: 7446, new cost: 44859677
Movement in iteration: 7448, new cost: 44847091
Movement in iteration: 7458, new cost: 44813641
Movement in iteration: 7460, new cost: 44737515
Movement in iteration: 7541, new cost: 44735744
Movement in iteration: 7548, new cost: 44721456
Movement in iteration: 7599, new cost: 44714845
Movement in iteration: 7600, new cost: 44709949
Movement in iteration: 7712, new cost: 44707957
Movement in iteration: 7744, new cost: 44705437
Movement in iteration: 7755, new cost: 44696225
Movement in iteration: 7763, new cost: 44621865
Movement in iteration: 8196, new cost: 44552873
Movement in iteration: 8197, new cost: 44519474
Movement in iteration: 8198, new cost: 44489774
Movement in iteration: 8200, new cost: 44453598
Movement in iteration: 8212, new cost: 44429533
Movement in iteration: 8222, new cost: 44423786
Movement in iteration: 8223, new cost: 44408382
Movement in iteration: 8234, new cost: 44378832
Movement in iteration: 8256, new cost: 44377291
Movement in iteration: 8262, new cost: 44374427
Movement in iteration: 8288, new cost: 44371922
Movement in iteration: 8293, new cost: 44362062
Movement in iteration: 8329, new cost: 44360523
Movement in iteration: 8351, new cost: 44345853
Movement in iteration: 8504, new cost: 44318278
Movement in iteration: 8538, new cost: 44253516
Movement in iteration: 8549, new cost: 44253098
Movement in iteration: 8579, new cost: 44221665
Movement in iteration: 8730, new cost: 44174017
Movement in iteration: 8799, new cost: 44150771
Movement in iteration: 9003, new cost: 44128289
Movement in iteration: 9264, new cost: 44109889
Movement in iteration: 9532, new cost: 44093949
Movement in iteration: 9550, new cost: 44040432
Movement in iteration: 9698, new cost: 44022322
Movement in iteration: 9699, new cost: 43966407
Movement in iteration: 9712, new cost: 43961955
Movement in iteration: 9722, new cost: 43954266
Movement in iteration: 9723, new cost: 43941230
Movement in iteration: 9728, new cost: 43880942
Movement in iteration: 9730, new cost: 43879973
Movement in iteration: 9756, new cost: 43862826
Movement in iteration: 9799, new cost: 43833427
Movement in iteration: 9973, new cost: 43776093
Movement in iteration: 10043, new cost: 43754516
Movement in iteration: 10062, new cost: 43702825
Movement in iteration: 10101, new cost: 43695062
Movement in iteration: 10230, new cost: 43692677
Movement in iteration: 10234, new cost: 43610768
Movement in iteration: 10351, new cost: 43598484
Movement in iteration: 10831, new cost: 43567483
Movement in iteration: 11060, new cost: 43542664
Movement in iteration: 11336, new cost: 43524027
Movement in iteration: 11538, new cost: 43497595
Movement in iteration: 12224, new cost: 43493223
Movement in iteration: 12290, new cost: 43488046
Movement in iteration: 12322, new cost: 43487761
Movement in iteration: 12341, new cost: 43464335
Movement in iteration: 12575, new cost: 43362077
Movement in iteration: 12718, new cost: 43305409
Movement in iteration: 12766, new cost: 43273876
Movement in iteration: 12816, new cost: 43271144
Movement in iteration: 13421, new cost: 43212837
Movement in iteration: 13521, new cost: 43200979
Movement in iteration: 13667, new cost: 43195722
Movement in iteration: 13687, new cost: 43170463
Movement in iteration: 13697, new cost: 43149796
Movement in iteration: 13730, new cost: 43147071
Movement in iteration: 13749, new cost: 43133347
Movement in iteration: 13766, new cost: 43105257
Movement in iteration: 13767, new cost: 43081098
Movement in iteration: 13799, new cost: 43068953
Movement in iteration: 14199, new cost: 43068208
Movement in iteration: 14238, new cost: 43062324
Movement in iteration: 14247, new cost: 43045985
Movement in iteration: 14268, new cost: 43032537
Movement in iteration: 14422, new cost: 42934605
Movement in iteration: 14467, new cost: 42881496
Movement in iteration: 14692, new cost: 42875285
Movement in iteration: 14700, new cost: 42870578
Movement in iteration: 15187, new cost: 42797847
Movement in iteration: 15683, new cost: 42795097
Movement in iteration: 15762, new cost: 42786452
Movement in iteration: 16096, new cost: 42684439
Movement in iteration: 16166, new cost: 42626577
Movement in iteration: 16469, new cost: 42618882
Movement in iteration: 16579, new cost: 42606971
Movement in iteration: 16693, new cost: 42592438
Movement in iteration: 16728, new cost: 42583851
Movement in iteration: 17106, new cost: 42581717
Movement in iteration: 17107, new cost: 42569478
Movement in iteration: 17118, new cost: 42518712
Movement in iteration: 17191, new cost: 42509920
Movement in iteration: 17300, new cost: 42423792
Movement in iteration: 17330, new cost: 42385889
Movement in iteration: 17461, new cost: 42371460
Movement in iteration: 18638, new cost: 42307736
Movement in iteration: 19482, new cost: 42279176
Movement in iteration: 19529, new cost: 42257981
Movement in iteration: 19763, new cost: 42246338
Movement in iteration: 19792, new cost: 42236372
Movement in iteration: 19815, new cost: 42232868
Movement in iteration: 20195, new cost: 42224632
Movement in iteration: 20489, new cost: 42210494
Movement in iteration: 20512, new cost: 42205602
Movement in iteration: 21116, new cost: 42204317
Movement in iteration: 21166, new cost: 42203387
Movement in iteration: 21205, new cost: 42180089
Movement in iteration: 22249, new cost: 42176237
Movement in iteration: 22265, new cost: 42164763
Movement in iteration: 32079, new cost: 42100824
Movement in iteration: 35155, new cost: 42090197
Movement in iteration: 35173, new cost: 42088106
Movement in iteration: 35183, new cost: 42071498
Movement in iteration: 35349, new cost: 42070657
Movement in iteration: 35665, new cost: 42052803
Movement in iteration: 36127, new cost: 42029627
Movement in iteration: 36150, new cost: 42005598
Movement in iteration: 36919, new cost: 41993086
Movement in iteration: 39018, new cost: 41986241
Movement in iteration: 42487, new cost: 41957523
Movement in iteration: 43934, new cost: 41937722
Movement in iteration: 44416, new cost: 41935993
Movement in iteration: 44528, new cost: 41934619
Movement in iteration: 45097, new cost: 41921039
Movement in iteration: 45100, new cost: 41913125
Movement in iteration: 45115, new cost: 41912301
Movement in iteration: 45116, new cost: 41910579
Movement in iteration: 45129, new cost: 41897753
Movement in iteration: 46260, new cost: 41895895
Movement in iteration: 46272, new cost: 41878375
Movement in iteration: 46891, new cost: 41877508
Movement in iteration: 46906, new cost: 41843532
Movement in iteration: 49315, new cost: 41838412
Movement in iteration: 49406, new cost: 41836196
Movement in iteration: 49721, new cost: 41826695
Loop ended because of DLB
