Initial solution cost: 24015188
Movement in iteration: 2, new cost: 24000826
Movement in iteration: 6, new cost: 23992378
Movement in iteration: 7, new cost: 23949620
Movement in iteration: 27, new cost: 23926516
Movement in iteration: 35, new cost: 23920716
Movement in iteration: 38, new cost: 23903476
Movement in iteration: 40, new cost: 23888178
Movement in iteration: 49, new cost: 23887094
Movement in iteration: 53, new cost: 23858684
Movement in iteration: 54, new cost: 23842406
Movement in iteration: 56, new cost: 23820430
Movement in iteration: 59, new cost: 23817442
Movement in iteration: 60, new cost: 23814286
Movement in iteration: 67, new cost: 23808918
Movement in iteration: 68, new cost: 23808632
Movement in iteration: 71, new cost: 23783562
Movement in iteration: 74, new cost: 23751390
Movement in iteration: 77, new cost: 23736992
Movement in iteration: 80, new cost: 23736590
Movement in iteration: 81, new cost: 23729666
Movement in iteration: 82, new cost: 23718794
Movement in iteration: 84, new cost: 23659360
Movement in iteration: 85, new cost: 23632488
Movement in iteration: 89, new cost: 23619988
Movement in iteration: 91, new cost: 23579142
Movement in iteration: 99, new cost: 23548804
Movement in iteration: 103, new cost: 23512056
Movement in iteration: 150, new cost: 23505634
Movement in iteration: 183, new cost: 23504522
Movement in iteration: 192, new cost: 23494150
Movement in iteration: 202, new cost: 23492910
Movement in iteration: 203, new cost: 23481138
Movement in iteration: 218, new cost: 23476402
Movement in iteration: 219, new cost: 23449114
Movement in iteration: 220, new cost: 23429950
Movement in iteration: 228, new cost: 23400882
Movement in iteration: 233, new cost: 23390246
Movement in iteration: 247, new cost: 23349812
Movement in iteration: 257, new cost: 23347950
Movement in iteration: 259, new cost: 23331576
Movement in iteration: 261, new cost: 23312222
Movement in iteration: 262, new cost: 23305044
Movement in iteration: 310, new cost: 23283900
Movement in iteration: 312, new cost: 23266028
Movement in iteration: 314, new cost: 23255946
Movement in iteration: 325, new cost: 23242692
Movement in iteration: 328, new cost: 23238016
Movement in iteration: 339, new cost: 23221652
Movement in iteration: 341, new cost: 23212670
Movement in iteration: 355, new cost: 23210556
Movement in iteration: 361, new cost: 23196090
Movement in iteration: 362, new cost: 23194282
Movement in iteration: 363, new cost: 23183214
Movement in iteration: 368, new cost: 23165194
Movement in iteration: 369, new cost: 23118610
Movement in iteration: 394, new cost: 23114204
Movement in iteration: 396, new cost: 23106650
Movement in iteration: 401, new cost: 23102560
Movement in iteration: 403, new cost: 23098920
Movement in iteration: 408, new cost: 23085142
Movement in iteration: 414, new cost: 23083316
Movement in iteration: 418, new cost: 23057574
Movement in iteration: 526, new cost: 23048084
Movement in iteration: 527, new cost: 23038818
Movement in iteration: 532, new cost: 23029868
Movement in iteration: 539, new cost: 23005704
Movement in iteration: 562, new cost: 23002374
Movement in iteration: 568, new cost: 22992418
Movement in iteration: 572, new cost: 22984600
Movement in iteration: 576, new cost: 22976912
Movement in iteration: 579, new cost: 22955460
Movement in iteration: 584, new cost: 22951008
Movement in iteration: 590, new cost: 22915654
Movement in iteration: 694, new cost: 22911984
Movement in iteration: 720, new cost: 22906462
Movement in iteration: 823, new cost: 22906436
Movement in iteration: 905, new cost: 22897234
Movement in iteration: 906, new cost: 22873504
Movement in iteration: 984, new cost: 22868808
Movement in iteration: 1097, new cost: 22868804
Movement in iteration: 1101, new cost: 22863578
Movement in iteration: 1183, new cost: 22850402
Movement in iteration: 1198, new cost: 22838424
Movement in iteration: 1200, new cost: 22833510
Movement in iteration: 1205, new cost: 22818314
Movement in iteration: 1214, new cost: 22812174
Movement in iteration: 1267, new cost: 22795438
Movement in iteration: 1276, new cost: 22764658
Movement in iteration: 1292, new cost: 22731568
Movement in iteration: 1339, new cost: 22723278
Movement in iteration: 1341, new cost: 22721348
Movement in iteration: 1382, new cost: 22720434
Movement in iteration: 1384, new cost: 22718086
Movement in iteration: 1429, new cost: 22712862
Movement in iteration: 1438, new cost: 22707604
Movement in iteration: 1439, new cost: 22696824
Movement in iteration: 1506, new cost: 22694136
Movement in iteration: 1514, new cost: 22674598
Movement in iteration: 1614, new cost: 22662870
Movement in iteration: 1622, new cost: 22661666
Movement in iteration: 1631, new cost: 22640554
Movement in iteration: 1636, new cost: 22590036
Movement in iteration: 1640, new cost: 22577962
Movement in iteration: 1663, new cost: 22551484
Movement in iteration: 1819, new cost: 22537930
Movement in iteration: 1910, new cost: 22526358
Movement in iteration: 1956, new cost: 22511040
Movement in iteration: 1965, new cost: 22502400
Movement in iteration: 2047, new cost: 22501182
Movement in iteration: 2116, new cost: 22487864
Movement in iteration: 2168, new cost: 22473438
Movement in iteration: 2177, new cost: 22471664
Movement in iteration: 2201, new cost: 22445974
Movement in iteration: 2260, new cost: 22441436
Movement in iteration: 2451, new cost: 22420666
Movement in iteration: 2682, new cost: 22415468
Movement in iteration: 2688, new cost: 22406754
Movement in iteration: 2707, new cost: 22390258
Movement in iteration: 2745, new cost: 22374330
Movement in iteration: 2776, new cost: 22345584
Movement in iteration: 3002, new cost: 22340508
Movement in iteration: 3176, new cost: 22335668
Movement in iteration: 3191, new cost: 22325784
Movement in iteration: 3387, new cost: 22317208
Movement in iteration: 3532, new cost: 22313832
Movement in iteration: 3535, new cost: 22302596
Movement in iteration: 3537, new cost: 22301492
Movement in iteration: 3723, new cost: 22266294
Movement in iteration: 3725, new cost: 22263142
Movement in iteration: 3883, new cost: 22260714
Movement in iteration: 4038, new cost: 22248794
Movement in iteration: 4102, new cost: 22240010
Movement in iteration: 4229, new cost: 22234478
Movement in iteration: 4261, new cost: 22228620
Movement in iteration: 4355, new cost: 22228016
Movement in iteration: 4672, new cost: 22214040
Movement in iteration: 4694, new cost: 22207778
Movement in iteration: 4863, new cost: 22202932
Movement in iteration: 4881, new cost: 22191714
Movement in iteration: 5020, new cost: 22185622
Movement in iteration: 5055, new cost: 22170650
Movement in iteration: 5115, new cost: 22168420
Movement in iteration: 5169, new cost: 22165572
Movement in iteration: 5245, new cost: 22164534
Movement in iteration: 5270, new cost: 22145330
Movement in iteration: 5277, new cost: 22123032
Movement in iteration: 6011, new cost: 22117714
Movement in iteration: 6198, new cost: 22111966
Movement in iteration: 7175, new cost: 22095422
Movement in iteration: 7301, new cost: 22091080
Movement in iteration: 7321, new cost: 22090754
Movement in iteration: 7349, new cost: 22079454
Movement in iteration: 7380, new cost: 22070806
Movement in iteration: 7503, new cost: 22064832
Movement in iteration: 7732, new cost: 22063104
Movement in iteration: 7739, new cost: 22051770
Movement in iteration: 7959, new cost: 22046172
Movement in iteration: 8099, new cost: 22042560
Movement in iteration: 8121, new cost: 22021656
Movement in iteration: 8317, new cost: 22021460
Movement in iteration: 8767, new cost: 22010180
Movement in iteration: 9367, new cost: 22007872
Movement in iteration: 9399, new cost: 21997854
Movement in iteration: 9498, new cost: 21994158
Loop ended because of DLB
