Initial solution cost: 23857650
Movement in iteration: 3, new cost: 23825708
Movement in iteration: 5, new cost: 23822548
Movement in iteration: 8, new cost: 23782740
Movement in iteration: 13, new cost: 23764750
Movement in iteration: 27, new cost: 23758800
Movement in iteration: 29, new cost: 23748296
Movement in iteration: 31, new cost: 23731050
Movement in iteration: 35, new cost: 23691586
Movement in iteration: 80, new cost: 23691474
Movement in iteration: 84, new cost: 23657956
Movement in iteration: 86, new cost: 23647084
Movement in iteration: 90, new cost: 23644932
Movement in iteration: 94, new cost: 23623884
Movement in iteration: 97, new cost: 23612990
Movement in iteration: 101, new cost: 23612602
Movement in iteration: 104, new cost: 23604154
Movement in iteration: 107, new cost: 23600916
Movement in iteration: 115, new cost: 23591464
Movement in iteration: 121, new cost: 23524862
Movement in iteration: 144, new cost: 23524510
Movement in iteration: 150, new cost: 23472408
Movement in iteration: 152, new cost: 23457628
Movement in iteration: 153, new cost: 23443392
Movement in iteration: 155, new cost: 23442870
Movement in iteration: 161, new cost: 23441154
Movement in iteration: 165, new cost: 23435918
Movement in iteration: 173, new cost: 23427166
Movement in iteration: 174, new cost: 23414378
Movement in iteration: 176, new cost: 23358728
Movement in iteration: 178, new cost: 23341548
Movement in iteration: 179, new cost: 23315716
Movement in iteration: 181, new cost: 23268972
Movement in iteration: 215, new cost: 23266226
Movement in iteration: 219, new cost: 23262568
Movement in iteration: 220, new cost: 23245718
Movement in iteration: 224, new cost: 23216556
Movement in iteration: 225, new cost: 23208192
Movement in iteration: 247, new cost: 23191262
Movement in iteration: 258, new cost: 23152546
Movement in iteration: 280, new cost: 23123594
Movement in iteration: 294, new cost: 23106152
Movement in iteration: 315, new cost: 23076650
Movement in iteration: 330, new cost: 23052188
Movement in iteration: 332, new cost: 23037774
Movement in iteration: 334, new cost: 23033522
Movement in iteration: 344, new cost: 23013664
Movement in iteration: 355, new cost: 23011840
Movement in iteration: 361, new cost: 23008224
Movement in iteration: 366, new cost: 23008176
Movement in iteration: 367, new cost: 23001504
Movement in iteration: 368, new cost: 23000418
Movement in iteration: 369, new cost: 22983710
Movement in iteration: 372, new cost: 22974664
Movement in iteration: 374, new cost: 22967876
Movement in iteration: 376, new cost: 22964518
Movement in iteration: 380, new cost: 22948166
Movement in iteration: 415, new cost: 22947226
Movement in iteration: 428, new cost: 22911082
Movement in iteration: 600, new cost: 22892604
Movement in iteration: 618, new cost: 22890134
Movement in iteration: 628, new cost: 22843410
Movement in iteration: 648, new cost: 22822912
Movement in iteration: 716, new cost: 22814918
Movement in iteration: 724, new cost: 22804582
Movement in iteration: 767, new cost: 22801240
Movement in iteration: 768, new cost: 22791830
Movement in iteration: 772, new cost: 22790234
Movement in iteration: 778, new cost: 22779368
Movement in iteration: 780, new cost: 22764142
Movement in iteration: 889, new cost: 22757446
Movement in iteration: 895, new cost: 22752596
Movement in iteration: 919, new cost: 22747844
Movement in iteration: 920, new cost: 22737784
Movement in iteration: 923, new cost: 22721344
Movement in iteration: 963, new cost: 22715926
Movement in iteration: 966, new cost: 22700240
Movement in iteration: 981, new cost: 22621598
Movement in iteration: 995, new cost: 22607238
Movement in iteration: 997, new cost: 22600278
Movement in iteration: 1005, new cost: 22593614
Movement in iteration: 1013, new cost: 22584300
Movement in iteration: 1026, new cost: 22570958
Movement in iteration: 1193, new cost: 22553600
Movement in iteration: 1198, new cost: 22530060
Movement in iteration: 1212, new cost: 22528086
Movement in iteration: 1244, new cost: 22517426
Movement in iteration: 1277, new cost: 22495940
Movement in iteration: 1480, new cost: 22469172
Movement in iteration: 1497, new cost: 22467272
Movement in iteration: 1506, new cost: 22447636
Movement in iteration: 1517, new cost: 22418766
Movement in iteration: 1547, new cost: 22415670
Movement in iteration: 1611, new cost: 22405260
Movement in iteration: 1612, new cost: 22371544
Movement in iteration: 1615, new cost: 22371112
Movement in iteration: 2149, new cost: 22370886
Movement in iteration: 2164, new cost: 22369502
Movement in iteration: 2171, new cost: 22355078
Movement in iteration: 2172, new cost: 22339676
Movement in iteration: 2179, new cost: 22336274
Movement in iteration: 2207, new cost: 22322982
Movement in iteration: 2350, new cost: 22312544
Movement in iteration: 2477, new cost: 22289884
Movement in iteration: 2664, new cost: 22281724
Movement in iteration: 2667, new cost: 22279980
Movement in iteration: 2703, new cost: 22275338
Movement in iteration: 2730, new cost: 22273044
Movement in iteration: 2765, new cost: 22271378
Movement in iteration: 2896, new cost: 22261718
Movement in iteration: 2902, new cost: 22261558
Movement in iteration: 2916, new cost: 22259118
Movement in iteration: 2928, new cost: 22249994
Movement in iteration: 2943, new cost: 22245632
Movement in iteration: 3024, new cost: 22244686
Movement in iteration: 3106, new cost: 22244404
Movement in iteration: 3117, new cost: 22240142
Movement in iteration: 3137, new cost: 22236724
Movement in iteration: 3178, new cost: 22210052
Movement in iteration: 3258, new cost: 22195730
Movement in iteration: 3446, new cost: 22194348
Movement in iteration: 3459, new cost: 22190006
Movement in iteration: 3649, new cost: 22174410
Movement in iteration: 3697, new cost: 22150998
Movement in iteration: 3739, new cost: 22148688
Movement in iteration: 3761, new cost: 22139088
Movement in iteration: 3880, new cost: 22123034
Movement in iteration: 3936, new cost: 22117656
Movement in iteration: 3968, new cost: 22115526
Movement in iteration: 4117, new cost: 22104334
Movement in iteration: 4134, new cost: 22081874
Movement in iteration: 4588, new cost: 22070378
Movement in iteration: 4611, new cost: 22070260
Movement in iteration: 4637, new cost: 22038770
Movement in iteration: 4716, new cost: 22035548
Movement in iteration: 4977, new cost: 22033484
Movement in iteration: 5230, new cost: 22020318
Movement in iteration: 6107, new cost: 22013674
Movement in iteration: 6438, new cost: 22009024
Movement in iteration: 6530, new cost: 22007900
Movement in iteration: 6858, new cost: 21995910
Movement in iteration: 7259, new cost: 21987204
Movement in iteration: 7288, new cost: 21978816
Movement in iteration: 7642, new cost: 21973526
Movement in iteration: 8119, new cost: 21969246
Movement in iteration: 8227, new cost: 21957092
Loop ended because of DLB
