Initial solution cost: 50550256
Movement in iteration: 93, new cost: 50303610
Movement in iteration: 96, new cost: 50233498
Movement in iteration: 110, new cost: 50150973
Movement in iteration: 165, new cost: 49904270
Movement in iteration: 350, new cost: 49740634
Movement in iteration: 351, new cost: 49737021
Movement in iteration: 354, new cost: 49697000
Movement in iteration: 366, new cost: 49627066
Movement in iteration: 420, new cost: 49576783
Movement in iteration: 606, new cost: 49422448
Movement in iteration: 620, new cost: 49389230
Movement in iteration: 638, new cost: 49378917
Movement in iteration: 659, new cost: 49360283
Movement in iteration: 864, new cost: 49286386
Movement in iteration: 875, new cost: 49274195
Movement in iteration: 876, new cost: 49246723
Movement in iteration: 885, new cost: 49227949
Movement in iteration: 914, new cost: 49222966
Movement in iteration: 1113, new cost: 49078785
Movement in iteration: 1119, new cost: 49050060
Movement in iteration: 1122, new cost: 49050055
Movement in iteration: 1123, new cost: 49019621
Movement in iteration: 1130, new cost: 48971785
Movement in iteration: 1131, new cost: 48968523
Movement in iteration: 1137, new cost: 48937044
Movement in iteration: 1140, new cost: 48930190
Movement in iteration: 1169, new cost: 48921736
Movement in iteration: 1374, new cost: 48859617
Movement in iteration: 1395, new cost: 48827184
Movement in iteration: 1424, new cost: 48826934
Movement in iteration: 1432, new cost: 48781167
Movement in iteration: 1622, new cost: 48775701
Movement in iteration: 1623, new cost: 48671685
Movement in iteration: 1625, new cost: 48592374
Movement in iteration: 1626, new cost: 48559270
Movement in iteration: 1630, new cost: 48546621
Movement in iteration: 1633, new cost: 48518225
Movement in iteration: 1640, new cost: 48487739
Movement in iteration: 1641, new cost: 48443730
Movement in iteration: 1647, new cost: 48427880
Movement in iteration: 1679, new cost: 48402094
Movement in iteration: 1687, new cost: 48401988
Movement in iteration: 1749, new cost: 48401724
Movement in iteration: 1887, new cost: 48393885
Movement in iteration: 1896, new cost: 48385041
Movement in iteration: 1902, new cost: 48332091
Movement in iteration: 1934, new cost: 48321590
Movement in iteration: 1942, new cost: 48307747
Movement in iteration: 2004, new cost: 48297326
Movement in iteration: 2136, new cost: 48269509
Movement in iteration: 2140, new cost: 48240742
Movement in iteration: 2142, new cost: 48195504
Movement in iteration: 2145, new cost: 48187927
Movement in iteration: 2151, new cost: 48182797
Movement in iteration: 2160, new cost: 48161147
Movement in iteration: 2197, new cost: 48104587
Movement in iteration: 2205, new cost: 48101302
Movement in iteration: 2259, new cost: 48088460
Movement in iteration: 2400, new cost: 48029046
Movement in iteration: 2415, new cost: 47929327
Movement in iteration: 2453, new cost: 47920983
Movement in iteration: 2536, new cost: 47875525
Movement in iteration: 2660, new cost: 47840318
Movement in iteration: 2678, new cost: 47801555
Movement in iteration: 2705, new cost: 47798490
Movement in iteration: 2708, new cost: 47734061
Movement in iteration: 2897, new cost: 47649453
Movement in iteration: 2898, new cost: 47648139
Movement in iteration: 2899, new cost: 47613428
Movement in iteration: 2900, new cost: 47611475
Movement in iteration: 2901, new cost: 47527699
Movement in iteration: 2903, new cost: 47502821
Movement in iteration: 2905, new cost: 47485550
Movement in iteration: 2908, new cost: 47464851
Movement in iteration: 2915, new cost: 47443156
Movement in iteration: 2924, new cost: 47426582
Movement in iteration: 2933, new cost: 47359250
Movement in iteration: 2960, new cost: 47322176
Movement in iteration: 3157, new cost: 47292578
Movement in iteration: 3158, new cost: 47249096
Movement in iteration: 3160, new cost: 47228594
Movement in iteration: 3163, new cost: 47203872
Movement in iteration: 3170, new cost: 47184200
Movement in iteration: 3171, new cost: 47183961
Movement in iteration: 3188, new cost: 47145388
Movement in iteration: 3197, new cost: 47121638
Movement in iteration: 3215, new cost: 47055012
Movement in iteration: 3225, new cost: 47040518
Movement in iteration: 3480, new cost: 47021935
Movement in iteration: 3510, new cost: 46987293
Movement in iteration: 3765, new cost: 46980565
Movement in iteration: 3808, new cost: 46961783
Movement in iteration: 4196, new cost: 46942194
Movement in iteration: 4212, new cost: 46904773
Movement in iteration: 4246, new cost: 46857261
Movement in iteration: 4528, new cost: 46852756
Movement in iteration: 4532, new cost: 46803409
Movement in iteration: 4679, new cost: 46775991
Movement in iteration: 4687, new cost: 46758497
Movement in iteration: 4688, new cost: 46742665
Movement in iteration: 4690, new cost: 46725506
Movement in iteration: 4698, new cost: 46700030
Movement in iteration: 4706, new cost: 46674976
Movement in iteration: 4717, new cost: 46655264
Movement in iteration: 4731, new cost: 46627151
Movement in iteration: 4739, new cost: 46598480
Movement in iteration: 4754, new cost: 46581002
Movement in iteration: 4933, new cost: 46510870
Movement in iteration: 4936, new cost: 46439621
Movement in iteration: 4960, new cost: 46307994
Movement in iteration: 5015, new cost: 46274063
Movement in iteration: 5440, new cost: 46268155
Movement in iteration: 5443, new cost: 46189329
Movement in iteration: 5447, new cost: 46185429
Movement in iteration: 5448, new cost: 46153497
Movement in iteration: 5449, new cost: 46150665
Movement in iteration: 5451, new cost: 46127982
Movement in iteration: 5467, new cost: 46121035
Movement in iteration: 5473, new cost: 46103758
Movement in iteration: 5476, new cost: 46035541
Movement in iteration: 5486, new cost: 46017970
Movement in iteration: 5511, new cost: 46007557
Movement in iteration: 5515, new cost: 45988597
Movement in iteration: 5545, new cost: 45956253
Movement in iteration: 5775, new cost: 45892944
Movement in iteration: 5982, new cost: 45889218
Movement in iteration: 6058, new cost: 45849958
Movement in iteration: 6073, new cost: 45848629
Movement in iteration: 6210, new cost: 45843141
Movement in iteration: 6218, new cost: 45800891
Movement in iteration: 6222, new cost: 45799362
Movement in iteration: 6230, new cost: 45732082
Movement in iteration: 6232, new cost: 45727616
Movement in iteration: 6235, new cost: 45706130
Movement in iteration: 6252, new cost: 45673577
Movement in iteration: 6316, new cost: 45637741
Movement in iteration: 6485, new cost: 45577968
Movement in iteration: 6497, new cost: 45573761
Movement in iteration: 6505, new cost: 45544650
Movement in iteration: 6527, new cost: 45537570
Movement in iteration: 6536, new cost: 45504946
Movement in iteration: 6559, new cost: 45491605
Movement in iteration: 6770, new cost: 45490614
Movement in iteration: 6789, new cost: 45487907
Movement in iteration: 6817, new cost: 45482865
Movement in iteration: 6832, new cost: 45459820
Movement in iteration: 6839, new cost: 45459803
Movement in iteration: 7023, new cost: 45457997
Movement in iteration: 7033, new cost: 45452147
Movement in iteration: 7055, new cost: 45445395
Movement in iteration: 7070, new cost: 45427206
Movement in iteration: 7092, new cost: 45409504
Movement in iteration: 7249, new cost: 45401451
Movement in iteration: 7271, new cost: 45397675
Movement in iteration: 7276, new cost: 45374143
Movement in iteration: 7304, new cost: 45366416
Movement in iteration: 7331, new cost: 45360975
Movement in iteration: 7345, new cost: 45356892
Movement in iteration: 7347, new cost: 45349299
Movement in iteration: 7372, new cost: 45341294
Movement in iteration: 7509, new cost: 45274923
Movement in iteration: 7576, new cost: 45219130
Movement in iteration: 7724, new cost: 45213609
Movement in iteration: 7725, new cost: 45199685
Movement in iteration: 7729, new cost: 45114354
Movement in iteration: 7741, new cost: 45112205
Movement in iteration: 7753, new cost: 45096863
Movement in iteration: 7755, new cost: 45087827
Movement in iteration: 7757, new cost: 45040560
Movement in iteration: 7771, new cost: 45024239
Movement in iteration: 7801, new cost: 45023976
Movement in iteration: 7829, new cost: 45014874
Movement in iteration: 7982, new cost: 45014857
Movement in iteration: 7991, new cost: 45012884
Movement in iteration: 7994, new cost: 45007792
Movement in iteration: 8008, new cost: 45002140
Movement in iteration: 8009, new cost: 44999691
Movement in iteration: 8010, new cost: 44997336
Movement in iteration: 8023, new cost: 44984528
Movement in iteration: 8024, new cost: 44917018
Movement in iteration: 8054, new cost: 44898785
Movement in iteration: 8277, new cost: 44873860
Movement in iteration: 8307, new cost: 44861347
Movement in iteration: 8384, new cost: 44857605
Movement in iteration: 8488, new cost: 44823439
Movement in iteration: 8509, new cost: 44740108
Movement in iteration: 8512, new cost: 44727101
Movement in iteration: 8560, new cost: 44639150
Movement in iteration: 9017, new cost: 44614315
Movement in iteration: 9050, new cost: 44600644
Movement in iteration: 9287, new cost: 44596278
Movement in iteration: 9293, new cost: 44592061
Movement in iteration: 9298, new cost: 44575503
Movement in iteration: 9306, new cost: 44560954
Movement in iteration: 9345, new cost: 44546936
Movement in iteration: 9365, new cost: 44480364
Movement in iteration: 9557, new cost: 44473447
Movement in iteration: 9613, new cost: 44459399
Movement in iteration: 9801, new cost: 44440133
Movement in iteration: 9802, new cost: 44418653
Movement in iteration: 10121, new cost: 44410968
Movement in iteration: 10152, new cost: 44408361
Movement in iteration: 10493, new cost: 44394499
Movement in iteration: 10496, new cost: 44329099
Movement in iteration: 10513, new cost: 44328774
Movement in iteration: 10531, new cost: 44311248
Movement in iteration: 10532, new cost: 44227748
Movement in iteration: 10655, new cost: 44164563
Movement in iteration: 10751, new cost: 44160627
Movement in iteration: 10757, new cost: 44148011
Movement in iteration: 10766, new cost: 44144109
Movement in iteration: 10783, new cost: 44095225
Movement in iteration: 10808, new cost: 44081901
Movement in iteration: 10816, new cost: 43971344
Movement in iteration: 11094, new cost: 43942133
Movement in iteration: 11254, new cost: 43918103
Movement in iteration: 11300, new cost: 43909504
Movement in iteration: 11324, new cost: 43897275
Movement in iteration: 11338, new cost: 43888446
Movement in iteration: 11345, new cost: 43853857
Movement in iteration: 11408, new cost: 43825165
Movement in iteration: 11561, new cost: 43804594
Movement in iteration: 11756, new cost: 43784182
Movement in iteration: 11770, new cost: 43691541
Movement in iteration: 11847, new cost: 43614468
Movement in iteration: 12274, new cost: 43585379
Movement in iteration: 12277, new cost: 43575196
Movement in iteration: 12341, new cost: 43567094
Movement in iteration: 12409, new cost: 43563193
Movement in iteration: 12411, new cost: 43504283
Movement in iteration: 12565, new cost: 43452268
Movement in iteration: 12769, new cost: 43421664
