Initial solution cost: 50482675
Movement in iteration: 92, new cost: 50139500
Movement in iteration: 95, new cost: 50103413
Movement in iteration: 108, new cost: 50081180
Movement in iteration: 122, new cost: 50079685
Movement in iteration: 129, new cost: 50075778
Movement in iteration: 136, new cost: 50050527
Movement in iteration: 227, new cost: 49950196
Movement in iteration: 247, new cost: 49812000
Movement in iteration: 347, new cost: 49500722
Movement in iteration: 349, new cost: 49307927
Movement in iteration: 350, new cost: 49157900
Movement in iteration: 355, new cost: 49146819
Movement in iteration: 363, new cost: 49122092
Movement in iteration: 377, new cost: 49099304
Movement in iteration: 384, new cost: 49096273
Movement in iteration: 391, new cost: 49093525
Movement in iteration: 482, new cost: 49067970
Movement in iteration: 502, new cost: 48969187
Movement in iteration: 603, new cost: 48806594
Movement in iteration: 604, new cost: 48805507
Movement in iteration: 605, new cost: 48588294
Movement in iteration: 610, new cost: 48534916
Movement in iteration: 614, new cost: 48446669
Movement in iteration: 646, new cost: 48395618
Movement in iteration: 737, new cost: 48389270
Movement in iteration: 757, new cost: 48382748
Movement in iteration: 901, new cost: 48349538
Movement in iteration: 960, new cost: 48259706
Movement in iteration: 1114, new cost: 48206812
Movement in iteration: 1116, new cost: 48200721
Movement in iteration: 1117, new cost: 48124493
Movement in iteration: 1119, new cost: 48033549
Movement in iteration: 1120, new cost: 47989545
Movement in iteration: 1128, new cost: 47963281
Movement in iteration: 1142, new cost: 47938533
Movement in iteration: 1149, new cost: 47900380
Movement in iteration: 1174, new cost: 47898600
Movement in iteration: 1199, new cost: 47888162
Movement in iteration: 1203, new cost: 47875429
Movement in iteration: 1215, new cost: 47872973
Movement in iteration: 1223, new cost: 47860479
Movement in iteration: 1241, new cost: 47834888
Movement in iteration: 1267, new cost: 47802220
Movement in iteration: 1372, new cost: 47802060
Movement in iteration: 1373, new cost: 47789886
Movement in iteration: 1374, new cost: 47722899
Movement in iteration: 1375, new cost: 47634800
Movement in iteration: 1379, new cost: 47634207
Movement in iteration: 1383, new cost: 47589483
Movement in iteration: 1385, new cost: 47573129
Movement in iteration: 1400, new cost: 47568031
Movement in iteration: 1404, new cost: 47539363
Movement in iteration: 1421, new cost: 47523607
Movement in iteration: 1429, new cost: 47523172
Movement in iteration: 1469, new cost: 47516297
Movement in iteration: 1472, new cost: 47515580
Movement in iteration: 1484, new cost: 47501151
Movement in iteration: 1496, new cost: 47482458
Movement in iteration: 1522, new cost: 47457192
Movement in iteration: 1640, new cost: 47322609
Movement in iteration: 1886, new cost: 47249992
Movement in iteration: 1889, new cost: 47241714
Movement in iteration: 1893, new cost: 47239935
Movement in iteration: 1896, new cost: 47180051
Movement in iteration: 1910, new cost: 47174448
Movement in iteration: 1931, new cost: 47132334
Movement in iteration: 1947, new cost: 47088320
Movement in iteration: 2012, new cost: 47087585
Movement in iteration: 2137, new cost: 47030875
Movement in iteration: 2142, new cost: 47027400
Movement in iteration: 2144, new cost: 46980872
Movement in iteration: 2146, new cost: 46956610
Movement in iteration: 2159, new cost: 46934377
Movement in iteration: 2162, new cost: 46927741
Movement in iteration: 2165, new cost: 46904995
Movement in iteration: 2169, new cost: 46903667
Movement in iteration: 2194, new cost: 46877042
Movement in iteration: 2215, new cost: 46844525
Movement in iteration: 2224, new cost: 46824186
Movement in iteration: 2267, new cost: 46821124
Movement in iteration: 2392, new cost: 46795992
Movement in iteration: 2395, new cost: 46760034
Movement in iteration: 2397, new cost: 46736295
Movement in iteration: 2399, new cost: 46734060
Movement in iteration: 2400, new cost: 46725215
Movement in iteration: 2401, new cost: 46691755
Movement in iteration: 2403, new cost: 46675132
Movement in iteration: 2414, new cost: 46667748
Movement in iteration: 2417, new cost: 46646845
Movement in iteration: 2420, new cost: 46640705
Movement in iteration: 2424, new cost: 46609635
Movement in iteration: 2434, new cost: 46545440
Movement in iteration: 2462, new cost: 46539459
Movement in iteration: 2508, new cost: 46532470
Movement in iteration: 2643, new cost: 46518302
Movement in iteration: 2646, new cost: 46512915
Movement in iteration: 2647, new cost: 46429356
Movement in iteration: 2652, new cost: 46426678
Movement in iteration: 2654, new cost: 46401808
Movement in iteration: 2655, new cost: 46400038
Movement in iteration: 2656, new cost: 46393067
Movement in iteration: 2658, new cost: 46361529
Movement in iteration: 2669, new cost: 46345586
Movement in iteration: 2672, new cost: 46333295
Movement in iteration: 2675, new cost: 46316131
Movement in iteration: 2678, new cost: 46313453
Movement in iteration: 2679, new cost: 46311817
Movement in iteration: 2686, new cost: 46307596
Movement in iteration: 2689, new cost: 46283713
Movement in iteration: 2704, new cost: 46279936
Movement in iteration: 2717, new cost: 46204922
Movement in iteration: 2771, new cost: 46201495
Movement in iteration: 2991, new cost: 46190536
Movement in iteration: 3018, new cost: 46163684
Movement in iteration: 3197, new cost: 46121879
Movement in iteration: 3235, new cost: 46114624
Movement in iteration: 3246, new cost: 46110103
Movement in iteration: 3254, new cost: 46104837
Movement in iteration: 3273, new cost: 46101016
Movement in iteration: 3452, new cost: 46097334
Movement in iteration: 3454, new cost: 46092478
Movement in iteration: 3461, new cost: 46085234
Movement in iteration: 3477, new cost: 46068874
Movement in iteration: 3490, new cost: 46056172
Movement in iteration: 3501, new cost: 46051019
Movement in iteration: 3528, new cost: 46039245
Movement in iteration: 3714, new cost: 46026016
Movement in iteration: 3732, new cost: 45979132
Movement in iteration: 4174, new cost: 45977524
Movement in iteration: 4175, new cost: 45931260
Movement in iteration: 4176, new cost: 45877569
Movement in iteration: 4179, new cost: 45864226
Movement in iteration: 4183, new cost: 45839832
Movement in iteration: 4194, new cost: 45825096
Movement in iteration: 4195, new cost: 45806810
Movement in iteration: 4207, new cost: 45804949
Movement in iteration: 4216, new cost: 45777977
Movement in iteration: 4225, new cost: 45769243
Movement in iteration: 4265, new cost: 45757604
Movement in iteration: 4273, new cost: 45753316
Movement in iteration: 4306, new cost: 45729148
Movement in iteration: 4433, new cost: 45709361
Movement in iteration: 4437, new cost: 45682393
Movement in iteration: 4441, new cost: 45672019
Movement in iteration: 4448, new cost: 45658187
Movement in iteration: 4449, new cost: 45646081
Movement in iteration: 4458, new cost: 45629917
Movement in iteration: 4461, new cost: 45627952
Movement in iteration: 4479, new cost: 45598582
Movement in iteration: 4519, new cost: 45590984
Movement in iteration: 4527, new cost: 45588598
Movement in iteration: 4560, new cost: 45574062
Movement in iteration: 5211, new cost: 45573973
Movement in iteration: 5212, new cost: 45525054
Movement in iteration: 5231, new cost: 45468152
Movement in iteration: 5319, new cost: 45465819
Movement in iteration: 5448, new cost: 45436339
Movement in iteration: 5452, new cost: 45424071
Movement in iteration: 5464, new cost: 45417388
Movement in iteration: 5465, new cost: 45397822
Movement in iteration: 5472, new cost: 45355727
Movement in iteration: 5496, new cost: 45335630
Movement in iteration: 5748, new cost: 45305797
Movement in iteration: 5941, new cost: 45299769
Movement in iteration: 5948, new cost: 45286998
Movement in iteration: 5956, new cost: 45255894
Movement in iteration: 5965, new cost: 45251630
Movement in iteration: 5967, new cost: 45247511
Movement in iteration: 5969, new cost: 45217748
Movement in iteration: 5976, new cost: 45216066
Movement in iteration: 5977, new cost: 45215080
Movement in iteration: 5985, new cost: 45190055
Movement in iteration: 6015, new cost: 45172909
Movement in iteration: 6034, new cost: 45163090
