Movement in iteration: 671, new cost: 9300531
Movement in iteration: 672, new cost: 9299167
Movement in iteration: 674, new cost: 9298427
Movement in iteration: 689, new cost: 9297289
Movement in iteration: 691, new cost: 9291808
Movement in iteration: 766, new cost: 9291372
Movement in iteration: 767, new cost: 9290759
Movement in iteration: 857, new cost: 9288065
Movement in iteration: 900, new cost: 9287232
Movement in iteration: 908, new cost: 9282252
Movement in iteration: 915, new cost: 9281166
Movement in iteration: 916, new cost: 9281038
Movement in iteration: 927, new cost: 9277791
Movement in iteration: 936, new cost: 9276945
Movement in iteration: 965, new cost: 9275950
Movement in iteration: 1050, new cost: 9274999
Movement in iteration: 1093, new cost: 9274454
Movement in iteration: 1100, new cost: 9272766
Movement in iteration: 1101, new cost: 9270865
Movement in iteration: 1102, new cost: 9270735
Movement in iteration: 1114, new cost: 9264967
Movement in iteration: 1155, new cost: 9262865
Movement in iteration: 1159, new cost: 9262687
Movement in iteration: 1193, new cost: 9261659
Movement in iteration: 1194, new cost: 9250841
Movement in iteration: 1232, new cost: 9249799
Movement in iteration: 1234, new cost: 9246351
Movement in iteration: 1242, new cost: 9242883
Movement in iteration: 1289, new cost: 9242405
Movement in iteration: 1351, new cost: 9241840
Movement in iteration: 1365, new cost: 9239090
Movement in iteration: 1366, new cost: 9238254
Movement in iteration: 1377, new cost: 9237962
Movement in iteration: 1381, new cost: 9237524
Movement in iteration: 1383, new cost: 9236745
Movement in iteration: 1412, new cost: 9236059
Movement in iteration: 1414, new cost: 9235653
Movement in iteration: 1423, new cost: 9235122
Movement in iteration: 1436, new cost: 9232752
Movement in iteration: 1438, new cost: 9230518
Movement in iteration: 1440, new cost: 9226432
Movement in iteration: 1502, new cost: 9224790
Movement in iteration: 1508, new cost: 9219460
Movement in iteration: 1509, new cost: 9217902
Movement in iteration: 1511, new cost: 9217368
Movement in iteration: 1513, new cost: 9215438
Movement in iteration: 1515, new cost: 9213610
Movement in iteration: 1517, new cost: 9210915
Movement in iteration: 1518, new cost: 9209945
Movement in iteration: 1530, new cost: 9209063
Movement in iteration: 1532, new cost: 9204959
Movement in iteration: 1541, new cost: 9203003
Movement in iteration: 1543, new cost: 9201316
Movement in iteration: 1560, new cost: 9200530
Movement in iteration: 1561, new cost: 9198911
Movement in iteration: 1563, new cost: 9195135
Movement in iteration: 1651, new cost: 9194404
Movement in iteration: 1652, new cost: 9192378
Movement in iteration: 1664, new cost: 9191358
Movement in iteration: 1675, new cost: 9189380
Movement in iteration: 1679, new cost: 9187578
Movement in iteration: 1680, new cost: 9186338
Movement in iteration: 1697, new cost: 9182281
Movement in iteration: 1757, new cost: 9175988
Movement in iteration: 1799, new cost: 9175946
Movement in iteration: 1801, new cost: 9175360
Movement in iteration: 1802, new cost: 9173928
Movement in iteration: 1809, new cost: 9172981
Movement in iteration: 1813, new cost: 9172274
Movement in iteration: 1815, new cost: 9169523
Movement in iteration: 1949, new cost: 9168615
Movement in iteration: 1950, new cost: 9167858
Movement in iteration: 2055, new cost: 9166096
Movement in iteration: 2091, new cost: 9161784
Movement in iteration: 2102, new cost: 9155550
Movement in iteration: 2135, new cost: 9144577
Movement in iteration: 2175, new cost: 9142670
Movement in iteration: 2386, new cost: 9141114
Movement in iteration: 2414, new cost: 9139558
Movement in iteration: 2415, new cost: 9138220
Movement in iteration: 2503, new cost: 9132124
Movement in iteration: 2520, new cost: 9128691
Movement in iteration: 2535, new cost: 9127870
Movement in iteration: 2549, new cost: 9126875
Movement in iteration: 2563, new cost: 9125660
Movement in iteration: 2607, new cost: 9124747
Movement in iteration: 2619, new cost: 9119424
Movement in iteration: 2673, new cost: 9116583
Movement in iteration: 2745, new cost: 9116433
Movement in iteration: 2747, new cost: 9114191
Movement in iteration: 2834, new cost: 9114061
Movement in iteration: 2845, new cost: 9113885
Movement in iteration: 2846, new cost: 9113659
Movement in iteration: 2919, new cost: 9113075
Movement in iteration: 2922, new cost: 9112947
Movement in iteration: 2924, new cost: 9112799
Movement in iteration: 2926, new cost: 9112449
Movement in iteration: 2941, new cost: 9109860
Movement in iteration: 3009, new cost: 9109024
Movement in iteration: 3011, new cost: 9107926
Movement in iteration: 3041, new cost: 9106886
Movement in iteration: 3043, new cost: 9104896
Movement in iteration: 3091, new cost: 9101258
Movement in iteration: 3145, new cost: 9101231
Movement in iteration: 3160, new cost: 9100413
Movement in iteration: 3162, new cost: 9099841
Movement in iteration: 3189, new cost: 9098814
Movement in iteration: 3239, new cost: 9098334
Movement in iteration: 3265, new cost: 9096854
Movement in iteration: 3296, new cost: 9094805
Movement in iteration: 3308, new cost: 9094287
Movement in iteration: 3310, new cost: 9090984
Movement in iteration: 3339, new cost: 9090800
Movement in iteration: 3387, new cost: 9089942
Movement in iteration: 3400, new cost: 9089577
Movement in iteration: 3443, new cost: 9089335
Movement in iteration: 3459, new cost: 9088149
Movement in iteration: 3470, new cost: 9087463
Movement in iteration: 3472, new cost: 9086401
Movement in iteration: 3477, new cost: 9086164
Movement in iteration: 3485, new cost: 9083948
Movement in iteration: 3487, new cost: 9082998
Movement in iteration: 3488, new cost: 9082792
Movement in iteration: 3489, new cost: 9081766
Movement in iteration: 3535, new cost: 9080075
Movement in iteration: 3636, new cost: 9079320
Movement in iteration: 3693, new cost: 9078596
Movement in iteration: 3727, new cost: 9077179
Movement in iteration: 3741, new cost: 9076237
Movement in iteration: 3742, new cost: 9076029
Movement in iteration: 3755, new cost: 9075426
Movement in iteration: 3765, new cost: 9075263
Movement in iteration: 3766, new cost: 9074501
Movement in iteration: 3769, new cost: 9073298
Movement in iteration: 3771, new cost: 9071438
Movement in iteration: 3786, new cost: 9069084
Movement in iteration: 3830, new cost: 9068232
Movement in iteration: 3858, new cost: 9065722
Movement in iteration: 3862, new cost: 9065546
Movement in iteration: 3890, new cost: 9064354
Movement in iteration: 3899, new cost: 9062066
Movement in iteration: 3905, new cost: 9061448
Movement in iteration: 3947, new cost: 9058540
Movement in iteration: 4067, new cost: 9057511
Movement in iteration: 4068, new cost: 9057479
Movement in iteration: 4069, new cost: 9055742
Movement in iteration: 4083, new cost: 9055356
Movement in iteration: 4117, new cost: 9051665
Movement in iteration: 4126, new cost: 9046189
Movement in iteration: 4128, new cost: 9043701
Movement in iteration: 4158, new cost: 9042849
Movement in iteration: 4183, new cost: 9042132
Movement in iteration: 4186, new cost: 9041252
Movement in iteration: 4187, new cost: 9039937
Movement in iteration: 4232, new cost: 9038910
Movement in iteration: 4306, new cost: 9036760
Movement in iteration: 4366, new cost: 9035018
Movement in iteration: 4380, new cost: 9033366
Movement in iteration: 4409, new cost: 9028420
Movement in iteration: 4411, new cost: 9024779
Movement in iteration: 4438, new cost: 9024285
Movement in iteration: 4441, new cost: 9022486
Movement in iteration: 4447, new cost: 9022127
Movement in iteration: 4449, new cost: 9021911
Movement in iteration: 4450, new cost: 9013555
Movement in iteration: 4459, new cost: 9011797
Movement in iteration: 4500, new cost: 9009904
Movement in iteration: 4529, new cost: 9009568
Movement in iteration: 4534, new cost: 9007182
Movement in iteration: 4547, new cost: 9001348
Movement in iteration: 4634, new cost: 9001313
Movement in iteration: 4773, new cost: 8998368
Movement in iteration: 4782, new cost: 8995752
Movement in iteration: 4783, new cost: 8994031
Movement in iteration: 4993, new cost: 8992765
Movement in iteration: 5005, new cost: 8992537
Movement in iteration: 5007, new cost: 8985331
Movement in iteration: 5069, new cost: 8981864
Movement in iteration: 5081, new cost: 8981381
Movement in iteration: 5096, new cost: 8979707
Movement in iteration: 5217, new cost: 8979513
Movement in iteration: 5246, new cost: 8979101
Movement in iteration: 5247, new cost: 8976843
Movement in iteration: 5369, new cost: 8973507
Movement in iteration: 5393, new cost: 8973099
Movement in iteration: 5395, new cost: 8972273
Movement in iteration: 5396, new cost: 8969808
Movement in iteration: 5409, new cost: 8969444
Movement in iteration: 5413, new cost: 8966356
Movement in iteration: 5545, new cost: 8965602
Movement in iteration: 5557, new cost: 8965368
Movement in iteration: 5570, new cost: 8964184
Movement in iteration: 5571, new cost: 8963990
Movement in iteration: 5664, new cost: 8963384
Movement in iteration: 5811, new cost: 8963336
Movement in iteration: 5812, new cost: 8962858
Movement in iteration: 5813, new cost: 8960788
Movement in iteration: 5841, new cost: 8960316
Movement in iteration: 5854, new cost: 8959206
