Initial solution cost: 24123622, Initial temperature: 3.61854e+07
Movement in iteration: 4, new cost: 24110260
Movement in iteration: 5, new cost: 24086804
Movement in iteration: 6, new cost: 24074004
Movement in iteration: 15, new cost: 24073458
Movement in iteration: 17, new cost: 24051976
Movement in iteration: 18, new cost: 24044260
Movement in iteration: 19, new cost: 24040992
Movement in iteration: 21, new cost: 24022266
Movement in iteration: 22, new cost: 23999504
Movement in iteration: 26, new cost: 23975408
Movement in iteration: 30, new cost: 23918258
Movement in iteration: 34, new cost: 23909836
Movement in iteration: 36, new cost: 23871254
Movement in iteration: 43, new cost: 23862076
Movement in iteration: 47, new cost: 23822428
Movement in iteration: 49, new cost: 23809136
Movement in iteration: 50, new cost: 23788678
Movement in iteration: 54, new cost: 23764526
Movement in iteration: 61, new cost: 23744756
Movement in iteration: 71, new cost: 23743948
Movement in iteration: 72, new cost: 23721524
Movement in iteration: 73, new cost: 23698066
Movement in iteration: 75, new cost: 23668654
Movement in iteration: 76, new cost: 23668370
Movement in iteration: 78, new cost: 23638416
Movement in iteration: 79, new cost: 23612680
Movement in iteration: 81, new cost: 23597474
Movement in iteration: 82, new cost: 23587282
Movement in iteration: 83, new cost: 23560076
Movement in iteration: 84, new cost: 23536378
Movement in iteration: 89, new cost: 23533168
Movement in iteration: 91, new cost: 23519148
Movement in iteration: 101, new cost: 23512008
Movement in iteration: 104, new cost: 23505502
Movement in iteration: 106, new cost: 23493980
Movement in iteration: 108, new cost: 23475264
Movement in iteration: 111, new cost: 23464958
Movement in iteration: 117, new cost: 23458188
Movement in iteration: 130, new cost: 23418288
Movement in iteration: 135, new cost: 23415996
Movement in iteration: 139, new cost: 23394236
Movement in iteration: 153, new cost: 23387370
Movement in iteration: 162, new cost: 23384346
Movement in iteration: 163, new cost: 23377586
Movement in iteration: 165, new cost: 23375780
Movement in iteration: 167, new cost: 23310638
Movement in iteration: 172, new cost: 23282698
Movement in iteration: 173, new cost: 23271366
Movement in iteration: 176, new cost: 23265520
Movement in iteration: 182, new cost: 23262266
Movement in iteration: 212, new cost: 23246114
Movement in iteration: 248, new cost: 23228826
Movement in iteration: 249, new cost: 23217352
Movement in iteration: 252, new cost: 23209488
Movement in iteration: 258, new cost: 23175178
Movement in iteration: 301, new cost: 23132122
Movement in iteration: 302, new cost: 23129364
Movement in iteration: 305, new cost: 23115524
Movement in iteration: 321, new cost: 23091388
Movement in iteration: 341, new cost: 23044790
Movement in iteration: 354, new cost: 23030774
Movement in iteration: 367, new cost: 23013478
Movement in iteration: 459, new cost: 23004652
Movement in iteration: 467, new cost: 22981924
Movement in iteration: 474, new cost: 22973648
Movement in iteration: 496, new cost: 22953246
Movement in iteration: 501, new cost: 22948380
Movement in iteration: 503, new cost: 22936090
Movement in iteration: 526, new cost: 22935754
Movement in iteration: 551, new cost: 22926586
Movement in iteration: 552, new cost: 22919770
Movement in iteration: 578, new cost: 22906756
Movement in iteration: 583, new cost: 22894902
Movement in iteration: 610, new cost: 22877866
Movement in iteration: 617, new cost: 22860150
Movement in iteration: 667, new cost: 22854898
Movement in iteration: 685, new cost: 22830866
Movement in iteration: 827, new cost: 22811100
Movement in iteration: 848, new cost: 22785996
Movement in iteration: 859, new cost: 22782778
Movement in iteration: 890, new cost: 22758422
Movement in iteration: 913, new cost: 22754658
Movement in iteration: 927, new cost: 22746214
Movement in iteration: 929, new cost: 22744090
Movement in iteration: 937, new cost: 22738400
Movement in iteration: 938, new cost: 22737500
Movement in iteration: 947, new cost: 22731626
Movement in iteration: 957, new cost: 22730154
Movement in iteration: 958, new cost: 22725842
Movement in iteration: 971, new cost: 22706620
Movement in iteration: 986, new cost: 22697924
Movement in iteration: 1055, new cost: 22670580
Movement in iteration: 1065, new cost: 22650146
Movement in iteration: 1101, new cost: 22648358
Movement in iteration: 1150, new cost: 22626926
Movement in iteration: 1313, new cost: 22599884
Movement in iteration: 1315, new cost: 22594876
Movement in iteration: 1321, new cost: 22559226
Movement in iteration: 1492, new cost: 22558278
Movement in iteration: 1497, new cost: 22545420
Movement in iteration: 1514, new cost: 22536210
Movement in iteration: 1540, new cost: 22524132
Movement in iteration: 1586, new cost: 22511196
Movement in iteration: 1605, new cost: 22508872
Movement in iteration: 1631, new cost: 22506554
Movement in iteration: 1890, new cost: 22500584
Movement in iteration: 1891, new cost: 22495768
Movement in iteration: 1895, new cost: 22472290
Movement in iteration: 1901, new cost: 22452582
Movement in iteration: 2145, new cost: 22450290
Movement in iteration: 2158, new cost: 22447288
Movement in iteration: 2169, new cost: 22444990
Movement in iteration: 2173, new cost: 22435326
Movement in iteration: 2356, new cost: 22402478
Movement in iteration: 2361, new cost: 22389112
Movement in iteration: 2383, new cost: 22365240
Movement in iteration: 2448, new cost: 22365084
Movement in iteration: 2452, new cost: 22346908
Movement in iteration: 2477, new cost: 22318434
Movement in iteration: 2677, new cost: 22295630
Movement in iteration: 2680, new cost: 22263768
Movement in iteration: 2776, new cost: 22259684
Movement in iteration: 3014, new cost: 22259644
Movement in iteration: 3049, new cost: 22257388
Movement in iteration: 3078, new cost: 22255528
Movement in iteration: 3240, new cost: 22253750
Movement in iteration: 3365, new cost: 22222496
Movement in iteration: 3399, new cost: 22219466
Movement in iteration: 3460, new cost: 22218606
Movement in iteration: 3486, new cost: 22213414
Movement in iteration: 3514, new cost: 22206706
Movement in iteration: 3517, new cost: 22194292
Movement in iteration: 3644, new cost: 22187374
Movement in iteration: 3670, new cost: 22168030
Movement in iteration: 3731, new cost: 22160374
Movement in iteration: 4177, new cost: 22160070
Movement in iteration: 4184, new cost: 22147514
Movement in iteration: 4192, new cost: 22139880
Movement in iteration: 4206, new cost: 22130266
Movement in iteration: 4208, new cost: 22130228
Movement in iteration: 4217, new cost: 22125196
Movement in iteration: 4238, new cost: 22123170
Movement in iteration: 4331, new cost: 22116106
Movement in iteration: 4332, new cost: 22108380
Movement in iteration: 4402, new cost: 22078216
Movement in iteration: 4491, new cost: 22076052
Movement in iteration: 4582, new cost: 22065362
Movement in iteration: 4610, new cost: 22056458
Movement in iteration: 4633, new cost: 22041710
Movement in iteration: 4634, new cost: 22041154
Movement in iteration: 4698, new cost: 22020224
Movement in iteration: 4974, new cost: 22006178
Movement in iteration: 4999, new cost: 22004894
Movement in iteration: 5531, new cost: 22001534
Movement in iteration: 5941, new cost: 21987960
Movement in iteration: 6098, new cost: 21984308
Movement in iteration: 6236, new cost: 21976156
Movement in iteration: 6252, new cost: 21961542
Movement in iteration: 6262, new cost: 21958776
Movement in iteration: 6343, new cost: 21951692
Movement in iteration: 6368, new cost: 21944736
Movement in iteration: 6373, new cost: 21921910
Movement in iteration: 6678, new cost: 21920200
Movement in iteration: 6708, new cost: 21918114
Movement in iteration: 6712, new cost: 21909552
Movement in iteration: 7129, new cost: 21899100
Movement in iteration: 7463, new cost: 21892900
Loop ended because of the temperature
